case,source,dp,time_mid,interface_index,interface_r_over_R,fv_gradient_flux
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,0,0.0,0.0
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,1,0.2,0.0034373537185087696
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,2,0.4,-0.019608845339118
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,3,0.6,0.08941220926929733
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,4,0.8,0.2296057775539627
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,5,0.9,0.005582842231997671
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,6,0.95,0.02786438753506832
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,7,1.0,40.302182057475946
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,0,0.0,0.0
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,1,0.2,0.015519188744950573
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,2,0.4,0.025975914065390168
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,3,0.6,0.21353845216810177
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,4,0.8,0.3635379239950216
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,5,0.9,-0.006798041331621668
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,6,0.95,0.15319700923381702
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,7,1.0,35.38245215685967
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,0,0.0,0.0
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,1,0.2,-0.008614859817463842
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,2,0.4,-0.017456936338677797
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,3,0.6,0.257171561424951
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,4,0.8,0.5084185818658795
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,5,0.9,0.30890746912294015
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,6,0.95,0.7076480236262556
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,7,1.0,30.516064082772058
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0035190000000000004,0,0.0,0.0
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0035190000000000004,1,0.2,0.004004351621142005
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0035190000000000004,2,0.4,0.0257834597351252
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0035190000000000004,3,0.6,0.2620337840499656
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0035190000000000004,4,0.8,0.4776645602804665
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0035190000000000004,5,0.9,0.3778710084721109
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0035190000000000004,6,0.95,0.7020846489607621
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0035190000000000004,7,1.0,26.07634284898352
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.004524500000000001,0,0.0,0.0
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.004524500000000001,1,0.2,0.0019915923086536794
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.004524500000000001,2,0.4,0.08606696175736937
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.004524500000000001,3,0.6,0.4231182404472472
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.004524500000000001,4,0.8,0.6871114154598275
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.004524500000000001,5,0.9,0.6959706961108529
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.004524500000000001,6,0.95,0.24450004799740657
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.004524500000000001,7,1.0,23.801931371210568
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0055295,0,0.0,0.0
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0055295,1,0.2,-0.01717900648796314
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0055295,2,0.4,0.03124130068359459
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0055295,3,0.6,0.3636773915269581
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0055295,4,0.8,0.6943696184862258
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0055295,5,0.9,0.7605450628718945
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0055295,6,0.95,-1.2471330680840689
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0055295,7,1.0,22.69359861831942
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.000523,0,0.0,0.0
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.000523,1,0.2,0.017454554067960704
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.000523,2,0.4,-0.01789410532695419
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.000523,3,0.6,0.09827346539534355
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.000523,4,0.8,0.05574174993673996
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.000523,5,0.9,0.06518176856407669
