case,case_name,resolution,configured_dp,time,k,r_inner,r_outer,population,effective_volume,analytic_volume,pressure_mean,radius_mean,flux_in,flux_out,fv_rate,current_rate,correction_rate,lap_correction
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,0,0.0,0.00625,0.0,0.0,1.02265e-06,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,1,0.00625,0.0125,18.0,9.216e-06,7.15858e-06,1000.0,0.0102091,0.0,-9.28904e-16,1.00793e-10,0.0,1.00793e-10,1.48316e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,2,0.0125,0.01875,38.0,1.9456e-05,1.94304e-05,1000.0,0.0167415,-9.28904e-16,4.41841e-15,-2.74841e-10,0.0,-2.74841e-10,-4.04429e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,3,0.01875,0.025,66.0,3.3792e-05,3.78382e-05,1000.0,0.022149,4.41841e-15,-0.0,1.30753e-10,0.0,1.30753e-10,1.92403e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,4,0.025,0.03125,128.0,6.5536e-05,6.23819e-05,1000.0,0.0280837,-0.0,2.87014e-15,-4.37949e-11,0.0,-4.37949e-11,-6.44442e-09
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,5,0.03125,0.0375,186.0,9.5232e-05,9.30615e-05,1000.0,0.0346904,2.87014e-15,-1.51821e-14,1.89561e-10,0.0,1.89561e-10,2.78939e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,6,0.0375,0.04375,254.0,0.000130048,0.000129877,1000.0,0.0409853,-1.51821e-14,-1.17111e-13,7.83782e-10,0.0,7.83782e-10,1.15334e-07
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,7,0.04375,0.05,522.0,0.000267264,0.000172829,1000.0,0.0481258,-1.17111e-13,53.374,-199705.0,0.0,-199705.0,-29386600.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,0,0.0,0.00625,0.0,0.0,1.02265e-06,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,1,0.00625,0.0125,18.0,9.216e-06,7.15858e-06,1000.0,0.0102091,0.0,-9.28904e-16,1.00793e-10,0.0,1.00793e-10,1.48316e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,2,0.0125,0.01875,38.0,1.9456e-05,1.94304e-05,1000.0,0.0167415,-9.28904e-16,4.41841e-15,-2.74841e-10,0.0,-2.74841e-10,-4.04429e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,3,0.01875,0.025,66.0,3.3792e-05,3.78382e-05,1000.0,0.022149,4.41841e-15,-0.0,1.30753e-10,0.0,1.30753e-10,1.92403e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,4,0.025,0.03125,128.0,6.5536e-05,6.23819e-05,1000.0,0.0280837,-0.0,2.87014e-15,-4.37949e-11,0.0,-4.37949e-11,-6.44442e-09
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,5,0.03125,0.0375,186.0,9.5232e-05,9.30615e-05,1000.0,0.0346904,2.87014e-15,-1.51821e-14,1.89561e-10,0.0,1.89561e-10,2.78939e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,6,0.0375,0.04375,254.0,0.000130048,0.000129877,1000.0,0.0409853,-1.51821e-14,-1.17111e-13,7.83782e-10,0.0,7.83782e-10,1.15334e-07
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.0,7,0.04375,0.05,522.0,0.000267264,0.000172829,1000.0,0.0481258,-1.17111e-13,53.374,-199705.0,0.0,-199705.0,-29386600.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,0,0.0,0.00625,0.0,0.0,1.02265e-06,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,1,0.00625,0.0125,18.0,9.216e-06,7.15858e-06,1000.0,0.0102091,0.0,-9.28904e-16,1.00793e-10,-8.32926e-12,1.09122e-10,1.60573e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,2,0.0125,0.01875,38.0,1.9456e-05,1.94304e-05,1000.0,0.0167415,-9.28904e-16,4.41841e-15,-2.74841e-10,-1.16166,1.16166,170.939
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,3,0.01875,0.025,66.0,3.3792e-05,3.78382e-05,1000.0,0.022149,4.41841e-15,-0.0,1.30753e-10,-55.6772,55.6772,8192.9
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,4,0.025,0.03125,128.0,6.5536e-05,6.23819e-05,1000.0,0.0280837,-0.0,2.87014e-15,-4.37949e-11,-681.475,681.475,100279.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,5,0.03125,0.0375,186.0,9.5232e-05,9.30615e-05,1000.0,0.0346904,2.87014e-15,-1.51821e-14,1.89561e-10,-2923.72,2923.72,430225.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,6,0.0375,0.04375,254.0,0.000130048,0.000129877,1000.0,0.0409853,-1.51821e-14,1.83855,-14137.5,-6022.54,-8114.93,-1194110.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,7,0.04375,0.05,522.0,0.000267264,0.000172829,919.685,0.0481258,1.83855,49.0872,-176787.0,4146.52,-180933.0,-26624300.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,0,0.0,0.00625,0.0,0.0,1.02265e-06,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,1,0.00625,0.0125,18.0,9.216e-06,7.15858e-06,1000.0,0.0102091,0.0,-9.28904e-16,1.00793e-10,-8.32926e-12,1.09122e-10,1.60573e-08
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,2,0.0125,0.01875,38.0,1.9456e-05,1.94304e-05,1000.0,0.0167415,-9.28904e-16,4.41841e-15,-2.74841e-10,-1.16166,1.16166,170.939
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,3,0.01875,0.025,66.0,3.3792e-05,3.78382e-05,1000.0,0.022149,4.41841e-15,-0.0,1.30753e-10,-55.6772,55.6772,8192.9
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,4,0.025,0.03125,128.0,6.5536e-05,6.23819e-05,1000.0,0.0280837,-0.0,2.87014e-15,-4.37949e-11,-681.475,681.475,100279.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,5,0.03125,0.0375,186.0,9.5232e-05,9.30615e-05,1000.0,0.0346904,2.87014e-15,-1.51821e-14,1.89561e-10,-2923.72,2923.72,430225.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,6,0.0375,0.04375,254.0,0.000130048,0.000129877,1000.0,0.0409853,-1.51821e-14,1.83855,-14137.5,-6022.54,-8114.93,-1194110.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.00040217,7,0.04375,0.05,522.0,0.000267264,0.000172829,919.685,0.0481258,1.83855,49.0872,-176787.0,4146.52,-180933.0,-26624300.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,0,0.0,0.00625,0.0,0.0,1.02265e-06,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,1,0.00625,0.0125,18.0,9.216e-06,7.15858e-06,999.768,0.0102091,0.0,0.00108745,-117.995,-119.819,1.82313,268.273
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,2,0.0125,0.01875,38.0,1.9456e-05,1.94304e-05,999.235,0.0167415,0.00108745,0.00366713,-132.591,-97.1509,-35.44,-5215.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,3,0.01875,0.025,66.0,3.3792e-05,3.78382e-05,998.575,0.022149,0.00366713,0.00547895,-53.6168,-104.448,50.8313,7479.83
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,4,0.025,0.03125,128.0,6.5536e-05,6.23819e-05,997.966,0.0280837,0.00547895,0.00139892,62.2564,-781.83,844.086,124207.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,5,0.03125,0.0375,186.0,9.5232e-05,9.30615e-05,997.855,0.0346904,0.00139892,0.0122094,-113.518,-3426.73,3313.22,487540.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,6,0.0375,0.04375,254.0,0.000130048,0.000129877,997.215,0.0409853,0.0122094,2.12137,-16218.4,-6918.6,-9299.75,-1368460.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,7,0.04375,0.05,522.0,0.000267264,0.000172829,904.545,0.0481258,2.12137,48.2791,-172705.0,4803.86,-177509.0,-26120400.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,0,0.0,0.00625,0.0,0.0,1.02265e-06,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,1,0.00625,0.0125,18.0,9.216e-06,7.15858e-06,999.768,0.0102091,0.0,0.00108745,-117.995,-119.819,1.82314,268.275
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,2,0.0125,0.01875,38.0,1.9456e-05,1.94304e-05,999.235,0.0167415,0.00108745,0.00366713,-132.591,-97.1509,-35.44,-5215.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,3,0.01875,0.025,66.0,3.3792e-05,3.78382e-05,998.575,0.022149,0.00366713,0.00547895,-53.6167,-104.448,50.8311,7479.79
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,4,0.025,0.03125,128.0,6.5536e-05,6.23819e-05,997.966,0.0280837,0.00547895,0.00139892,62.2564,-781.829,844.085,124207.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,5,0.03125,0.0375,186.0,9.52321e-05,9.30615e-05,997.855,0.0346904,0.00139892,0.0122094,-113.518,-3426.73,3313.22,487540.0
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0.000482604,6,0.0375,0.04375,254.0,0.000130048,0.000129877,997.215,0.0409853,0.0122094,2.12137,-16218.3,-6918.6,-9299.75,-1368460.0
