case,case_name,resolution,configured_dp,diag_index,time,shells,shell_width,shell_mode,correction_mode,min_particles,corrected_particles,fallback_shells,min_pop,max_pop,total_storage,flux,storage_rate,current_storage_rate,correction_storage_rate,corrected_storage_rate,flux_storage_residual,max_abs_rate_correction,lap_corr_max,min_pressure,max_pressure,negative_count,fallback,boundary_flux_integral,conservation_residual,outer_population,outer_pressure_mean,outer_radius_mean,pmean1,pop1,inner_pressure_mean,inner_population,fv_boundary_flux_integral,shell_flux_ratio_to_fv
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,0,0.0,8.0,0.00625,1.0,1.0,1.0,1212.0,0.0,0.0,522.0,0.620544,53.374,-53.374,0.0,-53.374,-53.374,0.0,199705.0,29386600.0,1000.0,1000.0,0.0,0.0,53.374,0.0,522.0,1000.0,0.0481258,1000.0,522.0,0.0,0.0,4099.121912940717,0.013020837421668536
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,1,0.0,8.0,0.00625,1.0,1.0,1.0,1212.0,0.0,0.0,522.0,0.620544,53.374,-53.374,0.0,-53.374,-53.374,0.0,199705.0,29386600.0,1000.0,1000.0,0.0,0.0,53.374,0.0,522.0,1000.0,0.0481258,1000.0,522.0,0.0,0.0,4099.121912940717,0.013020837421668536
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,2,0.00040217,8.0,0.00625,1.0,1.0,1.0,1212.0,0.0,0.0,522.0,0.599079,49.0872,-49.0872,1.3612e-08,-49.0872,-49.0872,0.0,180933.0,26624300.0,919.685,1000.0,0.0,0.0,49.0872,0.0,522.0,919.685,0.0481258,919.685,522.0,0.0,0.0,2475.516589725361,0.019829073335131977
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,3,0.00040217,8.0,0.00625,1.0,1.0,1.0,1212.0,0.0,0.0,522.0,0.599079,49.0872,-49.0872,1.3612e-08,-49.0872,-49.0872,0.0,180933.0,26624300.0,919.685,1000.0,0.0,0.0,49.0872,0.0,522.0,919.685,0.0481258,919.685,522.0,0.0,0.0,2475.516589725361,0.019829073335131977
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,4,0.000482604,8.0,0.00625,1.0,1.0,1.0,1212.0,0.0,0.0,522.0,0.594267,48.2791,-48.2791,5.06288e-05,-48.2792,-48.2791,0.0,177509.0,26120400.0,903.86,999.868,0.0,0.0,48.2791,0.0,522.0,904.545,0.0481258,904.545,522.0,0.0,0.0,2150.7955250822897,0.02244708966378979
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,5,0.000482604,8.0,0.00625,1.0,1.0,1.0,1212.0,0.0,0.0,522.0,0.594268,48.2791,-48.2791,5.06369e-05,-48.2792,-48.2791,0.0,177509.0,26120400.0,903.86,999.868,0.0,0.0,48.2791,0.0,522.0,904.545,0.0481258,904.545,522.0,0.0,0.0,2150.7955250822897,0.02244708966378979
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,6,0.000563038,8.0,0.00625,1.0,1.0,1.0,1213.0,0.0,1.0,522.0,0.588182,47.384,-47.384,-3.14849e-08,-47.384,-47.384,0.0,173842.0,25580800.0,884.637,999.685,0.0,0.0,47.384,0.0,522.0,887.773,0.0481258,887.773,522.0,999.685,1.0,1826.0744604392185,0.02594855852077517
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,7,0.000563038,8.0,0.00625,1.0,1.0,1.0,1213.0,0.0,1.0,522.0,0.588183,47.384,-47.384,-2.0903e-08,-47.384,-47.384,0.0,173842.0,25580800.0,884.637,999.685,0.0,0.0,47.384,0.0,522.0,887.773,0.0481258,887.773,522.0,999.685,1.0,1826.0744604392185,0.02594855852077517
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,8,0.000643472,8.0,0.00625,1.0,1.0,1.0,1213.0,0.0,1.0,522.0,0.57963,46.3945,-46.3945,1.77463e-08,-46.3945,-46.3945,0.0,169910.0,25002300.0,861.723,998.203,0.0,0.0,46.3945,0.0,522.0,869.235,0.0481259,869.235,522.0,998.203,1.0,1501.3533957961472,0.030901785102632435
mode7_shell_exchange_dp008,CaseCryer_PR_StrictSphere_C5m_FinerDiffusionShellExchange,finer,0.008,9,0.000643472,8.0,0.00625,1.0,1.0,1.0,1213.0,0.0,1.0,522.0,0.57963,46.3945,-46.3945,-2.33792e-08,-46.3945,-46.3945,-7.10543e-15,169910.0,25002300.0,861.723,998.203,0.0,0.0,46.3945,-7.10543e-15,522.0,869.235,0.0481259,869.235,522.0,998.203,1.0,1501.3533957961472,0.030901785102632435
