case,time,frame_index,shell,surface_shell_count,surface_shell_mean,surface_shell_median,surface_shell_p95_abs,surface_shell_p99_abs,surface_shell_max,surface_shell_maxAbs
mode7_shell_exchange_dp008,0.0,0,0.95R-1.0R,318,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode7_shell_exchange_dp008,0.001046,1,0.95R-1.0R,318,778.7127859932148,783.0087214265,816.2545666634,816.2545685486,816.254569177,816.254569177
mode7_shell_exchange_dp008,0.002011,2,0.95R-1.0R,318,628.7976499206468,627.97207852595,645.94768210833,645.947687004098,645.9476910432,645.9476910432
mode7_shell_exchange_dp008,0.003056,3,0.95R-1.0R,318,553.2444421228874,522.55171433695,639.4096808550651,694.054242673212,694.0542861035,694.0542861035
mode7_shell_exchange_dp008,0.004021,4,0.95R-1.0R,318,202.97981145648504,193.07586898625,595.187737224745,696.603420264161,696.603619188,696.603619188
mode7_shell_exchange_dp008,0.005067,5,0.95R-1.0R,318,206.99820697674775,79.249802704285,825.47422932824,825.474551145741,825.4746896565,825.4746896565
mode7_shell_exchange_dp008,0.006032,6,0.95R-1.0R,318,969.0839342779747,1084.283716621,1273.0240802991998,1273.02422130057,1273.024492907,1273.024492907
mode7_shell_exchange_dp010,0.0,0,0.95R-1.0R,278,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode7_shell_exchange_dp010,0.001005,1,0.95R-1.0R,278,879.0052197569028,876.741992648,891.7060759287,891.7060767142,891.7060767142,891.7060767142
mode7_shell_exchange_dp010,0.002011,2,0.95R-1.0R,278,751.5120721167809,748.5779334312499,803.24854604804,803.24855162736,803.2485586542,803.2485586542
mode7_shell_exchange_dp010,0.003016,3,0.95R-1.0R,278,716.3522467247524,715.0730101080001,746.3732530833349,746.373265398312,746.3732833215,746.3732833215
mode7_shell_exchange_dp010,0.004022,4,0.95R-1.0R,278,611.7361275180614,632.8434865608999,677.78897474867,718.836927422667,718.8370140421,718.8370140421
mode7_shell_exchange_dp010,0.005027,5,0.95R-1.0R,278,413.70135039812885,424.20502551494997,683.926780697475,772.846044002934,772.8461576859,772.8461576859
mode7_shell_exchange_dp010,0.006032,6,0.95R-1.0R,278,381.88022127201884,344.95694870175,692.145190088165,741.483278644158,741.4834081929,741.4834081929
