case,time,targets,corrected,fallback,material_samples,boundary_samples,avg_material,avg_boundary,support,r_min_factor,r_threshold,boundary_weight,condition_limit,cond_min,cond_mean,cond_max,mean_lap,max_abs_lap,mean_abs_replaced,max_abs_replaced
mode8_corrected_laplacian_dp008,0.0,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.2,2284.99,-1750090.0,21662800.0,9141140.0,21662800.0
mode8_corrected_laplacian_dp008,0.0,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.2,2284.99,-1750090.0,21662800.0,9141140.0,21662800.0
mode8_corrected_laplacian_dp008,0.00040217,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.2,2284.99,-670353.0,23972300.0,9534450.0,24878700.0
mode8_corrected_laplacian_dp008,0.00040217,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.2,2284.99,-670353.0,23972300.0,9534450.0,24878700.0
mode8_corrected_laplacian_dp008,0.000482604,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.2,2284.99,-428303.0,24519600.0,9628010.0,25638900.0
mode8_corrected_laplacian_dp008,0.000482604,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.2,2284.99,-428328.0,24519500.0,9628000.0,25638800.0
mode8_corrected_laplacian_dp008,0.000563038,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.2,2285.0,-145021.0,25196000.0,9746540.0,26577300.0
mode8_corrected_laplacian_dp008,0.000563038,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.2,2285.0,-145077.0,25195900.0,9746520.0,26577200.0
mode8_corrected_laplacian_dp008,0.000643472,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.2,2285.0,187081.0,26025900.0,9894840.0,27727400.0
mode8_corrected_laplacian_dp008,0.000643472,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.2,2285.0,186987.0,26025700.0,9894800.0,27727100.0
