dp_label,dp,field,operator,r_over_R_min,r_over_R_max,count,bias,rmse,p95_abs_error
dp=0.010,0.01,constant,material_only,0.0,0.2,4,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,0.2,0.4,26,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,0.4,0.6,78,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,0.6,0.8,146,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,0.8,0.9,135,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,0.9,0.95,72,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,0.95,1.0,33,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,1.0,1.12,245,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_exact_boundary,0.0,0.2,4,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_exact_boundary,0.2,0.4,26,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_exact_boundary,0.4,0.6,78,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_exact_boundary,0.6,0.8,146,-8.744979410482978e-14,6.566624984664646e-13,1.8110981096702559e-12
dp=0.010,0.01,constant,mode8_exact_boundary,0.8,0.9,135,4.056018746671225e-14,1.3402756627289561e-12,3.120976005298007e-12
dp=0.010,0.01,constant,mode8_exact_boundary,0.9,0.95,72,-2.1772397082214862e-14,5.644919101588062e-13,1.0445789157510455e-12
dp=0.010,0.01,constant,mode8_exact_boundary,0.95,1.0,33,-3.9201069282606115e-14,2.3982589512416996e-12,5.211454079607983e-12
dp=0.010,0.01,constant,mode8_exact_boundary,1.0,1.12,245,-1.3098971412631452e-13,2.5762836608495478e-12,5.0573580639326084e-12
dp=0.010,0.01,constant,mode8_positivity,0.0,0.2,4,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_positivity,0.2,0.4,26,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_positivity,0.4,0.6,78,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_positivity,0.6,0.8,146,-8.744979410482978e-14,6.566624984664646e-13,1.8110981096702559e-12
dp=0.010,0.01,constant,mode8_positivity,0.8,0.9,135,4.056018746671225e-14,1.3402756627289561e-12,3.120976005298007e-12
dp=0.010,0.01,constant,mode8_positivity,0.9,0.95,72,-2.1772397082214862e-14,5.644919101588062e-13,1.0445789157510455e-12
dp=0.010,0.01,constant,mode8_positivity,0.95,1.0,33,-3.9201069282606115e-14,2.3982589512416996e-12,5.211454079607983e-12
dp=0.010,0.01,constant,mode8_positivity,1.0,1.12,245,-1.3098971412631452e-13,2.5762836608495478e-12,5.0573580639326084e-12
dp=0.010,0.01,constant,mode8_blend025,0.0,0.2,4,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_blend025,0.2,0.4,26,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_blend025,0.4,0.6,78,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_blend025,0.6,0.8,146,-2.1862448526207444e-14,1.6416562461661614e-13,4.5277452741756397e-13
dp=0.010,0.01,constant,mode8_blend025,0.8,0.9,135,1.0140046866678062e-14,3.3506891568223903e-13,7.802440013245018e-13
dp=0.010,0.01,constant,mode8_blend025,0.9,0.95,72,-5.4430992705537154e-15,1.4112297753970154e-13,2.611447289377614e-13
dp=0.010,0.01,constant,mode8_blend025,0.95,1.0,33,-9.800267320651529e-15,5.995647378104249e-13,1.3028635199019958e-12
dp=0.010,0.01,constant,mode8_blend025,1.0,1.12,245,-3.274742853157863e-14,6.440709152123869e-13,1.2643395159831521e-12
dp=0.010,0.01,constant,mode8_blend050,0.0,0.2,4,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_blend050,0.2,0.4,26,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_blend050,0.4,0.6,78,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_blend050,0.6,0.8,146,-4.372489705241489e-14,3.283312492332323e-13,9.055490548351279e-13
dp=0.010,0.01,constant,mode8_blend050,0.8,0.9,135,2.0280093733356124e-14,6.701378313644781e-13,1.5604880026490035e-12
dp=0.010,0.01,constant,mode8_blend050,0.9,0.95,72,-1.0886198541107431e-14,2.822459550794031e-13,5.222894578755228e-13
dp=0.010,0.01,constant,mode8_blend050,0.95,1.0,33,-1.9600534641303058e-14,1.1991294756208498e-12,2.6057270398039916e-12
dp=0.010,0.01,constant,mode8_blend050,1.0,1.12,245,-6.549485706315726e-14,1.2881418304247739e-12,2.5286790319663042e-12
dp=0.010,0.01,constant,mode8_drained_zero_boundary,0.0,0.2,4,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_drained_zero_boundary,0.2,0.4,26,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_drained_zero_boundary,0.4,0.6,78,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_drained_zero_boundary,0.6,0.8,146,-3291.92763892668,4594.155321584093,6510.8113169771605
dp=0.010,0.01,constant,mode8_drained_zero_boundary,0.8,0.9,135,-6220.114380115088,6361.365301659208,8910.950212989303
dp=0.010,0.01,constant,mode8_drained_zero_boundary,0.9,0.95,72,-2742.3084826802287,2763.3058835836596,2984.1522924335877
dp=0.010,0.01,constant,mode8_drained_zero_boundary,0.95,1.0,33,3100.6291915042316,3727.237393888391,7470.776482090416
dp=0.010,0.01,constant,mode8_drained_zero_boundary,1.0,1.12,245,16118.753066843154,17742.13211496362,23048.324389503097
dp=0.010,0.01,quadratic_r2,material_only,0.0,0.2,4,-0.012905770121049098,0.012905770121049098,0.012905770121049542
dp=0.010,0.01,quadratic_r2,material_only,0.2,0.4,26,-0.012905770121049235,0.012905770121049234,0.012905770121051319
dp=0.010,0.01,quadratic_r2,material_only,0.4,0.6,78,-0.07039768665426023,0.10743528474280555,0.22226144056961797
dp=0.010,0.01,quadratic_r2,material_only,0.6,0.8,146,-1.1595982292158913,1.3906905181616886,1.974480257892594
dp=0.010,0.01,quadratic_r2,material_only,0.8,0.9,135,-4.66633396407766,4.79070058610136,6.092549680492118
dp=0.010,0.01,quadratic_r2,material_only,0.9,0.95,72,-7.222474364626582,7.238739822925191,7.908358139496472
dp=0.010,0.01,quadratic_r2,material_only,0.95,1.0,33,-9.55297460800556,9.563907746086386,10.4630433190226
dp=0.010,0.01,quadratic_r2,material_only,1.0,1.12,245,-11.402445160832794,11.425727911190835,12.244210051406743
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,0.0,0.2,4,-0.012905770121049098,0.012905770121049098,0.012905770121049542
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,0.2,0.4,26,-0.012905770121049235,0.012905770121049234,0.012905770121051319
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,0.4,0.6,78,-0.07039768665426023,0.10743528474280555,0.22226144056961797
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,0.6,0.8,146,-0.20027562406311208,0.3299388032737616,0.8427940815684438
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,0.8,0.9,135,1.1973960917438725e-15,6.752925568661869e-15,1.447730824111204e-14
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,0.9,0.95,72,-1.5049689889363233e-15,6.985686230363393e-15,1.4122036873231996e-14
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,0.95,1.0,33,-2.691449756667046e-15,1.0399310488826938e-14,1.882938249764265e-14
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,1.0,1.12,245,-7.239560425065919e-15,1.2488886669520493e-14,2.3092638912203256e-14
dp=0.010,0.01,quadratic_r2,mode8_positivity,0.0,0.2,4,-0.012905770121049098,0.012905770121049098,0.012905770121049542
dp=0.010,0.01,quadratic_r2,mode8_positivity,0.2,0.4,26,-0.012905770121049235,0.012905770121049234,0.012905770121051319
dp=0.010,0.01,quadratic_r2,mode8_positivity,0.4,0.6,78,-0.07039768665426023,0.10743528474280555,0.22226144056961797
dp=0.010,0.01,quadratic_r2,mode8_positivity,0.6,0.8,146,-0.20027562406311208,0.3299388032737616,0.8427940815684438
dp=0.010,0.01,quadratic_r2,mode8_positivity,0.8,0.9,135,1.1973960917438725e-15,6.752925568661869e-15,1.447730824111204e-14
dp=0.010,0.01,quadratic_r2,mode8_positivity,0.9,0.95,72,-1.5049689889363233e-15,6.985686230363393e-15,1.4122036873231996e-14
dp=0.010,0.01,quadratic_r2,mode8_positivity,0.95,1.0,33,-2.691449756667046e-15,1.0399310488826938e-14,1.882938249764265e-14
dp=0.010,0.01,quadratic_r2,mode8_positivity,1.0,1.12,245,-7.239560425065919e-15,1.2488886669520493e-14,2.3092638912203256e-14
dp=0.010,0.01,quadratic_r2,mode8_blend025,0.0,0.2,4,-0.012905770121049098,0.012905770121049098,0.012905770121049542
dp=0.010,0.01,quadratic_r2,mode8_blend025,0.2,0.4,26,-0.012905770121049235,0.012905770121049234,0.012905770121051319
dp=0.010,0.01,quadratic_r2,mode8_blend025,0.4,0.6,78,-0.07039768665426023,0.10743528474280555,0.22226144056961797
dp=0.010,0.01,quadratic_r2,mode8_blend025,0.6,0.8,146,-0.9197675779276963,1.065604240357421,1.4808601934194436
dp=0.010,0.01,quadratic_r2,mode8_blend025,0.8,0.9,135,-3.4997504730582443,3.59302543957602,4.5694122603690905
dp=0.010,0.01,quadratic_r2,mode8_blend025,0.9,0.95,72,-5.416855773469937,5.429054867193894,5.931268604622355
dp=0.010,0.01,quadratic_r2,mode8_blend025,0.95,1.0,33,-7.16473095600417,7.1729308095647895,7.847282489266951
dp=0.010,0.01,quadratic_r2,mode8_blend025,1.0,1.12,245,-8.5518338706246,8.569295933393127,9.183157538555061
dp=0.010,0.01,quadratic_r2,mode8_blend050,0.0,0.2,4,-0.012905770121049098,0.012905770121049098,0.012905770121049542
dp=0.010,0.01,quadratic_r2,mode8_blend050,0.2,0.4,26,-0.012905770121049235,0.012905770121049234,0.012905770121051319
dp=0.010,0.01,quadratic_r2,mode8_blend050,0.4,0.6,78,-0.07039768665426023,0.10743528474280555,0.22226144056961797
dp=0.010,0.01,quadratic_r2,mode8_blend050,0.6,0.8,146,-0.6799369266395018,0.7517644177237282,0.9872401289462953
dp=0.010,0.01,quadratic_r2,mode8_blend050,0.8,0.9,135,-2.333166982038829,2.39535029305068,3.0462748402460633
dp=0.010,0.01,quadratic_r2,mode8_blend050,0.9,0.95,72,-3.611237182313292,3.6193699114625963,3.9541790697482373
dp=0.010,0.01,quadratic_r2,mode8_blend050,0.95,1.0,33,-4.776487304002781,4.781953873043194,5.231521659511301
dp=0.010,0.01,quadratic_r2,mode8_blend050,1.0,1.12,245,-5.701222580416402,5.712863955595421,6.122105025703378
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,0.0,0.2,4,-0.012905770121049098,0.012905770121049098,0.012905770121049542
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,0.2,0.4,26,-0.012905770121049235,0.012905770121049234,0.012905770121051319
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,0.4,0.6,78,-0.07039768665426023,0.10743528474280555,0.22226144056961797
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,0.6,0.8,146,-8.430094721379811,11.49012637470329,16.277028292442893
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,0.8,0.9,135,-15.550285950287725,15.903413254148022,22.277375532473258
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,0.9,0.95,72,-6.855771206700575,6.908264708959152,7.460380731083971
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,0.95,1.0,33,7.751572978760576,9.318093484720974,18.676941205226022
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,1.0,1.12,245,40.29688266710788,44.35533028740906,57.62081097375773
dp=0.010,0.01,linear_gap,material_only,0.0,0.2,3,28.929480885812865,28.92948088581287,28.929480885812865
dp=0.010,0.01,linear_gap,material_only,0.2,0.4,26,7.83675897804657,11.211346421108816,28.929480885810335
dp=0.010,0.01,linear_gap,material_only,0.4,0.6,78,1.0957570453847705,1.3366957190877466,2.531068081636479
dp=0.010,0.01,linear_gap,material_only,0.6,0.8,146,12.086580333130776,14.377918894756203,20.34414272054036
dp=0.010,0.01,linear_gap,material_only,0.8,0.9,135,44.768400180537014,45.84236211739139,57.078956214707816
dp=0.010,0.01,linear_gap,material_only,0.9,0.95,72,66.41962079070306,66.54387030205376,72.16777680733242
dp=0.010,0.01,linear_gap,material_only,0.95,1.0,33,84.48182243330511,84.56134860028476,91.96423233401599
dp=0.010,0.01,linear_gap,material_only,1.0,1.12,245,96.1348039056002,96.21872459310526,100.28185104287746
dp=0.010,0.01,linear_gap,mode8_exact_boundary,0.0,0.2,3,28.929480885812865,28.92948088581287,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_exact_boundary,0.2,0.4,26,7.83675897804657,11.211346421108816,28.929480885810335
dp=0.010,0.01,linear_gap,mode8_exact_boundary,0.4,0.6,78,1.0957570453847705,1.3366957190877466,2.531068081636479
dp=0.010,0.01,linear_gap,mode8_exact_boundary,0.6,0.8,146,3.681733627320678,4.138046520037755,8.979979598858144
dp=0.010,0.01,linear_gap,mode8_exact_boundary,0.8,0.9,135,-0.06280396377344911,0.7993713838684198,1.3238168304126199
dp=0.010,0.01,linear_gap,mode8_exact_boundary,0.9,0.95,72,-2.0349942916687884,2.0653893922245574,2.5345005770746445
dp=0.010,0.01,linear_gap,mode8_exact_boundary,0.95,1.0,33,-3.0962078424216797,3.1026912957731776,3.4855435051557517
dp=0.010,0.01,linear_gap,mode8_exact_boundary,1.0,1.12,245,-5.867344565446942,6.078652470268413,7.845645776034848
dp=0.010,0.01,linear_gap,mode8_positivity,0.0,0.2,3,28.929480885812865,28.92948088581287,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_positivity,0.2,0.4,26,7.83675897804657,11.211346421108816,28.929480885810335
dp=0.010,0.01,linear_gap,mode8_positivity,0.4,0.6,78,1.0957570453847705,1.3366957190877466,2.531068081636479
dp=0.010,0.01,linear_gap,mode8_positivity,0.6,0.8,146,3.681733627320678,4.138046520037755,8.979979598858144
dp=0.010,0.01,linear_gap,mode8_positivity,0.8,0.9,135,-0.06280396377344911,0.7993713838684198,1.3238168304126199
dp=0.010,0.01,linear_gap,mode8_positivity,0.9,0.95,72,-2.0349942916687884,2.0653893922245574,2.5345005770746445
dp=0.010,0.01,linear_gap,mode8_positivity,0.95,1.0,33,8.697058974032881,21.049741830257574,39.999999999974484
dp=0.010,0.01,linear_gap,mode8_positivity,1.0,1.12,245,38.05093050623315,38.07012771855428,39.99999999999985
dp=0.010,0.01,linear_gap,mode8_blend025,0.0,0.2,3,28.929480885812865,28.92948088581287,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_blend025,0.2,0.4,26,7.83675897804657,11.211346421108816,28.929480885810335
dp=0.010,0.01,linear_gap,mode8_blend025,0.4,0.6,78,1.0957570453847705,1.3366957190877466,2.531068081636479
dp=0.010,0.01,linear_gap,mode8_blend025,0.6,0.8,146,9.98536865667825,11.524485580053028,15.950892794020849
dp=0.010,0.01,linear_gap,mode8_blend025,0.8,0.9,135,33.560599144459395,34.32776425959034,42.47832144378075
dp=0.010,0.01,linear_gap,mode8_blend025,0.9,0.95,72,49.30596702011011,49.39474611589211,53.49233641163819
dp=0.010,0.01,linear_gap,mode8_blend025,0.95,1.0,33,62.58731486437342,62.64602480296753,68.10195419437613
dp=0.010,0.01,linear_gap,mode8_blend025,1.0,1.12,245,70.63426678783843,70.68409375415264,73.44432846363196
dp=0.010,0.01,linear_gap,mode8_blend050,0.0,0.2,3,28.929480885812865,28.92948088581287,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_blend050,0.2,0.4,26,7.83675897804657,11.211346421108816,28.929480885810335
dp=0.010,0.01,linear_gap,mode8_blend050,0.4,0.6,78,1.0957570453847705,1.3366957190877466,2.531068081636479
dp=0.010,0.01,linear_gap,mode8_blend050,0.6,0.8,146,7.884156980225727,8.750808694517284,11.557642867501372
dp=0.010,0.01,linear_gap,mode8_blend050,0.8,0.9,135,22.352798108381776,22.81532998373129,27.877686672853784
dp=0.010,0.01,linear_gap,mode8_blend050,0.9,0.95,72,32.19231324951714,32.24575775674316,34.816896015944025
dp=0.010,0.01,linear_gap,mode8_blend050,0.95,1.0,33,40.69280729544171,40.73073583690088,44.23967605473628
dp=0.010,0.01,linear_gap,mode8_blend050,1.0,1.12,245,45.133729670076626,45.152980720452824,46.606805884386496
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,0.0,0.2,3,28.929480885812865,28.92948088581287,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,0.2,0.4,26,7.83675897804657,11.211346421108816,28.929480885810335
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,0.4,0.6,78,1.0957570453847705,1.3366957190877466,2.531068081636479
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,0.6,0.8,146,3.681733627320677,4.138046520037754,8.979979598858144
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,0.8,0.9,135,-0.0628039637734526,0.799371383868424,1.323816830412617
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,0.9,0.95,72,-2.0349942916687844,2.0653893922245534,2.534500577074666
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,0.95,1.0,33,-3.0962078424216837,3.102691295773182,3.4855435051557424
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,1.0,1.12,245,-5.867344565446944,6.078652470268414,7.845645776034883
dp=0.010,0.01,smooth_quartic,material_only,0.0,0.2,4,423.44465333852895,423.4447582299273,423.8576379824033
dp=0.010,0.01,smooth_quartic,material_only,0.2,0.4,26,422.2930615431132,422.2934573586561,423.2725764035829
dp=0.010,0.01,smooth_quartic,material_only,0.4,0.6,78,426.5660241736502,426.65899653643737,441.45501831930386
dp=0.010,0.01,smooth_quartic,material_only,0.6,0.8,146,436.8321492563758,437.9723237874163,465.912243264303
dp=0.010,0.01,smooth_quartic,material_only,0.8,0.9,135,-58.43269730260738,226.0580041257492,442.0063424467568
dp=0.010,0.01,smooth_quartic,material_only,0.9,0.95,72,-839.2505603465945,854.6556803920098,1067.7011194803572
dp=0.010,0.01,smooth_quartic,material_only,0.95,1.0,33,-1957.9723231286066,1969.2502022160752,2310.6916612556624
dp=0.010,0.01,smooth_quartic,material_only,1.0,1.12,245,-3600.308166311867,3703.395652742877,4745.620681564719
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.0,0.2,4,423.44465333852895,423.4447582299273,423.8576379824033
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.2,0.4,26,422.2930615431132,422.2934573586561,423.2725764035829
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.4,0.6,78,426.5660241736502,426.65899653643737,441.45501831930386
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.6,0.8,146,452.52495660392844,457.119400223157,563.5951328389542
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.8,0.9,135,-235.47815918258368,318.1290372763172,536.5895531796168
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.9,0.95,72,-785.2616655548878,795.8188551170115,968.0050336834988
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.95,1.0,33,-1382.6470389303029,1396.4089470880385,1711.9297313268114
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,1.0,1.12,245,-2249.2410427110794,2284.2368101106563,2772.1236060319197
dp=0.010,0.01,smooth_quartic,mode8_positivity,0.0,0.2,4,423.44465333852895,423.4447582299273,423.8576379824033
dp=0.010,0.01,smooth_quartic,mode8_positivity,0.2,0.4,26,422.2930615431132,422.2934573586561,423.2725764035829
dp=0.010,0.01,smooth_quartic,mode8_positivity,0.4,0.6,78,426.5660241736502,426.65899653643737,441.45501831930386
dp=0.010,0.01,smooth_quartic,mode8_positivity,0.6,0.8,146,452.52495660392844,457.119400223157,563.5951328389542
dp=0.010,0.01,smooth_quartic,mode8_positivity,0.8,0.9,135,-235.47815918258368,318.1290372763172,536.5895531796168
dp=0.010,0.01,smooth_quartic,mode8_positivity,0.9,0.95,72,-785.2616655548878,795.8188551170115,968.0050336834988
dp=0.010,0.01,smooth_quartic,mode8_positivity,0.95,1.0,33,-1382.6470389303029,1396.4089470880385,1711.9297313268114
dp=0.010,0.01,smooth_quartic,mode8_positivity,1.0,1.12,245,-2249.2410427110794,2284.2368101106563,2772.1236060319197
dp=0.010,0.01,smooth_quartic,mode8_blend025,0.0,0.2,4,423.44465333852895,423.4447582299273,423.8576379824033
dp=0.010,0.01,smooth_quartic,mode8_blend025,0.2,0.4,26,422.2930615431132,422.2934573586561,423.2725764035829
dp=0.010,0.01,smooth_quartic,mode8_blend025,0.4,0.6,78,426.5660241736502,426.65899653643737,441.45501831930386
dp=0.010,0.01,smooth_quartic,mode8_blend025,0.6,0.8,146,440.75535109326404,442.462804582469,490.3329656579658
dp=0.010,0.01,smooth_quartic,mode8_blend025,0.8,0.9,135,-102.69406277260143,238.59570770883977,465.6521451299741
dp=0.010,0.01,smooth_quartic,mode8_blend025,0.9,0.95,72,-825.7533366486678,839.8907704384507,1042.7770980311388
dp=0.010,0.01,smooth_quartic,mode8_blend025,0.95,1.0,33,-1814.1410020790306,1825.8819983066849,2161.0011787734497
dp=0.010,0.01,smooth_quartic,mode8_blend025,1.0,1.12,245,-3262.54138541167,3347.6678522811035,4252.24641268142
dp=0.010,0.01,smooth_quartic,mode8_blend050,0.0,0.2,4,423.44465333852895,423.4447582299273,423.8576379824033
dp=0.010,0.01,smooth_quartic,mode8_blend050,0.2,0.4,26,422.2930615431132,422.2934573586561,423.2725764035829
dp=0.010,0.01,smooth_quartic,mode8_blend050,0.4,0.6,78,426.5660241736502,426.65899653643737,441.45501831930386
dp=0.010,0.01,smooth_quartic,mode8_blend050,0.6,0.8,146,444.67855293015214,447.1549963120552,514.7536880516286
dp=0.010,0.01,smooth_quartic,mode8_blend050,0.8,0.9,135,-146.9554282425955,259.26907341185836,489.29794781318833
dp=0.010,0.01,smooth_quartic,mode8_blend050,0.9,0.95,72,-812.2561129507412,825.1616714541781,1017.8530765819255
dp=0.010,0.01,smooth_quartic,mode8_blend050,0.95,1.0,33,-1670.3096810294546,1682.6011333966758,2011.3106962912366
dp=0.010,0.01,smooth_quartic,mode8_blend050,1.0,1.12,245,-2924.7746045114727,2992.417086458454,3758.8721437982535
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.0,0.2,4,423.44465333852895,423.4447582299273,423.8576379824033
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.2,0.4,26,422.2930615431132,422.2934573586561,423.2725764035829
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.4,0.6,78,426.5660241736502,426.65899653643737,441.45501831930386
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.6,0.8,146,452.52495660392844,457.119400223157,563.5951328389542
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.8,0.9,135,-235.47815918258368,318.1290372763172,536.5895531796168
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.9,0.95,72,-785.2616655548878,795.8188551170115,968.0050336834988
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.95,1.0,33,-1382.6470389303029,1396.4089470880385,1711.9297313268114
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,1.0,1.12,245,-2249.2410427110794,2284.2368101106563,2772.1236060319197
dp=0.008,0.008,constant,material_only,0.0,0.2,7,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.2,0.4,74,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.4,0.6,170,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.6,0.8,243,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.8,0.9,245,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.9,0.95,156,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.95,1.0,126,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,1.0,1.12,192,0.0,0.0,0.0
