dp_label,dp,field,operator,zone,count,bias,rmse,p95_abs_error,max_abs_error
dp=0.010,0.01,constant,material_only,interior,108,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,middle,233,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,near_boundary,398,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,all_valid,739,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_exact_boundary,interior,108,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_exact_boundary,middle,233,-3.1816709873317934e-14,8.557211926903218e-13,1.9194594290194815e-12,3.989751136950978e-12
dp=0.010,0.01,constant,mode8_exact_boundary,near_boundary,398,-8.751879162816189e-14,2.2269003307766767e-12,4.689229120496116e-12,1.4243927536357866e-11
dp=0.010,0.01,constant,mode8_exact_boundary,all_valid,739,-5.71661332455907e-14,1.7034281100960733e-12,3.456115761777422e-12,1.4243927536357866e-11
dp=0.010,0.01,constant,mode8_positivity,interior,108,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_positivity,middle,233,-3.1816709873317934e-14,8.557211926903218e-13,1.9194594290194815e-12,3.989751136950978e-12
dp=0.010,0.01,constant,mode8_positivity,near_boundary,398,-8.751879162816189e-14,2.2269003307766767e-12,4.689229120496116e-12,1.4243927536357866e-11
dp=0.010,0.01,constant,mode8_positivity,all_valid,739,-5.71661332455907e-14,1.7034281100960733e-12,3.456115761777422e-12,1.4243927536357866e-11
dp=0.010,0.01,constant,mode8_blend025,interior,108,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_blend025,middle,233,-7.954177468329484e-15,2.1393029817258044e-13,4.798648572548704e-13,9.974377842377444e-13
dp=0.010,0.01,constant,mode8_blend025,near_boundary,398,-2.187969790704047e-14,5.567250826941692e-13,1.172307280124029e-12,3.5609818840894664e-12
dp=0.010,0.01,constant,mode8_blend025,all_valid,739,-1.4291533311397674e-14,4.258570275240183e-13,8.640289404443555e-13,3.5609818840894664e-12
dp=0.010,0.01,constant,mode8_blend050,interior,108,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_blend050,middle,233,-1.5908354936658967e-14,4.278605963451609e-13,9.597297145097407e-13,1.994875568475489e-12
dp=0.010,0.01,constant,mode8_blend050,near_boundary,398,-4.375939581408094e-14,1.1134501653883384e-12,2.344614560248058e-12,7.121963768178933e-12
dp=0.010,0.01,constant,mode8_blend050,all_valid,739,-2.858306662279535e-14,8.517140550480366e-13,1.728057880888711e-12,7.121963768178933e-12
dp=0.010,0.01,constant,mode8_drained_zero_boundary,interior,108,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_drained_zero_boundary,middle,233,-4427.860585769171,5361.479540946,7622.091052916521,8911.069373759376
dp=0.010,0.01,constant,mode8_drained_zero_boundary,near_boundary,398,8958.09973323774,14175.584748760792,23047.487676693476,23053.94232874655
dp=0.010,0.01,constant,mode8_drained_zero_boundary,all_valid,739,3428.460321169693,10829.886455361533,23039.967740590604,23053.94232874655
dp=0.010,0.01,quadratic_r2,material_only,interior,108,-0.054427709839479387,0.0915554536918798,0.22226144056961683,0.22226144056962038
dp=0.010,0.01,quadratic_r2,material_only,middle,233,-2.204012295444734,2.6844158801965845,4.58855364079473,5.26078165605185
dp=0.010,0.01,quadratic_r2,material_only,near_boundary,398,-9.83564558416762,10.084690950860209,12.24421005140673,12.244210051406759
dp=0.010,0.01,quadratic_r2,material_only,all_valid,739,-6.0,7.55287349039694,12.2442100514067,12.244210051406759
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,interior,108,-0.054427709839479387,0.0915554536918798,0.22226144056961683,0.22226144056962038
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,middle,233,-0.12549459705242125,0.2611751556567753,0.5150860736802724,0.9520300841978377
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,near_boundary,398,-5.076899258336143e-15,1.0896398234557418e-14,2.1316282072803006e-14,3.2862601528904634e-14
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,all_valid,739,-0.047521561266414,0.15077069914292285,0.2624447596956615,0.9520300841978377
dp=0.010,0.01,quadratic_r2,mode8_positivity,interior,108,-0.054427709839479387,0.0915554536918798,0.22226144056961683,0.22226144056962038
dp=0.010,0.01,quadratic_r2,mode8_positivity,middle,233,-0.12549459705242125,0.2611751556567753,0.5150860736802724,0.9520300841978377
dp=0.010,0.01,quadratic_r2,mode8_positivity,near_boundary,398,-5.076899258336143e-15,1.0896398234557418e-14,2.1316282072803006e-14,3.2862601528904634e-14
dp=0.010,0.01,quadratic_r2,mode8_positivity,all_valid,739,-0.047521561266414,0.15077069914292285,0.2624447596956615,0.9520300841978377
dp=0.010,0.01,quadratic_r2,mode8_blend025,interior,108,-0.054427709839479387,0.0915554536918798,0.22226144056961683,0.22226144056962038
dp=0.010,0.01,quadratic_r2,mode8_blend025,middle,233,-1.6843828708466564,2.020709726714088,3.441415230596047,3.9455862420388894
dp=0.010,0.01,quadratic_r2,mode8_blend025,near_boundary,398,-7.376734188125718,7.563518213145158,9.183157538555047,9.183157538555072
dp=0.010,0.01,quadratic_r2,mode8_blend025,all_valid,739,-4.5118803903166045,5.665532875883721,9.183157538555026,9.183157538555072
dp=0.010,0.01,quadratic_r2,mode8_blend050,interior,108,-0.054427709839479387,0.0915554536918798,0.22226144056961683,0.22226144056962038
dp=0.010,0.01,quadratic_r2,mode8_blend050,middle,233,-1.1647534462485778,1.361132433274644,2.2942768203973642,2.630390828025929
dp=0.010,0.01,quadratic_r2,mode8_blend050,near_boundary,398,-4.917822792083813,5.042345475430106,6.12210502570337,6.1221050257033856
