case,time,negative_pressure_count,min_pressure
mode8_limiter_off_dp008,0.0,0,
mode8_limiter_off_dp008,0.001046,0,
mode8_limiter_off_dp008,0.002011,0,
mode8_limiter_off_dp008,0.003056,0,
mode8_limiter_off_dp008,0.004021,72,
mode8_limiter_off_dp008,0.005066,887,
mode8_limiter_off_dp008,0.006031,74,
mode8_positivity_dp008,0.0,0,1000.0
mode8_positivity_dp008,0.001046,0,823.637486936
mode8_positivity_dp008,0.002011,0,1014.827332628
mode8_positivity_dp008,0.003056,0,1091.826893263
mode8_positivity_dp008,0.004021,72,-525.0658366023
mode8_positivity_dp008,0.005066,863,-4915.364294186
mode8_positivity_dp008,0.006031,54,-317.6575169253
mode8_blend025_dp008,0.0,0,1000.0
mode8_blend025_dp008,0.001046,0,955.2020232865
mode8_blend025_dp008,0.002011,0,997.2588495059
mode8_blend025_dp008,0.003056,0,1004.67414939
mode8_blend025_dp008,0.004022,0,589.9289718974
mode8_blend025_dp008,0.005067,24,-225.5022591317
mode8_blend025_dp008,0.006032,0,753.6744931172
mode8_blend050_dp008,0.0,0,1000.0
mode8_blend050_dp008,0.001046,0,910.8697564931
mode8_blend050_dp008,0.002011,0,998.7057081451
mode8_blend050_dp008,0.003056,0,1023.122366512
mode8_blend050_dp008,0.004022,0,188.0512504795
mode8_blend050_dp008,0.005067,120,-1694.803348194
mode8_blend050_dp008,0.006032,0,457.4881710106
mode8_blend050_positivity_dp008,0.0,0,1000.0
mode8_blend050_positivity_dp008,0.001046,0,910.8697564931
mode8_blend050_positivity_dp008,0.002011,0,998.7057081451
mode8_blend050_positivity_dp008,0.003056,0,1023.122366512
mode8_blend050_positivity_dp008,0.004022,0,188.0512504795
mode8_blend050_positivity_dp008,0.005067,120,-1682.946699484
mode8_blend050_positivity_dp008,0.006032,0,459.2811050003
