case,time,porepressrate_maxAbs
mode8_limiter_off_dp008,0.0,0.0
mode8_limiter_off_dp008,0.001046,821195.75
mode8_limiter_off_dp008,0.002011,1505776.9
mode8_limiter_off_dp008,0.003056,582620.81
mode8_limiter_off_dp008,0.004021,4516839.0
mode8_limiter_off_dp008,0.005066,9712808.0
mode8_limiter_off_dp008,0.006031,9369854.0
mode8_positivity_dp008,0.0,0.0
mode8_positivity_dp008,0.001046,821195.75
mode8_positivity_dp008,0.002011,1505776.9
mode8_positivity_dp008,0.003056,582620.81
mode8_positivity_dp008,0.004021,4418387.0
mode8_positivity_dp008,0.005066,8294320.5
mode8_positivity_dp008,0.006031,9740162.0
mode8_blend025_dp008,0.0,0.0
mode8_blend025_dp008,0.001046,182397.23
mode8_blend025_dp008,0.002011,328791.91
mode8_blend025_dp008,0.003056,168103.14
mode8_blend025_dp008,0.004022,1017124.1
mode8_blend025_dp008,0.005067,1499213.0
mode8_blend025_dp008,0.006032,2619829.8
mode8_blend050_dp008,0.0,0.0
mode8_blend050_dp008,0.001046,379513.81
mode8_blend050_dp008,0.002011,687129.81
mode8_blend050_dp008,0.003056,324297.59
mode8_blend050_dp008,0.004022,2119573.3
mode8_blend050_dp008,0.005067,3569113.8
mode8_blend050_dp008,0.006032,4990824.5
mode8_blend050_positivity_dp008,0.0,0.0
mode8_blend050_positivity_dp008,0.001046,379513.81
mode8_blend050_positivity_dp008,0.002011,687129.81
mode8_blend050_positivity_dp008,0.003056,324297.59
mode8_blend050_positivity_dp008,0.004022,2119573.3
mode8_blend050_positivity_dp008,0.005067,3514602.0
mode8_blend050_positivity_dp008,0.006032,4992327.5
