case,time,frame_index,r_over_R_min,r_over_R_max,r_over_R_mid,count,sph_mean_pressure,sph_p95_abs_pressure
mode8_positivity_dp008,0.0,0,0.0,0.2,0.1,7,1000.0,1000.0
mode8_positivity_dp008,0.0,0,0.2,0.4,0.30000000000000004,74,1000.0,1000.0
mode8_positivity_dp008,0.0,0,0.4,0.6,0.5,170,1000.0,1000.0
mode8_positivity_dp008,0.0,0,0.6,0.8,0.7,240,1000.0,1000.0
mode8_positivity_dp008,0.0,0,0.8,0.9,0.8500000000000001,248,1000.0,1000.0
mode8_positivity_dp008,0.0,0,0.9,0.95,0.925,156,1000.0,1000.0
mode8_positivity_dp008,0.0,0,0.95,1.0,0.975,126,1000.0,1000.0
mode8_positivity_dp008,0.001046,1,0.0,0.2,0.1,7,994.7698285690286,994.9777430029201
mode8_positivity_dp008,0.001046,1,0.2,0.4,0.30000000000000004,74,993.9414365113852,995.3544989715599
mode8_positivity_dp008,0.001046,1,0.4,0.6,0.5,170,994.0030563556899,997.123463028135
mode8_positivity_dp008,0.001046,1,0.6,0.8,0.7,258,1007.9678371669249,1021.58516993635
mode8_positivity_dp008,0.001046,1,0.8,0.9,0.8500000000000001,230,999.638152480578,1024.92932596435
mode8_positivity_dp008,0.001046,1,0.9,0.95,0.925,156,961.1261128500872,998.316015209125
mode8_positivity_dp008,0.001046,1,0.95,1.0,0.975,126,938.0880694696981,971.519772470025
mode8_positivity_dp008,0.002011,2,0.0,0.2,0.1,7,1202.8183471412856,1205.5216032425
mode8_positivity_dp008,0.002011,2,0.2,0.4,0.30000000000000004,74,1192.6691452168782,1198.3579365131
mode8_positivity_dp008,0.002011,2,0.4,0.6,0.5,170,1186.9423103971708,1191.6231962063
mode8_positivity_dp008,0.002011,2,0.6,0.8,0.7,258,1177.8695402539383,1190.3924460747999
mode8_positivity_dp008,0.002011,2,0.8,0.9,0.8500000000000001,230,1172.0846073196988,1191.5684485565
mode8_positivity_dp008,0.002011,2,0.9,0.95,0.925,156,1187.3005963185701,1232.610825269
mode8_positivity_dp008,0.002011,2,0.95,1.0,0.975,126,1143.2612990235957,1187.166118936
mode8_positivity_dp008,0.003056,3,0.0,0.2,0.1,7,1229.4443817775714,1232.3424196498001
mode8_positivity_dp008,0.003056,3,0.2,0.4,0.30000000000000004,74,1231.352631773743,1241.3597137285499
mode8_positivity_dp008,0.003056,3,0.4,0.6,0.5,170,1215.0459089234234,1219.134059469
mode8_positivity_dp008,0.003056,3,0.6,0.8,0.7,258,1214.7198978440654,1230.9406051321998
mode8_positivity_dp008,0.003056,3,0.8,0.9,0.8500000000000001,230,1195.1712336615744,1242.7225762437502
mode8_positivity_dp008,0.003056,3,0.9,0.95,0.925,156,1203.894936236077,1242.9700093715
mode8_positivity_dp008,0.003056,3,0.95,1.0,0.975,126,1187.3307717044204,1280.9405152304998
mode8_positivity_dp008,0.004021,4,0.0,0.2,0.1,7,795.1878549514856,803.66540399807
mode8_positivity_dp008,0.004021,4,0.2,0.4,0.30000000000000004,74,846.3802124831014,863.017920411115
mode8_positivity_dp008,0.004021,4,0.4,0.6,0.5,170,800.3215220259045,811.142083745975
mode8_positivity_dp008,0.004021,4,0.6,0.8,0.7,258,816.4300785323586,844.425653830425
mode8_positivity_dp008,0.004021,4,0.8,0.9,0.8500000000000001,230,749.8278001514899,833.252367019875
mode8_positivity_dp008,0.004021,4,0.9,0.95,0.925,156,967.4966852238579,1211.24675268
mode8_positivity_dp008,0.004021,4,0.95,1.0,0.975,126,1163.3227924106986,1318.63435806
mode8_positivity_dp008,0.005066,5,0.0,0.2,0.1,7,-154.31593550534288,164.15799669435
mode8_positivity_dp008,0.005066,5,0.2,0.4,0.30000000000000004,74,-49.82193894250202,116.583839892235
mode8_positivity_dp008,0.005066,5,0.4,0.6,0.5,170,-75.29529592513232,95.50093990992099
mode8_positivity_dp008,0.005066,5,0.6,0.8,0.7,234,-20.632885564461354,75.4762650754295
mode8_positivity_dp008,0.005066,5,0.8,0.9,0.8500000000000001,254,-92.31431039587643,169.884564736295
mode8_positivity_dp008,0.005066,5,0.9,0.95,0.925,156,551.1090368534756,1203.41463223075
mode8_positivity_dp008,0.005066,5,0.95,1.0,0.975,126,875.3073111541328,1525.44182573175
mode8_positivity_dp008,0.006031,6,0.0,0.2,0.1,7,244.69841063121427,268.15814598721
mode8_positivity_dp008,0.006031,6,0.2,0.4,0.30000000000000004,74,245.8212431877203,264.629457986445
mode8_positivity_dp008,0.006031,6,0.4,0.6,0.5,170,323.95946489223354,337.830182411105
mode8_positivity_dp008,0.006031,6,0.6,0.8,0.7,240,361.35109574310263,408.46628757952504
mode8_positivity_dp008,0.006031,6,0.8,0.9,0.8500000000000001,248,478.04681013993616,649.912100062515
mode8_positivity_dp008,0.006031,6,0.9,0.95,0.925,156,424.66285961522124,620.881096832625
mode8_positivity_dp008,0.006031,6,0.95,1.0,0.975,126,166.34543285100958,836.9733077450251
mode8_blend025_dp008,0.0,0,0.0,0.2,0.1,7,1000.0,1000.0
mode8_blend025_dp008,0.0,0,0.2,0.4,0.30000000000000004,74,1000.0,1000.0
mode8_blend025_dp008,0.0,0,0.4,0.6,0.5,170,1000.0,1000.0
mode8_blend025_dp008,0.0,0,0.6,0.8,0.7,240,1000.0,1000.0
mode8_blend025_dp008,0.0,0,0.8,0.9,0.8500000000000001,248,1000.0,1000.0
mode8_blend025_dp008,0.0,0,0.9,0.95,0.925,156,1000.0,1000.0
mode8_blend025_dp008,0.0,0,0.95,1.0,0.975,126,1000.0,1000.0
mode8_blend025_dp008,0.001046,1,0.0,0.2,0.1,7,998.5234776908428,998.57533093504
mode8_blend025_dp008,0.001046,1,0.2,0.4,0.30000000000000004,74,998.2424731214352,998.6588089036751
mode8_blend025_dp008,0.001046,1,0.4,0.6,0.5,170,998.043239219875,998.74843557769
mode8_blend025_dp008,0.001046,1,0.6,0.8,0.7,258,1001.3962432591197,1004.7611469603999
mode8_blend025_dp008,0.001046,1,0.8,0.9,0.8500000000000001,230,999.2400484717388,1005.6019898982
mode8_blend025_dp008,0.001046,1,0.9,0.95,0.925,156,989.0921038136904,998.6466573601749
mode8_blend025_dp008,0.001046,1,0.95,1.0,0.975,126,982.8738070447837,990.402587750475
mode8_blend025_dp008,0.002011,2,0.0,0.2,0.1,7,1042.7510911788572,1043.373416228
mode8_blend025_dp008,0.002011,2,0.2,0.4,0.30000000000000004,74,1040.3326043323107,1041.7106354121502
mode8_blend025_dp008,0.002011,2,0.4,0.6,0.5,170,1038.8087967632168,1039.94578945285
mode8_blend025_dp008,0.002011,2,0.6,0.8,0.7,258,1036.1103497871247,1038.3560636232
mode8_blend025_dp008,0.002011,2,0.8,0.9,0.8500000000000001,230,1034.0614448045608,1037.88218712745
mode8_blend025_dp008,0.002011,2,0.9,0.95,0.925,156,1036.3866991075192,1046.847079971
mode8_blend025_dp008,0.002011,2,0.95,1.0,0.975,126,1026.016619835316,1035.5832463295
mode8_blend025_dp008,0.003056,3,0.0,0.2,0.1,7,1035.2631579867145,1036.0295560695001
mode8_blend025_dp008,0.003056,3,0.2,0.4,0.30000000000000004,74,1036.4472730442972,1039.0523697029998
mode8_blend025_dp008,0.003056,3,0.4,0.6,0.5,170,1032.110034494312,1033.0564334374
mode8_blend025_dp008,0.003056,3,0.6,0.8,0.7,258,1031.8318202755277,1034.85789528755
mode8_blend025_dp008,0.003056,3,0.8,0.9,0.8500000000000001,230,1026.8912510109135,1037.2167660658001
mode8_blend025_dp008,0.003056,3,0.9,0.95,0.925,156,1028.7924060226342,1036.253786889
mode8_blend025_dp008,0.003056,3,0.95,1.0,0.975,126,1026.7452382691663,1044.819761762
mode8_blend025_dp008,0.004022,4,0.0,0.2,0.1,7,923.8027409707286,925.8249948743901
mode8_blend025_dp008,0.004022,4,0.2,0.4,0.30000000000000004,74,937.7626173943985,941.291383139635
mode8_blend025_dp008,0.004022,4,0.4,0.6,0.5,170,926.9974519396586,929.6889414745551
mode8_blend025_dp008,0.004022,4,0.6,0.8,0.7,258,931.0958946183642,936.9402434579249
mode8_blend025_dp008,0.004022,4,0.8,0.9,0.8500000000000001,230,915.9692558372479,933.5167784553599
mode8_blend025_dp008,0.004022,4,0.9,0.95,0.925,156,969.0682791274103,1030.027017316
mode8_blend025_dp008,0.004022,4,0.95,1.0,0.975,126,1019.5367955657792,1052.9205942575
mode8_blend025_dp008,0.005067,5,0.0,0.2,0.1,7,750.7884644510572,752.21191917727
mode8_blend025_dp008,0.005067,5,0.2,0.4,0.30000000000000004,74,770.9142033988744,778.725165020295
mode8_blend025_dp008,0.005067,5,0.4,0.6,0.5,170,767.6231713072677,773.2824456580549
mode8_blend025_dp008,0.005067,5,0.6,0.8,0.7,234,777.7857578558551,798.77932444253
mode8_blend025_dp008,0.005067,5,0.8,0.9,0.8500000000000001,254,761.529179453494,790.8499135509601
mode8_blend025_dp008,0.005067,5,0.9,0.95,0.925,156,899.6312017072903,1040.0248946125
mode8_blend025_dp008,0.005067,5,0.95,1.0,0.975,126,969.3288437496026,1105.9382081055
mode8_blend025_dp008,0.006032,6,0.0,0.2,0.1,7,917.2822791445,923.9739772896
mode8_blend025_dp008,0.006032,6,0.2,0.4,0.30000000000000004,74,913.1462937767092,916.7654812737351
mode8_blend025_dp008,0.006032,6,0.4,0.6,0.5,170,930.2003960738583,933.05395186573
mode8_blend025_dp008,0.006032,6,0.6,0.8,0.7,240,935.5289356730028,944.487518122485
