nu,root_count,reference_root_count,max_abs_diff_vs_reference
0.1,20,200,6.5672998537693106e-01
0.1,50,200,8.0579248317239616e-02
0.1,100,200,4.6642458003898213e-05
0.1,200,200,0.0000000000000000e+00
0.2,20,200,6.5735568307885994e-01
0.2,50,200,8.0586496605016711e-02
0.2,100,200,4.6640973477618530e-05
0.2,200,200,0.0000000000000000e+00
0.3,20,200,6.5814196519956703e-01
0.3,50,200,8.0595451244954819e-02
0.3,100,200,4.6639011830773569e-05
0.3,200,200,0.0000000000000000e+00
0.45,20,200,6.5978615857689338e-01
0.45,50,200,8.0613564215741729e-02
0.45,100,200,4.6634525088240508e-05
0.45,200,200,0.0000000000000000e+00
