nu,eta,Tv,normalized_center_pressure,root_count,formula
0.1,1.125,1.0000000000000000e-04,1.0201977986605117e+00,200,paper_eq_46_47
0.1,1.125,1.0194061408051501e-04,1.0203941748313745e+00,200,paper_eq_46_47
0.1,1.125,1.0391888799112494e-04,1.0205924731352825e+00,200,paper_eq_46_47
0.1,1.125,1.0593555256379533e-04,1.0207927126311911e+00,200,paper_eq_46_47
0.1,1.125,1.0799135281311972e-04,1.0209949125716618e+00,200,paper_eq_46_47
0.1,1.125,1.1008704821154976e-04,1.0211990924049041e+00,200,paper_eq_46_47
0.1,1.125,1.1222341296996644e-04,1.0214052717768622e+00,200,paper_eq_46_47
0.1,1.125,1.1440123632369623e-04,1.0216134705332980e+00,200,paper_eq_46_47
0.1,1.125,1.1662132282407713e-04,1.0218237087219337e+00,200,paper_eq_46_47
0.1,1.125,1.1888449263568403e-04,1.0220360065945759e+00,200,paper_eq_46_47
0.1,1.125,1.2119158183932093e-04,1.0222503846093078e+00,200,paper_eq_46_47
0.1,1.125,1.2354344274089366e-04,1.0224668634326686e+00,200,paper_eq_46_47
0.1,1.125,1.2594094418627645e-04,1.0226854639418816e+00,200,paper_eq_46_47
0.1,1.125,1.2838497188228886e-04,1.0229062072271036e+00,200,paper_eq_46_47
0.1,1.125,1.3087642872390180e-04,1.0231291145936858e+00,200,paper_eq_46_47
0.1,1.125,1.3341623512779302e-04,1.0233542075644848e+00,200,paper_eq_46_47
0.1,1.125,1.3600532937237600e-04,1.0235815078821757e+00,200,paper_eq_46_47
0.1,1.125,1.3864466794442711e-04,1.0238110375116074e+00,200,paper_eq_46_47
0.1,1.125,1.4133522589243995e-04,1.0240428186421808e+00,200,paper_eq_46_47
0.1,1.125,1.4407799718683633e-04,1.0242768736902546e+00,200,paper_eq_46_47
0.1,1.125,1.4687399508716824e-04,1.0245132253015683e+00,200,paper_eq_46_47
0.1,1.125,1.4972425251644474e-04,1.0247518963537241e+00,200,paper_eq_46_47
0.1,1.125,1.5262982244272473e-04,1.0249929099586508e+00,200,paper_eq_46_47
0.1,1.125,1.5559177826811329e-04,1.0252362894651363e+00,200,paper_eq_46_47
0.1,1.125,1.5861121422530797e-04,1.0254820584613742e+00,200,paper_eq_46_47
0.1,1.125,1.6168924578184013e-04,1.0257302407775335e+00,200,paper_eq_46_47
0.1,1.125,1.6482701005216105e-04,1.0259808604883720e+00,200,paper_eq_46_47
0.1,1.125,1.6802566621772517e-04,1.0262339419158630e+00,200,paper_eq_46_47
0.1,1.125,1.7128639595522549e-04,1.0264895096318769e+00,200,paper_eq_46_47
0.1,1.125,1.7461040387313926e-04,1.0267475884608568e+00,200,paper_eq_46_47
0.1,1.125,1.7799891795674554e-04,1.0270082034825785e+00,200,paper_eq_46_47
0.1,1.125,1.8145319002177849e-04,1.0272713800348754e+00,200,paper_eq_46_47
0.1,1.125,1.8497449617688478e-04,1.0275371437164620e+00,200,paper_eq_46_47
0.1,1.125,1.8856413729505529e-04,1.0278055203897414e+00,200,paper_eq_46_47
0.1,1.125,1.9222343949420459e-04,1.0280765361836770e+00,200,paper_eq_46_47
0.1,1.125,1.9595375462707956e-04,1.0283502174966674e+00,200,paper_eq_46_47
0.1,1.125,1.9975646078067050e-04,1.0286265909994918e+00,200,paper_eq_46_47
0.1,1.125,2.0363296278531862e-04,1.0289056836382544e+00,200,paper_eq_46_47
0.1,1.125,2.0758469273370040e-04,1.0291875226373883e+00,200,paper_eq_46_47
0.1,1.125,2.1161311050988440e-04,1.0294721355026826e+00,200,paper_eq_46_47
0.1,1.125,2.1571970432865498e-04,1.0297595500243488e+00,200,paper_eq_46_47
0.1,1.125,2.1990599128530222e-04,1.0300497942801223e+00,200,paper_eq_46_47
0.1,1.125,2.2417351791608088e-04,1.0303428966383967e+00,200,paper_eq_46_47
0.1,1.125,2.2852386076954620e-04,1.0306388857614055e+00,200,paper_eq_46_47
0.1,1.125,2.3295862698897651e-04,1.0309377906084296e+00,200,paper_eq_46_47
0.1,1.125,2.3747945490609903e-04,1.0312396404390560e+00,200,paper_eq_46_47
0.1,1.125,2.4208801464633732e-04,1.0315444648164542e+00,200,paper_eq_46_47
0.1,1.125,2.4678600874580310e-04,1.0318522936107120e+00,200,paper_eq_46_47
0.1,1.125,2.5157517278026544e-04,1.0321631570022045e+00,200,paper_eq_46_47
0.1,1.125,2.5645727600631923e-04,1.0324770854849983e+00,200,paper_eq_46_47
0.1,1.125,2.6143412201500309e-04,1.0327941098702966e+00,200,paper_eq_46_47
0.1,1.125,2.6650754939809698e-04,1.0331142612899376e+00,200,paper_eq_46_47
0.1,1.125,2.7167943242735194e-04,1.0334375711999124e+00,200,paper_eq_46_47
0.1,1.125,2.7695168174690041e-04,1.0337640713839464e+00,200,paper_eq_46_47
0.1,1.125,2.8232624507910388e-04,1.0340937939571135e+00,200,paper_eq_46_47
0.1,1.125,2.8780510794409824e-04,1.0344267713694903e+00,200,paper_eq_46_47
0.1,1.125,2.9339029439330285e-04,1.0347630364098575e+00,200,paper_eq_46_47
0.1,1.125,2.9908386775716371e-04,1.0351026222094557e+00,200,paper_eq_46_47
0.1,1.125,3.0488793140740812e-04,1.0354455622457650e+00,200,paper_eq_46_47
0.1,1.125,3.1080462953409123e-04,1.0357918903463461e+00,200,paper_eq_46_47
0.1,1.125,3.1683614793772227e-04,1.0361416406927246e+00,200,paper_eq_46_47
0.1,1.125,3.2298471483676341e-04,1.0364948478243194e+00,200,paper_eq_46_47
0.1,1.125,3.2925260169079689e-04,1.0368515466424133e+00,200,paper_eq_46_47
0.1,1.125,3.3564212403967044e-04,1.0372117724141898e+00,200,paper_eq_46_47
0.1,1.125,3.4215564235892394e-04,1.0375755607767916e+00,200,paper_eq_46_47
0.1,1.125,3.4879556293181780e-04,1.0379429477414563e+00,200,paper_eq_46_47
0.1,1.125,3.5556433873828422e-04,1.0383139696976769e+00,200,paper_eq_46_47
0.1,1.125,3.6246447036112944e-04,1.0386886634174286e+00,200,paper_eq_46_47
0.1,1.125,3.6949850690982169e-04,1.0390670660594421e+00,200,paper_eq_46_47
0.1,1.125,3.7666904696220636e-04,1.0394492151735317e+00,200,paper_eq_46_47
0.1,1.125,3.8397873952449664e-04,1.0398351487049637e+00,200,paper_eq_46_47
0.1,1.125,3.9143028500989308e-04,1.0402249049988987e+00,200,paper_eq_46_47
