nu,eta,root_index,xi,residual,scaled_residual
0.1,1.125,1,2.2651426856139301e+00,2.2204460492503131e-15,9.8026762876904378e-16
0.1,1.125,2,5.9799905537168128e+00,3.5527136788005009e-15,5.9410021585942796e-16
0.1,1.125,3,9.2305562898826246e+00,9.0594198809412774e-14,9.8145979466817025e-15
0.1,1.125,4,1.2422593342166067e+01,-2.1849189124623081e-13,1.7588267218295133e-14
0.1,1.125,5,1.5593617827964344e+01,-1.3500311979441904e-13,8.6575880776246324e-15
0.1,1.125,6,1.8754569370376991e+01,5.0803805606847163e-13,2.7088761465827549e-14
0.1,1.125,7,2.1909885875030721e+01,-8.1357143244531471e-13,3.7132618448391344e-14
0.1,1.125,8,2.5061723537908584e+01,-1.2789769243681803e-13,5.1033079286569762e-15
0.1,1.125,9,2.8211259977226160e+01,-1.1937117960769683e-12,4.2313310254154009e-14
0.1,1.125,10,3.1359194010384297e+01,1.7763568394002505e-13,5.6645487725609813e-15
0.1,1.125,11,3.4505966986281834e+01,-4.4337866711430252e-12,1.2849333197663227e-13
0.1,1.125,12,3.7651871545106729e+01,-7.3185901783290319e-13,1.9437520309080526e-14
0.1,1.125,13,4.0797109469461660e+01,2.0889956431346945e-12,5.1204501257577774e-14
0.1,1.125,14,4.3941824447322546e+01,-6.8212102632969618e-12,1.5523275032592760e-13
0.1,1.125,15,4.7086121597153749e+01,1.8474111129762605e-13,3.9234726715906135e-15
0.1,1.125,16,5.0230079607214336e+01,-7.4251715886930469e-12,1.4782320965357580e-13
0.1,1.125,17,5.3373758557830186e+01,-1.2718714970105793e-12,2.3829528430764592e-14
0.1,1.125,18,5.6517205118811830e+01,9.0523144535836764e-12,1.6016918095210534e-13
0.1,1.125,19,5.9660456095857398e+01,-9.5212726591853425e-12,1.5959101358339204e-13
0.1,1.125,20,6.2803540907407665e+01,7.5530692811298650e-12,1.2026502283150842e-13
0.1,1.125,21,6.5946483350466593e+01,-2.9885427466069814e-11,4.5317696938055706e-13
0.1,1.125,22,6.9089302882767811e+01,2.4442670110147446e-12,3.5378371311144102e-14
0.1,1.125,23,7.2232015569160410e+01,-3.7786662687722128e-11,5.2312900851482278e-13
0.1,1.125,24,7.5374634790557565e+01,1.5575096767861396e-11,2.0663578418836097e-13
0.1,1.125,25,7.8517171782184505e+01,4.5616843635798432e-12,5.8097919984104941e-14
0.1,1.125,26,8.1659636047243765e+01,-1.0814460438268725e-11,1.3243336563503754e-13
0.1,1.125,27,8.4802035678401609e+01,2.3248958314070478e-11,2.7415566298705523e-13
0.1,1.125,28,8.7944377610208761e+01,-6.1135096984799020e-11,6.9515640051220663e-13
0.1,1.125,29,9.1086667819172362e+01,-6.6066263570974115e-11,7.2531211375665413e-13
0.1,1.125,30,9.4228911483725653e+01,3.5527136788005009e-13,3.7703010921590448e-15
0.1,1.125,31,9.7371113113172044e+01,-6.9746874942211434e-11,7.1629945178038951e-13
0.1,1.125,32,1.0051327665240561e+02,-5.5266013987420592e-11,5.4983795005053096e-13
0.1,1.125,33,1.0365540556755747e+02,-4.0543568502471317e-11,3.9113800462675362e-13
0.1,1.125,34,1.0679750291650234e+02,-3.2116531656356528e-12,3.0072361974105561e-14
0.1,1.125,35,1.0993957140725914e+02,5.9444005273689982e-11,5.4069708033928943e-13
0.1,1.125,36,1.1308161344664353e+02,-3.2272851058223750e-11,2.8539432781838921e-13
0.1,1.125,37,1.1622363118101961e+02,9.5511154540872667e-11,8.2178773430365878e-13
0.1,1.125,38,1.1936562653060878e+02,-4.3385739445511717e-11,3.6346928933000963e-13
0.1,1.125,39,1.2250760121851320e+02,-6.3664629124104977e-12,5.1967901167657552e-14
0.1,1.125,40,1.2564955679538096e+02,9.1517904365900904e-11,7.2835835398027092e-13
0.1,1.125,41,1.2879149466045726e+02,2.0466472960833926e-10,1.5891168135565713e-12
0.1,1.125,42,1.3193341607962520e+02,-1.6598278307355940e-10,1.2580799315723359e-12
0.1,1.125,43,1.3507532220092639e+02,-1.7644197214394808e-10,1.3062487600917082e-12
0.1,1.125,44,1.3821721406796343e+02,5.0732751333271153e-11,3.6705088924963062e-13
0.1,1.125,45,1.4135909263151342e+02,-2.0574475456669461e-10,1.4554759141176575e-12
0.1,1.125,46,1.4450095875962523e+02,-6.1959326558280736e-12,4.2878142186827262e-14
0.1,1.125,47,1.4764281324642701e+02,2.9007196644670330e-10,1.9646873428372119e-12
0.1,1.125,48,1.5078465681983153e+02,6.6222582972841337e-11,4.3918648203006364e-13
0.1,1.125,49,1.5392649014829726e+02,-1.4523493518936448e-11,9.4353437832202188e-14
0.1,1.125,50,1.5706831384677781e+02,-9.5980112746474333e-11,6.1107240789574006e-13
0.1,1.125,51,1.6021012848197063e+02,-3.9321434996963944e-10,2.4543663605755745e-12
0.1,1.125,52,1.6335193457695971e+02,-1.0555822882452048e-10,6.4620127761504421e-13
0.1,1.125,53,1.6649373261533259e+02,-1.2798295756510925e-10,7.6869534699423971e-13
0.1,1.125,54,1.6963552304483926e+02,-2.2714630176778883e-10,1.3390255631053640e-12
0.1,1.125,55,1.7277730628065189e+02,-1.4836132322670892e-11,8.5868524298970892e-14
0.1,1.125,56,1.7591908270827508e+02,6.5568883655942045e-11,3.7272183691777118e-13
0.1,1.125,57,1.7906085268614953e+02,3.3767832974263001e-10,1.8858300107274806e-12
0.1,1.125,58,1.8220261654798628e+02,-4.5253045755089261e-10,2.4836660752987085e-12
0.1,1.125,59,1.8534437460486322e+02,-5.3552184908767231e-10,2.8893342472861911e-12
0.1,1.125,60,1.8848612714711226e+02,-2.7711166694643907e-10,1.4701966194581266e-12
0.1,1.125,61,1.9162787444602043e+02,8.8732576841721311e-11,4.6304629270766803e-13
0.1,1.125,62,1.9476961675536643e+02,-2.8791191652999260e-11,1.4782178110029055e-13
0.1,1.125,63,1.9791135431281066e+02,-3.4967229112226050e-10,1.7668126840746220e-12
0.1,1.125,64,2.0105308734115499e+02,-4.5130832404538523e-10,2.2447221776783117e-12
0.1,1.125,65,2.0419481604948618e+02,-7.1565864345757291e-11,3.5047836047127397e-13
0.1,1.125,66,2.0733654063421528e+02,-1.4694023775518872e-11,7.0870400994305108e-14
0.1,1.125,67,2.1047826128002390e+02,-6.3170091380015947e-10,3.0012644059223472e-12
