case,frame_index,time,frame_file,particle_count_csv,PorePress_max,PorePress_mean,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,surface_ExcessPorePress_mean,surface_ExcessPorePress_maxAbs,interior_ExcessPorePress_mean,PorePressRate_maxAbs,LapPorePress_maxAbs,LapZ_maxAbs,DivVel_maxAbs,center_PorePress,center_ExcessPorePress,center_radius,Kplastic_maxAbs,vel_max,vel_mean,surface_radial_vel_mean,surface_radial_disp_mean
zero,0,0.0,PartFluid_0000.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,1,0.000503,PartFluid_0001.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,2,0.001005,PartFluid_0002.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,3,0.001508,PartFluid_0003.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,4,0.002011,PartFluid_0004.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diffusion,0,0.0,PartFluid_0000.vtk,739,1490.500020981,1101.8169191048291,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
diffusion,1,0.005027,PartFluid_0001.vtk,739,1463.95314704,1083.484609333742,1021.227265215,981.6676902289257,1021.227265215,967.0929050135672,992.9374409013,1007.5642644892307,12008.945,1405036.8,67.065605,0.0,1021.227265215,1021.227265215,0.0,0.0,0.0,0.0,0.0,0.0
diffusion,2,0.010054,PartFluid_0002.vtk,739,1440.555905476,1065.6411450746793,1036.063522761,963.8242259698613,1036.063522761,938.1028187794218,984.0804335914,1012.5308718383579,10909.424,1336099.0,67.065605,0.0,1036.063522761,1036.063522761,0.0,0.0,0.0,0.0,0.0,0.0
diffusion,3,0.015081,PartFluid_0003.vtk,739,1419.445606881,1048.2353279447318,1046.247391829,946.4184088398986,1046.247391829,912.0598591401282,973.9538576833,1014.7293963504344,9939.4043,1280221.0,67.065605,0.0,1046.247391829,1046.247391829,0.0,0.0,0.0,0.0,0.0,0.0
diffusion,4,0.020008,PartFluid_0004.vtk,739,1400.459292569,1031.5653610564766,1052.570861095,929.7484419516687,1052.570861095,888.7660270674882,963.173419201,1014.3170344631143,9106.2109,1231118.0,67.065605,0.0,1052.570861095,1052.570861095,0.0,0.0,0.0,0.0,0.0,0.0
