case,frame_index,frame_file,vel_max,vel_mean,particle_count,radial_vel_mean,radial_vel_surface_mean,radial_vel_surface_min,radial_vel_surface_max,surface_particle_count
no_load,0,PartFluid_0000.vtk,0.0,0.0,216.0,0.0,0.0,-0.0,-0.0,56.0
no_load,1,PartFluid_0001.vtk,0.0,0.0,216.0,0.0,0.0,-0.0,-0.0,56.0
no_load,2,PartFluid_0002.vtk,0.0,0.0,216.0,0.0,0.0,-0.0,-0.0,56.0
sign,0,PartFluid_0000.vtk,0.0,0.0,216.0,0.0,0.0,-0.0,-0.0,56.0
sign,1,PartFluid_0001.vtk,0.0008784499771189518,0.0006929987294142517,216.0,-0.0006671285510797986,-0.0008352209401894863,-0.0008711552010400213,-0.0007620585723927051,56.0
sign,2,PartFluid_0002.vtk,0.0011196591305662525,0.0007169130425877237,216.0,-0.0006977906755864116,-0.001053134828022272,-0.0011196591305662514,-0.0010383185024308008,56.0
ramp,0,PartFluid_0000.vtk,0.0,0.0,216.0,0.0,0.0,-0.0,-0.0,56.0
ramp,1,PartFluid_0001.vtk,0.0,0.0,216.0,0.0,0.0,-0.0,-0.0,56.0
ramp,2,PartFluid_0002.vtk,0.0007000309317647513,0.0005387926803797386,216.0,-0.0005190937899803845,-0.0006723427705014466,-0.0006943707471117156,-0.0006313469548149304,56.0
ramp,3,PartFluid_0003.vtk,0.0010574762855777274,0.0006970307984643524,216.0,-0.0006775119049441951,-0.0010046103983477124,-0.0010574762855777274,-0.0009946650531535875,56.0
