case,frame_index,time,frame_file,particle_count_csv,PorePress_max,PorePress_mean,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,PorePressRate_maxAbs,center_PorePress,center_ExcessPorePress,center_radius,Kplastic_maxAbs
no_load,0.0,0.0,PartCsv_0000.csv,739.0,0.0,0.0,0.0,-101.81691910481405,490.5000209808,0.0,0.0,-196.2000083923,0.0,0.0
no_load,1.0,0.000503,PartCsv_0001.csv,739.0,0.0,0.0,0.0,-101.81691910481405,490.5000209808,0.0,0.0,-196.2000083923,0.0,0.0
no_load,2.0,0.001005,PartCsv_0002.csv,739.0,0.0,0.0,0.0,-101.81691910481405,490.5000209808,0.0,0.0,-196.2000083923,0.0,0.0
no_load,3.0,0.001508,PartCsv_0003.csv,739.0,0.0,0.0,0.0,-101.81691910481405,490.5000209808,0.0,0.0,-196.2000083923,0.0,0.0
no_load,4.0,0.002011,PartCsv_0004.csv,739.0,0.0,0.0,0.0,-101.81691910481405,490.5000209808,0.0,0.0,-196.2000083923,0.0,0.0
ramp,0.0,0.0,PartCsv_0000.csv,739.0,0.0,0.0,0.0,-101.81691910481405,490.5000209808,0.0,0.0,-196.2000083923,0.0,0.0
ramp,1.0,0.000503,PartCsv_0001.csv,739.0,0.0,0.0,0.0,-101.81691910481405,490.5000209808,0.0,0.0,-196.2000083923,0.0,0.0
ramp,2.0,0.001005,PartCsv_0002.csv,739.0,7431.355063416,5734.930526310653,7431.355063416,5633.1139236090075,7431.355063416,25232528.0,795.9307487944,795.9307487943,3.4464819818876333,0.0
ramp,3.0,0.001508,PartCsv_0003.csv,739.0,23548.08786193,19030.662902140106,23548.08786193,18928.847083464392,23548.08786193,33066922.0,9864.013038882,9864.013038882,42.71325212113308,0.0
ramp,4.0,0.002011,PartCsv_0004.csv,739.0,36125.25029043,31512.377046718015,36125.25029043,31410.56207437846,36125.25029043,59342152.0,26515.82415407,26319.6294233,115.11108752033658,0.0
