case,frame_index,frame_file,particle_count_vtk,vel_max,vel_mean,time,radial_vel_mean,surface_radial_vel_mean,surface_radial_vel_min,surface_radial_vel_max,interior_radial_vel_mean,surface_radial_disp_mean,interior_radial_disp_mean,surface_tangential_vel_mean,surface_particle_count,interior_particle_count
no_load,0.0,PartFluid_0000.vtk,739.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,398.0,81.0
no_load,1.0,PartFluid_0001.vtk,739.0,0.0,0.0,0.000503,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,398.0,81.0
no_load,2.0,PartFluid_0002.vtk,739.0,0.0,0.0,0.001005,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,398.0,81.0
no_load,3.0,PartFluid_0003.vtk,739.0,0.0,0.0,0.001508,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,398.0,81.0
no_load,4.0,PartFluid_0004.vtk,739.0,0.0,0.0,0.002011,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,398.0,81.0
ramp,0.0,PartFluid_0000.vtk,739.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,398.0,81.0
ramp,1.0,PartFluid_0001.vtk,739.0,0.0,0.0,0.000503,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,398.0,81.0
ramp,2.0,PartFluid_0002.vtk,739.0,0.0008627628957206504,0.0004918699504736226,0.001005,-0.0004907778753733497,-0.0007493433551865828,-0.000862320199159801,-0.0005213849471087847,-6.136829443312615e-05,-2.0115338800755236e-07,-7.840912244424698e-09,4.639408322689295e-05,398.0,81.0
ramp,3.0,PartFluid_0003.vtk,739.0,0.0011608365019156641,0.0007331868699326589,0.001508,-0.0007323452351367727,-0.0009875297501947538,-0.0011604897252984671,-0.0007109923994570303,-0.00034179029756855917,-6.629975568885347e-07,-1.0169327902122638e-07,4.902253779653449e-05,398.0,81.0
ramp,4.0,PartFluid_0004.vtk,739.0,0.0007985885779613404,0.0006003010144464003,0.002011,-0.0005998141665202058,-0.0006277416191262452,-0.0007983662900848507,-0.00047871272038576797,-0.0006070650462342709,-1.0888828548008615e-06,-3.502775404227642e-07,1.688236054994398e-05,398.0,81.0
