case,frame_index,time,frame_file,particle_count_csv,PorePress_max,PorePress_mean,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,surface_ExcessPorePress_mean,surface_ExcessPorePress_maxAbs,interior_ExcessPorePress_mean,PorePressRate_maxAbs,LapPorePress_maxAbs,LapZ_maxAbs,LapZ_rate_contribution_maxAbs_est,DivVel_maxAbs,HydraulicElevationSource,center_PorePress,center_ExcessPorePress,center_radius,Kplastic_maxAbs,vel_max,vel_mean,surface_radial_vel_mean,surface_radial_disp_mean
source_on_regression,0,0.0,PartFluid_0000.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_on_regression,1,0.000503,PartFluid_0001.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_on_regression,2,0.001005,PartFluid_0002.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_on_regression,3,0.001508,PartFluid_0003.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_on_regression,4,0.002011,PartFluid_0004.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,0,0.0,PartFluid_0000.vtk,739,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,1,0.005027,PartFluid_0001.vtk,739,999.9363198627,983.6120254760592,999.9363198627,983.6120254760592,999.9363198627,973.8276115569673,980.8329485981,999.4580003737129,5231.0278,769745.81,67.065605,0.0,0.0,0,999.9363198627,999.9363198627,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,2,0.010054,PartFluid_0002.vtk,739,999.4382251524,967.6188797337142,999.4382251524,967.6188797337142,999.4382251524,950.4823756869723,963.1449306024,997.4958375472786,4821.5972,709498.13,67.065605,0.0,0.0,0,999.4382251524,999.4382251524,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,3,0.015081,PartFluid_0003.vtk,739,998.0849082244,951.9834417052394,998.0849082244,951.9834417052394,998.0849082244,929.2453924689031,946.3930269946,993.9357074959578,4454.0801,655417.94,67.065605,0.0,0.0,0,998.0849082244,998.0849082244,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,4,0.020008,PartFluid_0004.vtk,739,995.6473433936,936.9813054583881,995.6473433936,936.9813054583881,995.6473433936,910.019162588095,930.6172964097,988.9290640621333,4137.3975,608818.06,67.065605,0.0,0.0,0,995.6473433936,995.6473433936,0.0,0.0,0.0,0.0,0.0,0.0
