case,frame_index,time,frame_file,particle_count_csv,PorePress_max,PorePress_mean,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,surface_ExcessPorePress_mean,surface_ExcessPorePress_maxAbs,interior_ExcessPorePress_mean,PorePressRate_maxAbs,LapPorePress_maxAbs,LapZ_maxAbs,LapZ_rate_contribution_maxAbs_est,DivVel_maxAbs,HydraulicElevationSource,center_PorePress,center_ExcessPorePress,center_radius,Kplastic_maxAbs,vel_max,vel_mean,surface_radial_vel_mean,surface_radial_disp_mean
source_on_regression,0,0.0,PartFluid_0000.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_on_regression,1,0.000503,PartFluid_0001.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_on_regression,2,0.001005,PartFluid_0002.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_on_regression,3,0.001508,PartFluid_0003.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_on_regression,4,0.002011,PartFluid_0004.vtk,739,0.0,0.0,0.0,-101.81691910481405,490.5000209808,-122.50176403390402,490.5000209808,-47.233335353707076,0.0,490252.81,67.065605,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,0,0.0,PartFluid_0000.vtk,739,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,1,0.005027,PartFluid_0001.vtk,739,999.9363198627,983.6120254760592,999.9363198627,983.6120254760592,999.9363198627,973.8276115569673,980.8329485981,999.4580003737129,5231.0278,769745.81,67.065605,0.0,0.0,0,999.9363198627,999.9363198627,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,2,0.010054,PartFluid_0002.vtk,739,999.4382251524,967.6188797337142,999.4382251524,967.6188797337142,999.4382251524,950.4823756869723,963.1449306024,997.4958375472786,4821.5972,709498.13,67.065605,0.0,0.0,0,999.4382251524,999.4382251524,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,3,0.015081,PartFluid_0003.vtk,739,998.0849082244,951.9834417052394,998.0849082244,951.9834417052394,998.0849082244,929.2453924689031,946.3930269946,993.9357074959578,4454.0801,655417.94,67.065605,0.0,0.0,0,998.0849082244,998.0849082244,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_diffusion,4,0.020008,PartFluid_0004.vtk,739,995.6473433936,936.9813054583881,995.6473433936,936.9813054583881,995.6473433936,910.019162588095,930.6172964097,988.9290640621333,4137.3975,608818.06,67.065605,0.0,0.0,0,995.6473433936,995.6473433936,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_compression,0,0.0,PartFluid_0000.vtk,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_elevation_compression,1,0.001005,PartFluid_0001.vtk,739,74.12255592643,57.3241926876159,74.12255592643,57.3241926876159,74.12255592643,59.605238895237214,69.71740645725,23.946259474849807,251335.05,227931.31,67.066101,0.0,0.037848793,0,8.14985781092,8.14985781092,3.5894097809271324e-14,0.0,0.0008627628957206504,0.0004918699504736226,-0.0007493433551865828,-2.0115338800755236e-07
no_elevation_compression,2,0.002011,PartFluid_0002.vtk,739,357.6300290643,314.5108050397178,357.6300290643,314.5108050397178,357.6300290643,298.5677091644141,330.2213645807,301.0462344077555,589455.5,666634.25,67.068001,0.0,0.089013234,0,353.3254204991,353.3254204991,1.5356628944204395e-13,0.0,0.0007985885779613404,0.0006003010144464003,-0.0006277416191262452,-1.0888828548008615e-06
no_elevation_compression,3,0.003016,PartFluid_0003.vtk,739,643.1865756868,319.47319339324366,643.1865756868,319.47319339324366,643.1865756868,264.84076602078994,284.9890875506,528.8670343442076,270609.47,1984003.0,67.067078,0.0,0.038788091,0,643.1865756868,643.1865756868,2.0620781668744412e-13,0.0,0.0006892896733214258,0.00039039053075195726,0.0005550530074469195,-1.0877576155589048e-06
no_elevation_compression,4,0.004022,PartFluid_0004.vtk,739,155.4906636007,118.22970404511318,155.4906636007,118.22970404511318,261.1090761805,120.89080809643417,138.9284846289,76.33745858056876,990651.63,4880964.0,67.066498,0.0,0.15357324,0,-261.1090761805,-261.1090761805,4.2481350045756885e-13,0.0,0.0010297709377482633,0.0006698033980611165,0.0005487864538381369,-4.1875774641928756e-07
no_elevation_compression,5,0.005027,PartFluid_0005.vtk,739,168.6470451817,58.95936214453629,168.6470451817,58.95936214453629,252.2248806505,101.21818524794826,168.6470451817,-106.89506591720888,915406.63,3248279.8,67.067047,0.0,0.13399981,0,-252.2248806505,-252.2248806505,7.343081238845856e-13,0.0,0.0011013875368234116,0.00030776605187622175,-0.00024245293639125942,-2.4634897512931294e-07
