case,step,time,tfx,tfy,tfz,bfx,bfy,bfz,topstress,bottomstress,balance
mcc_high_pc,0,0.0,-1.54858e-10,-3.05972e-10,0.144809,-3.15285e-10,-2.46863e-10,-0.144809,51.2159,51.2159,2.53653e-09
mcc_high_pc,1,0.000502713,-6.50336e-10,-1.85612e-10,0.540068,-1.33653e-10,-1.57675e-10,-0.119321,191.01,42.2013,0.638085
mcc_high_pc,2,0.000603254,-7.51423e-10,3.51893e-10,0.608396,-1.21584e-10,-1.55892e-10,-0.107607,215.176,38.0581,0.699424
mcc_high_pc,3,0.000703793,-6.7598e-10,5.65373e-10,0.671007,-1.45837e-10,-3.29418e-10,-0.0947464,237.32,33.5097,0.752541
mcc_high_pc,4,0.000804332,3.6857e-10,1.62564e-09,0.727141,-4.74037e-10,-2.78296e-10,-0.0810775,257.174,28.6753,0.799367
mcc_high_pc,10,0.00140756,-2.20106e-09,-3.03619e-10,0.923982,-3.43666e-10,5.39363e-10,-0.00758432,326.792,2.6824,0.983717
mcc_high_pc,20,0.00241292,-3.26266e-09,-5.40792e-11,0.972999,-6.10673e-10,2.31696e-10,-0.0925922,344.128,32.7478,0.826214
mcc_high_pc,30,0.00341831,-5.50653e-09,-5.27882e-09,1.11007,-7.38873e-10,-1.60599e-10,-0.315877,392.606,111.719,0.556957
mcc_high_pc,40,0.00442369,3.32286e-10,-2.85598e-10,1.18316,1.64519e-09,-6.271e-10,-0.527054,418.456,186.407,0.383638
mcc_high_pc,50,0.00542908,1.54496e-09,-6.78635e-09,1.05823,8.5572e-10,-1.8205e-09,-0.880126,374.273,311.281,0.091885
mcc_mild_yield,0,0.0,-1.54858e-10,-3.05972e-10,0.144809,-3.15285e-10,-2.46863e-10,-0.144809,51.2159,51.2159,2.53653e-09
mcc_mild_yield,1,0.000502713,-6.50336e-10,-1.85612e-10,0.540068,-1.33653e-10,-1.57675e-10,-0.119321,191.01,42.2013,0.638085
mcc_mild_yield,2,0.000603254,-7.51423e-10,3.51893e-10,0.608396,-1.21584e-10,-1.55892e-10,-0.107607,215.176,38.0581,0.699424
mcc_mild_yield,3,0.000703793,-4.28631e-10,5.2882e-10,0.669666,-1.45837e-10,-3.29418e-10,-0.0947464,236.846,33.5097,0.752107
mcc_mild_yield,4,0.000804332,8.01527e-10,1.02847e-10,0.666742,-4.74037e-10,-2.78296e-10,-0.0810775,235.812,28.6753,0.783163
mcc_mild_yield,10,0.00140755,5.09685e-10,6.8658e-11,0.542989,-1.99721e-10,-1.04569e-09,-0.00972273,192.043,3.43871,0.964818
mcc_mild_yield,20,0.00241289,-7.86874e-10,6.8037e-10,0.410684,-1.45255e-10,-1.36922e-10,-0.0872629,145.25,30.8629,0.649509
mcc_mild_yield,30,0.00341821,-3.23786e-10,1.04013e-09,0.363702,-9.58452e-10,-9.68202e-10,-0.256683,128.633,90.783,0.172505
mcc_mild_yield,40,0.00442352,-4.86846e-10,1.7497e-10,0.33752,-3.56418e-10,-4.12851e-10,-0.265196,119.373,93.794,0.119997
mcc_mild_yield,50,0.00542882,-9.33803e-10,-8.76001e-10,0.319048,6.39443e-11,1.45523e-10,-0.235437,112.84,83.2689,0.15079
