case,part,time,region,total,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts
baseline,0,0.0,bottom_cap_zone,18,18,0,0,0,0,0:18
baseline,0,0.0,edge,112,112,0,0,0,0,0:112
baseline,0,0.0,interior,63,63,0,0,0,0,0:63
baseline,0,0.0,lateral_boundary,196,196,0,0,0,0,0:196
baseline,0,0.0,top_cap_zone,18,18,0,0,0,0,0:18
baseline,1,0.000503,bottom_cap_zone,18,18,0,0,0,0,0:18
baseline,1,0.000503,edge,112,112,0,0,0,0,0:112
baseline,1,0.000503,interior,63,63,0,0,0,0,0:63
baseline,1,0.000503,lateral_boundary,196,196,0,0,0,0,0:196
baseline,1,0.000503,top_cap_zone,18,18,0,0,0,0,0:18
baseline,2,0.001005,bottom_cap_zone,18,10,0,8,0,8,-1:8|0:10
baseline,2,0.001005,edge,112,8,72,28,4,32,-3:4|-1:28|0:8|1:72
baseline,2,0.001005,interior,63,7,24,32,0,32,-1:32|0:7|1:24
baseline,2,0.001005,lateral_boundary,196,136,36,24,0,24,-1:24|0:136|1:36
baseline,2,0.001005,top_cap_zone,18,0,18,0,0,0,1:18
baseline,3,0.001508,bottom_cap_zone,18,0,0,18,0,18,-1:18
baseline,3,0.001508,edge,112,0,56,56,0,56,-1:56|1:56
baseline,3,0.001508,interior,63,0,28,35,0,35,-1:35|1:28
baseline,3,0.001508,lateral_boundary,196,120,28,48,0,48,-1:48|0:120|1:28
baseline,3,0.001508,top_cap_zone,18,0,18,0,0,0,1:18
baseline,4,0.002011,bottom_cap_zone,18,0,0,18,0,18,-1:18
baseline,4,0.002011,edge,112,0,56,56,0,56,-1:56|1:56
baseline,4,0.002011,interior,63,32,27,4,0,4,-1:4|0:32|1:27
baseline,4,0.002011,lateral_boundary,196,144,40,8,4,12,-3:4|-1:8|0:144|1:40
baseline,4,0.002011,top_cap_zone,18,0,18,0,0,0,1:18
baseline,5,0.002513,bottom_cap_zone,18,9,9,0,0,0,0:9|1:9
baseline,5,0.002513,edge,112,12,60,40,0,40,-1:40|0:12|1:60
baseline,5,0.002513,interior,63,36,27,0,0,0,0:36|1:27
baseline,5,0.002513,lateral_boundary,196,128,68,0,0,0,0:128|1:68
baseline,5,0.002513,top_cap_zone,18,0,18,0,0,0,1:18
baseline,6,0.003016,bottom_cap_zone,18,18,0,0,0,0,0:18
baseline,6,0.003016,edge,112,56,56,0,0,0,0:56|1:56
baseline,6,0.003016,interior,63,36,23,0,4,4,-3:4|0:36|1:23
baseline,6,0.003016,lateral_boundary,196,120,76,0,0,0,0:120|1:76
baseline,6,0.003016,top_cap_zone,18,0,18,0,0,0,1:18
baseline,7,0.003519,bottom_cap_zone,18,18,0,0,0,0,0:18
baseline,7,0.003519,edge,112,56,56,0,0,0,0:56|1:56
baseline,7,0.003519,interior,63,36,27,0,0,0,0:36|1:27
baseline,7,0.003519,lateral_boundary,196,100,96,0,0,0,0:100|1:96
baseline,7,0.003519,top_cap_zone,18,0,14,0,4,4,-3:4|1:14
baseline,8,0.004021,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,8,0.004021,edge,112,32,80,0,0,0,0:32|1:80
baseline,8,0.004021,interior,63,28,35,0,0,0,0:28|1:35
baseline,8,0.004021,lateral_boundary,196,80,116,0,0,0,0:80|1:116
baseline,8,0.004021,top_cap_zone,18,0,17,0,1,1,-3:1|1:17
baseline,9,0.004524,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,9,0.004524,edge,112,0,112,0,0,0,1:112
baseline,9,0.004524,interior,63,3,60,0,0,0,0:3|1:60
baseline,9,0.004524,lateral_boundary,196,56,140,0,0,0,0:56|1:140
baseline,9,0.004524,top_cap_zone,18,0,18,0,0,0,1:18
baseline,10,0.005027,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,10,0.005027,edge,112,0,112,0,0,0,1:112
baseline,10,0.005027,interior,63,2,61,0,0,0,0:2|1:61
baseline,10,0.005027,lateral_boundary,196,16,180,0,0,0,0:16|1:180
baseline,10,0.005027,top_cap_zone,18,0,18,0,0,0,1:18
baseline,11,0.005529,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,11,0.005529,edge,112,0,112,0,0,0,1:112
baseline,11,0.005529,interior,63,1,62,0,0,0,0:1|1:62
baseline,11,0.005529,lateral_boundary,196,0,196,0,0,0,1:196
baseline,11,0.005529,top_cap_zone,18,0,18,0,0,0,1:18
baseline,12,0.006032,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,12,0.006032,edge,112,0,112,0,0,0,1:112
baseline,12,0.006032,interior,63,0,63,0,0,0,1:63
