case,part,time,Idp,return_status,region,x,y,z,r,distance_to_top,distance_to_bottom,distance_to_lateral_surface,p_eff,q,MccPc,MccVoidRatio,MccPlasticVolStrain,MccEqPlasticStrain,MccPlasticMultiplier,MccReturnIterations,MccYieldResidual,MccSubstepCount,MccSubstepFailureCount,MccAdmissibilityFailureCount,MccFallbackUsed,Kplastic,PorePress,PorePressRate,DivVel,velocity
baseline,2,0.001005,181,-1,edge,-0.020000558,-0.020000558,-1.6089277e-08,0.028285060378629708,0.100000016089277,-1.6089277e-08,0.0017149396213702907,-1.8814714999999993,35.05127893990538,119.99983,0.80004817,-1.2447966e-07,1.3347724e-07,0.0,0.0,-1.8814813,1.0,1.0,0.0,0.0,1.3347724e-07,-14936.04238732,-21742362.0,0.032592114,0.00111291760230914
baseline,2,0.001005,182,-1,edge,-0.020000555,-0.020000555,0.009999997,0.028285056135989018,0.09000000300000001,0.009999997,0.0017149438640109808,-0.9666771333333332,27.838821876913336,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96668702,1.0,1.0,0.0,0.0,0.0,-19350.99248434,-26701480.0,0.04006318,0.001082638991386839
baseline,2,0.001005,193,-1,edge,-0.020000389,-0.01000028,0.010000009,0.0223611529271127,0.089999991,0.010000009,0.007638847072887298,-3.500050666666666,25.755480099780804,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000606,1.0,1.0,0.0,0.0,0.0,-20984.2579207,-27050674.0,0.040608741,0.00066251348596706
baseline,2,0.001005,194,-1,lateral_boundary,-0.020000385,-0.010000277,0.020000001,0.02236114800776011,0.079999999,0.020000001,0.0076388519922398895,-0.7869788999999999,24.90554609316389,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698885,1.0,1.0,0.0,0.0,0.0,-20306.37013515,-22372552.0,0.033584666,0.0006367211427661104
baseline,2,0.001005,248,-1,edge,-0.01000028,-0.020000389,0.010000009,0.0223611529271127,0.089999991,0.010000009,0.007638847072887298,-3.5000493333333336,25.755481122688458,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000594,1.0,1.0,0.0,0.0,0.0,-20984.25470337,-27050674.0,0.040608741,0.000662513419445629
baseline,2,0.001005,249,-1,lateral_boundary,-0.010000277,-0.020000385,0.020000001,0.02236114800776011,0.079999999,0.020000001,0.0076388519922398895,-0.7869768999999996,24.905539633217565,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698683,1.0,1.0,0.0,0.0,0.0,-20306.36792325,-22372550.0,0.033584662,0.0006367211280656718
baseline,2,0.001005,259,-1,bottom_cap_zone,-0.010000105,-0.010000105,0.010000018,0.014142284116155002,0.089999982,0.010000018,0.015857715883845,-4.197806666666668,26.494444792023035,119.99934,0.80005151,-4.8932566e-07,5.079059e-07,0.0,0.0,-4.1978168,1.0,1.0,0.0,0.0,5.079059e-07,-21835.96222539,-28421324.0,0.042672832,0.00022574628744791947
baseline,2,0.001005,260,-1,interior,-0.010000101,-0.010000101,0.020000005,0.014142278459300753,0.079999995,0.020000005,0.015857721540699247,-2.953822666666667,26.327692947827313,119.99969,0.80005103,-2.2951392e-07,2.3841297e-07,0.0,0.0,-2.9538324,1.0,1.0,0.0,0.0,2.3841297e-07,-21326.24458434,-24254424.0,0.036411412,0.00019016237926695387
baseline,2,0.001005,261,-1,interior,-0.010000102,-0.010000102,0.029999999,0.014142279873514314,0.070000001,0.029999999,0.015857720126485685,-1.3833685666666664,24.91002730262498,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833785,1.0,1.0,0.0,0.0,0.0,-20548.64109794,-21592392.0,0.032409854,0.00019200650187854468
baseline,2,0.001005,313,-1,edge,2.270774e-14,-0.030000759,-1.704692e-08,0.030000759,0.10000001704692,-1.704692e-08,-7.589999999994823e-07,-2.5115099666666665,31.983000507099682,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115201,1.0,1.0,0.0,0.0,0.0,-15650.70505503,-22767612.0,0.034136422,0.0011099043798618062
