case,case_name,part,time,axial_strain_proxy,p_proxy,q_proxy,Fz_proxy,pairwise_reaction_avg,force_balance_error,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts,yield_fraction,return_iterations_max,yield_residual_maxAbs,yield_residual_converged_maxAbs,MccSubstepCount_mean,MccSubstepCount_max,MccSubstepFailureCount_sum,MccAdmissibilityFailureCount_sum,MccFallbackUsed_count,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_min,MccVoidRatio_mean,MccVoidRatio_max,MccPlasticVolStrain_mean,MccEqPlasticStrain_max,Kplastic_max,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
baseline,CaseM3d3_MCCMildBaseline,0,0.0,0.0,50.0,0.0,0.1413716694115407,0.144809,2.53653e-09,407,0,0,0,0,0:407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,120.0,120.0,120.0,0.80000001,0.8000000100000014,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,CaseM3d3_MCCMildBaseline,1,0.000503,-2.0285726015645267e-08,33.80963945045045,8.212251234237192,0.10962124211972994,0.3296945,0.638085,407,0,0,0,0,0:407,0.0,0.0,4596.9512,0.0,1.0,1.0,0.0,0.0,0,120.0,120.0,120.0,0.80001062,0.8000175002702695,0.80002099,0.0,0.0,0.0,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0049999999
baseline,CaseM3d3_MCCMildBaseline,2,0.001005,3.5213260500543964e-06,18.493178463384115,32.876965405052474,0.11156239383737666,0.37390975,0.783163,161,150,92,4,96,-3:4|-1:92|0:161|1:150,0.36855036855036855,21.0,3888.0342,7.789192e-05,1.0,1.0,96.0,0.0,0,119.99577,120.00135990171987,120.04405,0.79989302,0.8000307715479129,0.80005389,1.0080403203464376e-06,5.1022213e-05,5.1022213e-05,-16020.743816638296,3489.4607794851318,28763496.0,0.043205004,0.0049999999
baseline,CaseM3d3_MCCMildBaseline,3,0.001508,1.2303372170091587e-05,18.500652979475017,43.688338422116196,0.1279290951933325,0.27635586500000003,0.964818,120,130,157,0,157,-1:157|0:120|1:130,0.3194103194103194,22.0,3759.2253,9.7044758e-05,1.0,1.0,157.0,0.0,0,119.98267,120.00157511056517,120.09379,0.79983652,0.8000235949877162,0.80005747,1.166933091449631e-06,0.00011550775,0.00011550775,-18898.22295791297,5553.3443161071,38999052.0,0.058520902,0.0049999999
baseline,CaseM3d3_MCCMildBaseline,4,0.002011,2.375143980007377e-05,32.046113058173624,48.82566928627898,0.16956962807656037,0.24897344999999999,0.649509,176,141,86,4,90,-3:4|-1:86|0:176|1:141,0.3464373464373464,24.0,4852.8984,7.6900105e-05,1.0,1.0,90.0,0.0,0,119.96996,120.00008009828,120.12095,0.79981232,0.8000124674938589,0.80005389,5.886129884520875e-08,0.00017018846,0.00017018846,-16189.229487128725,13544.86527810674,48548364.0,0.07291884,0.0049999999
baseline,CaseM3d3_MCCMildBaseline,5,0.002513,3.682086509998461e-05,48.343031414004976,49.269936273119704,0.21343089280250108,0.24897344999999999,0.649509,185,182,40,0,40,-1:40|0:185|1:182,0.44717444717444715,18.0,4846.7769,3.3204022e-05,1.0,1.0,40.0,0.0,0,119.94254,119.99695206388196,120.13522,0.79980093,0.8000028485995087,0.80009329,-2.258807819459459e-06,0.00022549932,0.00022549932,-13005.81871013194,18412.994539488733,52820388.0,0.079320081,0.0049999999
baseline,CaseM3d3_MCCMildBaseline,6,0.003016,5.091539840004766e-05,57.74506311440621,50.34996030558562,0.24426352483765734,0.3101925,0.172505,230,173,0,4,4,-3:4|0:230|1:173,0.4250614250614251,22.0,4953.4565,5.8429076e-05,1.0,1.0,4.0,0.0,0,119.89624,119.99215009827994,120.14246,0.79979551,0.7999993112039299,0.80016106,-5.817312604373463e-06,0.00028229438,0.00028229438,-13460.633326269448,28114.06278235987,54996124.0,0.082645603,0.005177726005218454
baseline,CaseM3d3_MCCMildBaseline,7,0.003519,6.57151932001443e-05,56.88484598216544,55.23123575735711,0.256013124905175,0.3101925,0.172505,210,193,0,4,4,-3:4|0:210|1:193,0.4742014742014742,21.0,4702.5859,6.7611305e-05,1.0,1.0,4.0,0.0,0,119.83672,119.98605899262907,120.14488,0.79979575,0.8000082118181823,0.80023831,-1.0332020050565109e-05,0.00033631627,0.00033631627,-18129.930876678507,31322.512762728158,56911092.0,0.085501015,0.005364573605300064
baseline,CaseM3d3_MCCMildBaseline,8,0.004021,8.101679450006616e-05,50.03489328950861,62.087174656505255,0.25292418944165224,0.301358,0.119997,140,266,0,1,1,-3:1|0:140|1:266,0.6535626535626535,23.0,4351.4722,0.0001009277,1.0,1.0,1.0,0.0,0,119.77281,119.97813277641275,120.14371,0.79979998,0.800026188132678,0.80032521,-1.6207859861375918e-05,0.00040012356,0.00040012356,-26132.44833160832,38832.56892458556,59008048.0,0.088749997,0.005509173386397656
baseline,CaseM3d3_MCCMildBaseline,9,0.004524,9.63944103000991e-05,45.070092965208836,65.16322335949721,0.24539022859485826,0.301358,0.119997,59,348,0,0,0,0:59|1:348,0.855036855036855,21.0,2744.1169,6.0453509e-05,1.0,1.0,0.0,0.0,0,119.70541,119.96711938574953,120.13651,0.79981172,0.8000461753071247,0.80041653,-2.437272715460935e-05,0.00047462969,0.00047462969,-34540.38232099173,40679.67382274355,61165472.0,0.091865107,0.00562056852234564
