case,part,time,axial_strain_proxy,pairwise_top_fz,pairwise_bottom_fz,pairwise_reaction_avg_abs,pairwise_reaction_avg_compression,reaction_axial_stress_avg,top_axial_stress,bottom_axial_stress,force_balance_error,Fz_proxy,pairwise_over_Fz_proxy,p_proxy,q_proxy,MccPc_mean,MccYieldFlag_fraction,MccEqPlasticStrain_max
mcc_high_pc,0,0.0,0.0,0.144809,-0.144809,0.144809,0.144809,51.2159,51.2159,51.2159,2.53653e-09,0.1413716694115407,1.024314140186412,50.0,0.0,100000.0,0.0,0.0
mcc_high_pc,1,0.000503,-2.0285726015645267e-08,0.540068,-0.119321,0.3296945,0.3296945,116.60565,191.01,42.2013,0.638085,0.10962124211972994,3.00757858262455,33.80963945045045,7.441415995085997,100000.0,0.0,0.0
mcc_high_pc,2,0.001005,3.5909536601208547e-06,0.727141,-0.0810775,0.40410925000000003,0.40410925000000003,142.92464999999999,257.174,28.6753,0.799367,0.12959445452460946,3.118260356759797,20.254007018129403,38.37098292243737,100000.0,0.0,0.0
mcc_high_pc,3,0.001508,1.3825679940071556e-05,0.923982,-0.00758432,0.46578316,0.46578316,164.73719999999997,326.792,2.6824,0.983717,0.19452569778277853,2.3944556699142505,22.599426651753475,69.29994789080096,100000.0,0.0,0.0
mcc_high_pc,4,0.002011,2.9321269899990066e-05,0.972999,-0.0925922,0.5327955999999999,0.5327955999999999,188.43789999999998,344.128,32.7478,0.826214,0.29983547844162706,1.7769598273331964,40.986363022940225,97.58811715995088,100000.0,0.0,0.0
mcc_high_pc,5,0.002513,4.882768440003793e-05,0.972999,-0.0925922,0.5327955999999999,0.5327955999999999,188.43789999999998,344.128,32.7478,0.826214,0.420701929020243,1.2664443950632878,65.51496092932025,124.91686384557752,100000.0,0.0,0.0
mcc_high_pc,6,0.003016,7.111131950010563e-05,1.11007,-0.315877,0.7129734999999999,0.7129734999999999,252.1625,392.606,111.719,0.556957,0.5333850191664051,1.3366957720602328,85.76655449511873,154.31970949565098,100000.0,0.0,0.0
mcc_high_pc,7,0.003519,9.482361550003371e-05,1.11007,-0.315877,0.7129734999999999,0.7129734999999999,252.1625,392.606,111.719,0.556957,0.6271799616577708,1.1367925373691126,96.62461139226042,187.7923865983414,100000.0,0.0,0.0
mcc_high_pc,8,0.004022,0.00011929887330008881,1.18316,-0.527054,0.8551070000000001,0.8551070000000001,302.4315,418.456,186.407,0.383638,0.7068676261730582,1.2097130613117784,100.10275649571668,224.85078798001243,100000.0,0.0,0.0
mcc_high_pc,9,0.004524,0.00014361976400006915,1.18316,-0.527054,0.8551070000000001,0.8551070000000001,302.4315,418.456,186.407,0.383638,0.7873194126825699,1.0860992199931447,103.51882783492552,262.407679316408,100000.0,0.0,0.0
mcc_high_pc,10,0.005027,0.00016631724700011397,1.05823,-0.880126,0.969178,0.969178,342.77700000000004,374.273,311.281,0.091885,0.879961181805101,1.1013872202997466,113.20702401745291,297.0233700180467,100000.0,0.0,0.0
mcc_high_pc,11,0.00553,0.00018761540800008025,1.05823,-0.880126,0.969178,0.969178,342.77700000000004,374.273,311.281,0.091885,0.9826112424569529,0.9863290364728945,129.09590479079282,327.6475973961205,100000.0,0.0,0.0
mcc_high_pc,12,0.006032,0.00020548634300010526,1.01331,-1.43784,1.225575,1.225575,433.4575,358.385,508.53,0.173195,1.0846514944328998,1.1299251476537917,146.58678978675022,355.54530488989946,100000.0,0.0,0.0
mcc_high_pc,13,0.006535,0.00022103656299996,1.01331,-1.43784,1.225575,1.225575,433.4575,358.385,508.53,0.173195,1.1774970708590158,1.0408306146408586,161.24231123737943,382.81813082206463,100000.0,0.0,0.0
mcc_high_pc,14,0.007038,0.00023576003900002696,1.16095,-1.87821,1.51958,1.51958,537.442,410.603,664.281,0.236005,1.259327072607555,1.206660313316037,171.22799980565108,411.2517622079853,100000.0,0.0,0.0
mcc_high_pc,15,0.00754,0.0002506332350001028,1.16095,-1.87821,1.51958,1.51958,537.442,410.603,664.281,0.236005,1.334642837892436,1.138566781206875,177.64346629372642,441.58481693533156,100000.0,0.0,0.0
mcc_high_pc,16,0.008043,0.00026638532000008985,1.32684,-2.0528,1.68982,1.68982,597.6510000000001,469.273,726.029,0.214805,1.4112777888390404,1.19736880532223,183.69679098711728,473.16093408443527,100000.0,0.0,0.0
mcc_high_pc,17,0.008546,0.0002835369930001552,1.32684,-2.0528,1.68982,1.68982,597.6510000000001,469.273,726.029,0.214805,1.4950297571206894,1.1302918834568627,192.23865129276007,504.7799427783047,100000.0,0.0,0.0
mcc_high_pc,18,0.009048,0.00030196381199998346,1.55532,-2.11375,1.834535,1.834535,648.8344999999999,550.083,747.586,0.152199,1.586168903997633,1.1565823761746987,203.7975516725472,535.7924113241035,100000.0,0.0,0.0
mcc_high_pc,19,0.009551,0.00032148714300003767,1.55532,-2.11375,1.834535,1.834535,648.8344999999999,550.083,747.586,0.152199,1.6802734467561469,1.091807410003213,216.62348941946775,566.477515195123,100000.0,0.0,0.0
mcc_high_pc,20,0.010054,0.00034073341300011606,1.90413,-2.12166,2.012895,2.012895,711.915,673.448,750.382,0.0540329,1.7725320785082421,1.1356042716552959,228.58517296291416,597.479714167423,100000.0,0.0,0.0
mcc_high_pc,21,0.010557,0.00035968093700003423,1.90413,-2.12166,2.012895,2.012895,711.915,673.448,750.382,0.0540329,1.8612800512831464,1.0814573543687485,238.92440644308772,629.0531258021991,100000.0,0.0,0.0
mcc_high_pc,22,0.011059,0.0003787657350000362,2.29872,-2.08011,2.189415,2.189415,774.348,813.006,735.69,0.0499233,1.9480009132662965,1.1239291445345958,248.35879423215408,660.908390297961,100000.0,0.0,0.0
mcc_high_pc,23,0.011562,0.00039767384100011793,2.29872,-2.08011,2.189415,2.189415,774.348,813.006,735.69,0.0499233,2.0351477831097093,1.0758014814307835,258.1283123241852,692.4869635284647,100000.0,0.0,0.0
mcc_high_pc,24,0.012065,0.00041626240400008396,2.63858,-2.12504,2.3818099999999998,2.3818099999999998,842.3924999999999,933.207,751.578,0.107806,2.1238887123798507,1.1214382307871227,268.94377956936927,723.3422878203927,100000.0,0.0,0.0
