stage,case,description,source_csv,TimeMax,loading_speed,substepping,fallback
M3c,m3c_high_pc_smoke,high-pc MCC smoke,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3c_MCCStressUpdateCpu\m3c_case_summary.csv,0.006032,normal,off,off
M3c,m3c_mild_smoke,mild MCC smoke,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3c_MCCStressUpdateCpu\m3c_case_summary.csv,0.006032,normal,off,off
M3d,m3d_high_pc_extended,high-pc extended,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d_MCCFeedbackOffRefinement\m3d_case_summary.csv,0.018097,normal,off,off
M3d,m3d_mild_extended,mild extended,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d_MCCFeedbackOffRefinement\m3d_case_summary.csv,0.018096,normal,off,off
M3d2,m3d2_half_speed,slower loading diagnostic,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d2_MCCReturnRobustness\m3d2_case_summary.csv,0.036093,half,off,off
M3d2,m3d2_early_stop,early-stop diagnostic,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d2_MCCReturnRobustness\m3d2_case_summary.csv,0.006032,normal,off,off
M3d2,m3d2_tight_return,tighter tolerance/max-iteration diagnostic,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d2_MCCReturnRobustness\m3d2_case_summary.csv,0.018096,normal,off,off
M3d3,m3d3_baseline,baseline no substepping,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d3_MCCSubstepping\m3d3_case_summary.csv,0.018096,normal,off,off
M3d3,m3d3_fixed_substeps4,fixed 4 substeps,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d3_MCCSubstepping\m3d3_case_summary.csv,0.018095,normal,fixed-4,off
M3d3,m3d3_adaptive_substeps16,adaptive substeps max 16,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d3_MCCSubstepping\m3d3_case_summary.csv,0.018095,normal,adaptive-16,off
M3d3,m3d3_adaptive_fallback16,adaptive max 16 with partial fallback,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d3_MCCSubstepping\m3d3_case_summary.csv,0.018095,normal,adaptive-16,partial
M3d3,m3d3_half_speed_adaptive,half-speed adaptive diagnostic,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d3_MCCSubstepping\m3d3_case_summary.csv,0.036093,half,adaptive,off
