stage,case,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_min,MccVoidRatio_mean,MccVoidRatio_max,MccPlasticVolStrain_mean,MccEqPlasticStrain_max,MccYieldFlag_fraction,Kplastic_max
M3c,m3c_high_pc_smoke,100000.0,100000.0,100000.0,0.0,0.7998930905159708,0.0,0.0,0.0,0.0,0.0
M3c,m3c_mild_smoke,119.48885,119.92931896805904,120.09983,0.0,0.8000937086732199,0.0,-5.241123137088451e-05,0.00070687983,1.0,0.00070687983
M3d,m3d_high_pc_extended,100000.0,100000.0,100000.0,0.0,0.799623846044227,0.0,0.0,0.0,0.0,0.0
M3d,m3d_mild_extended,117.68771,119.63033950859979,120.2084,0.0,0.8004928626289921,0.0,-0.0002750144962390663,0.0025562742,0.9754299754299754,0.0025562742
M3d2,m3d2_half_speed,117.31603,119.51923665847673,120.22383,0.79967231,0.8006414498280103,0.80365217,-0.0003579747359257987,0.0027624541,0.9803439803439803,0.0027624541
M3d2,m3d2_early_stop,119.48885,119.92931896805904,120.09983,0.79986221,0.8000937086732199,0.80070853,-5.241123137088451e-05,0.00070687983,1.0,0.00070687983
M3d2,m3d2_tight_return,117.68771,119.63033828009856,120.2084,0.79970473,0.8004928699017191,0.80314088,-0.00027501516709557743,0.0025562751,0.9754299754299754,0.0025562751
M3d3,m3d3_baseline,117.68771,119.63033950859979,120.2084,0.79970473,0.8004928626289921,0.80314088,-0.0002750144962390663,0.0025562742,0.9754299754299754,0.0025562742
M3d3,m3d3_fixed_substeps4,114.87664,119.17506904176908,120.48329,0.79933494,0.8011159005896793,0.80701476,-0.000617492469611548,0.0056991098,0.9312039312039312,0.0056991098
M3d3,m3d3_adaptive_substeps16,117.93754,119.63395098280112,120.2004,0.79971135,0.8004936204422615,0.80280685,-0.0002723184322439802,0.0024237814,0.9508599508599509,0.0024237814
M3d3,m3d3_adaptive_fallback16,109.54565,119.42373835380857,120.2025,0.79970735,0.800784017542999,0.81462026,-0.00043312591107862435,0.011033725,0.9533169533169533,0.011033725
M3d3,m3d3_half_speed_adaptive,117.30253,119.53243157248168,120.2248,0.79967135,0.8006309492383269,0.80367082,-0.0003481423016707617,0.0027752805,0.9705159705159705,0.0027752805
