stage,case,PorePress_mean,PorePress_std,PorePressRate_maxAbs,velocity_max
M3c,m3c_high_pc_smoke,26168.15189815342,16621.312608311127,34519324.0,0.0055347057000000015
M3c,m3c_mild_smoke,-55119.16709050431,62262.306240746104,64803080.0,0.0058191159832406
M3d,m3d_high_pc_extended,95552.39333608451,20774.49937608741,13685868.0,0.004700805556972946
M3d,m3d_mild_extended,-225214.38188911168,124985.56449377477,63265952.0,0.005524232722650874
M3d2,m3d2_half_speed,-277088.0520727064,65009.588564030266,29148422.0,0.0027941535313531
M3d2,m3d2_early_stop,-55119.16709050431,62262.306240746104,64803080.0,0.0058191159832406
M3d2,m3d2_tight_return,-225214.72591876276,124986.08724483434,63265972.0,0.005524235981243722
M3d3,m3d3_baseline,-225214.38188911168,124985.56449377477,63265952.0,0.005524232722650874
M3d3,m3d3_fixed_substeps4,-240501.7072251021,136391.58988470814,77213296.0,0.0063447688162135375
M3d3,m3d3_adaptive_substeps16,-239475.03886834142,135649.05367253246,76510104.0,0.0063158949438701945
M3d3,m3d3_adaptive_fallback16,-239488.43393454916,135910.80767536152,74225288.0,0.006238210319364786
M3d3,m3d3_half_speed_adaptive,-282269.0080923411,64660.22121600407,29217048.0,0.0027968823126221566
