stage,case,ReturnStatus_counts,ReturnStatus_minus3_count,ReturnStatus_minus5_count,MccReturnIterations_max,MccYieldResidual_converged_max,MccYieldResidual_raw_max,MccSubstepCount_max,MccSubstepFailureCount_sum,MccAdmissibilityFailureCount_sum
M3c,m3c_high_pc_smoke,0:407,0.0,0.0,0.0,0.0,30860150.0,0.0,0.0,0.0
M3c,m3c_mild_smoke,1:407,0.0,0.0,24.0,0.0,0.00011265323,0.0,0.0,0.0
M3d,m3d_high_pc_extended,0:407,0.0,0.0,0.0,0.0,81119608.0,0.0,0.0,0.0
M3d,m3d_mild_extended,-3:8|0:2|1:397,8.0,0.0,26.0,6.4242093e-05,4486.3047,0.0,0.0,0.0
M3d2,m3d2_half_speed,0:8|1:399,0.0,0.0,17.0,9.3119757e-05,4235.7915,0.0,0.0,0.0
M3d2,m3d2_early_stop,1:407,0.0,0.0,24.0,0.00011265323,0.00011265323,0.0,0.0,0.0
M3d2,m3d2_tight_return,-3:8|0:2|1:397,8.0,0.0,27.0,5.5635428e-07,4486.2969,0.0,0.0,0.0
M3d3,m3d3_baseline,-3:8|0:2|1:397,8.0,0.0,26.0,6.4242093e-05,4486.3047,1.0,8.0,0.0
M3d3,m3d3_fixed_substeps4,-3:18|-1:8|0:2|2:379,18.0,0.0,62.0,0.0,5018.5083,4.0,26.0,0.0
M3d3,m3d3_adaptive_substeps16,-3:10|-1:8|0:2|1:387,10.0,0.0,190.0,7.1746501e-05,5000.9287,16.0,90.0,0.0
M3d3,m3d3_adaptive_fallback16,-5:17|0:2|1:387|2:1,0.0,17.0,177.0,0.00012669183,5057.4331,16.0,88.0,0.0
M3d3,m3d3_half_speed_adaptive,0:12|1:395,0.0,0.0,17.0,9.2902883e-05,4483.9429,1.0,0.0,0.0
