case,part,time,region,status_-6,status_-5,status_-4,status_-3,status_-2,status_-1,status_0,status_1,status_2
baseline,0,0.0,edge,0,0,0,0,0,0,112,0,0
baseline,0,0.0,lateral_boundary,0,0,0,0,0,0,196,0,0
baseline,0,0.0,bottom_cap_zone,0,0,0,0,0,0,18,0,0
baseline,0,0.0,interior,0,0,0,0,0,0,63,0,0
baseline,0,0.0,top_cap_zone,0,0,0,0,0,0,18,0,0
baseline,1,0.000503,edge,0,0,0,0,0,0,112,0,0
baseline,1,0.000503,lateral_boundary,0,0,0,0,0,0,196,0,0
baseline,1,0.000503,bottom_cap_zone,0,0,0,0,0,0,18,0,0
baseline,1,0.000503,interior,0,0,0,0,0,0,63,0,0
baseline,1,0.000503,top_cap_zone,0,0,0,0,0,0,18,0,0
baseline,2,0.001005,edge,0,0,0,4,0,28,8,72,0
baseline,2,0.001005,lateral_boundary,0,0,0,0,0,24,136,36,0
baseline,2,0.001005,bottom_cap_zone,0,0,0,0,0,8,10,0,0
baseline,2,0.001005,interior,0,0,0,0,0,32,7,24,0
baseline,2,0.001005,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,3,0.001508,edge,0,0,0,0,0,56,0,56,0
baseline,3,0.001508,lateral_boundary,0,0,0,0,0,48,120,28,0
baseline,3,0.001508,bottom_cap_zone,0,0,0,0,0,18,0,0,0
baseline,3,0.001508,interior,0,0,0,0,0,35,0,28,0
baseline,3,0.001508,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,4,0.002011,edge,0,0,0,0,0,56,0,56,0
baseline,4,0.002011,lateral_boundary,0,0,0,4,0,8,144,40,0
baseline,4,0.002011,bottom_cap_zone,0,0,0,0,0,18,0,0,0
baseline,4,0.002011,interior,0,0,0,0,0,4,32,27,0
baseline,4,0.002011,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,5,0.002513,edge,0,0,0,0,0,40,12,60,0
baseline,5,0.002513,lateral_boundary,0,0,0,0,0,0,128,68,0
baseline,5,0.002513,bottom_cap_zone,0,0,0,0,0,0,9,9,0
baseline,5,0.002513,interior,0,0,0,0,0,0,36,27,0
baseline,5,0.002513,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,6,0.003016,edge,0,0,0,0,0,0,56,56,0
baseline,6,0.003016,lateral_boundary,0,0,0,0,0,0,120,76,0
baseline,6,0.003016,bottom_cap_zone,0,0,0,0,0,0,18,0,0
baseline,6,0.003016,interior,0,0,0,4,0,0,36,23,0
baseline,6,0.003016,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,7,0.003519,edge,0,0,0,0,0,0,56,56,0
baseline,7,0.003519,lateral_boundary,0,0,0,0,0,0,100,96,0
baseline,7,0.003519,bottom_cap_zone,0,0,0,0,0,0,18,0,0
baseline,7,0.003519,interior,0,0,0,0,0,0,36,27,0
baseline,7,0.003519,top_cap_zone,0,0,0,4,0,0,0,14,0
baseline,8,0.004021,edge,0,0,0,0,0,0,32,80,0
baseline,8,0.004021,lateral_boundary,0,0,0,0,0,0,80,116,0
baseline,8,0.004021,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,8,0.004021,interior,0,0,0,0,0,0,28,35,0
baseline,8,0.004021,top_cap_zone,0,0,0,1,0,0,0,17,0
baseline,9,0.004524,edge,0,0,0,0,0,0,0,112,0
baseline,9,0.004524,lateral_boundary,0,0,0,0,0,0,56,140,0
baseline,9,0.004524,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,9,0.004524,interior,0,0,0,0,0,0,3,60,0
baseline,9,0.004524,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,10,0.005027,edge,0,0,0,0,0,0,0,112,0
baseline,10,0.005027,lateral_boundary,0,0,0,0,0,0,16,180,0
baseline,10,0.005027,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,10,0.005027,interior,0,0,0,0,0,0,2,61,0
baseline,10,0.005027,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,11,0.005529,edge,0,0,0,0,0,0,0,112,0
baseline,11,0.005529,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,11,0.005529,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,11,0.005529,interior,0,0,0,0,0,0,1,62,0
baseline,11,0.005529,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,12,0.006032,edge,0,0,0,0,0,0,0,112,0
baseline,12,0.006032,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,12,0.006032,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,12,0.006032,interior,0,0,0,0,0,0,0,63,0
baseline,12,0.006032,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,13,0.006535,edge,0,0,0,0,0,0,0,112,0
baseline,13,0.006535,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,13,0.006535,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,13,0.006535,interior,0,0,0,0,0,0,2,61,0
baseline,13,0.006535,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,14,0.007037,edge,0,0,0,0,0,0,0,112,0
baseline,14,0.007037,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,14,0.007037,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,14,0.007037,interior,0,0,0,4,0,0,2,57,0
baseline,14,0.007037,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,15,0.00754,edge,0,0,0,0,0,4,0,108,0
baseline,15,0.00754,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,15,0.00754,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,15,0.00754,interior,0,0,0,0,0,0,2,61,0
baseline,15,0.00754,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,16,0.008043,edge,0,0,0,0,0,4,0,108,0
baseline,16,0.008043,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,16,0.008043,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,16,0.008043,interior,0,0,0,4,0,0,2,57,0
baseline,16,0.008043,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,17,0.008545,edge,0,0,0,0,0,4,0,108,0
baseline,17,0.008545,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,17,0.008545,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,17,0.008545,interior,0,0,0,0,0,0,2,61,0
baseline,17,0.008545,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,18,0.009048,edge,0,0,0,0,0,4,0,108,0
baseline,18,0.009048,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,18,0.009048,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,18,0.009048,interior,0,0,0,0,0,0,6,57,0
baseline,18,0.009048,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,19,0.009551,edge,0,0,0,0,0,4,0,108,0
baseline,19,0.009551,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,19,0.009551,bottom_cap_zone,0,0,0,4,0,0,0,14,0
baseline,19,0.009551,interior,0,0,0,0,0,0,6,57,0
baseline,19,0.009551,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,20,0.010053,edge,0,0,0,0,0,0,0,112,0
baseline,20,0.010053,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,20,0.010053,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,20,0.010053,interior,0,0,0,0,0,0,6,57,0
baseline,20,0.010053,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,21,0.010556,edge,0,0,0,8,0,0,0,104,0
baseline,21,0.010556,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,21,0.010556,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,21,0.010556,interior,0,0,0,0,0,0,2,61,0
baseline,21,0.010556,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,22,0.011059,edge,0,0,0,0,0,0,0,112,0
baseline,22,0.011059,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,22,0.011059,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,22,0.011059,interior,0,0,0,0,0,0,2,61,0
baseline,22,0.011059,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,23,0.011561,edge,0,0,0,0,0,0,0,112,0
baseline,23,0.011561,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,23,0.011561,bottom_cap_zone,0,0,0,1,0,0,0,17,0
baseline,23,0.011561,interior,0,0,0,0,0,0,2,61,0
baseline,23,0.011561,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,24,0.012064,edge,0,0,0,0,0,0,0,112,0
baseline,24,0.012064,lateral_boundary,0,0,0,0,0,0,0,196,0
baseline,24,0.012064,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,24,0.012064,interior,0,0,0,4,0,0,2,57,0
baseline,24,0.012064,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,25,0.012566,edge,0,0,0,0,0,0,0,112,0
baseline,25,0.012566,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,25,0.012566,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,25,0.012566,interior,0,0,0,0,0,0,2,65,0
baseline,25,0.012566,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,26,0.013069,edge,0,0,0,0,0,0,0,112,0
baseline,26,0.013069,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,26,0.013069,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,26,0.013069,interior,0,0,0,0,0,0,2,65,0
baseline,26,0.013069,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,27,0.013572,edge,0,0,0,0,0,0,0,112,0
baseline,27,0.013572,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,27,0.013572,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,27,0.013572,interior,0,0,0,0,0,0,2,65,0
baseline,27,0.013572,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,28,0.014074,edge,0,0,0,0,0,0,0,112,0
baseline,28,0.014074,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,28,0.014074,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,28,0.014074,interior,0,0,0,0,0,0,2,65,0
baseline,28,0.014074,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,29,0.014577,edge,0,0,0,0,0,0,0,112,0
baseline,29,0.014577,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,29,0.014577,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,29,0.014577,interior,0,0,0,4,0,0,2,61,0
baseline,29,0.014577,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,30,0.01508,edge,0,0,0,0,0,0,0,112,0
baseline,30,0.01508,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,30,0.01508,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,30,0.01508,interior,0,0,0,0,0,0,2,65,0
baseline,30,0.01508,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,31,0.015582,edge,0,0,0,0,0,0,0,112,0
baseline,31,0.015582,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,31,0.015582,bottom_cap_zone,0,0,0,1,0,0,0,17,0
baseline,31,0.015582,interior,0,0,0,0,0,0,2,65,0
baseline,31,0.015582,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,32,0.016085,edge,0,0,0,0,0,0,0,112,0
baseline,32,0.016085,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,32,0.016085,bottom_cap_zone,0,0,0,4,0,0,0,14,0
baseline,32,0.016085,interior,0,0,0,0,0,0,2,65,0
baseline,32,0.016085,top_cap_zone,0,0,0,1,0,0,0,17,0
baseline,33,0.016588,edge,0,0,0,0,0,0,0,112,0
baseline,33,0.016588,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,33,0.016588,bottom_cap_zone,0,0,0,1,0,0,0,17,0
baseline,33,0.016588,interior,0,0,0,0,0,0,2,65,0
baseline,33,0.016588,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,34,0.01709,edge,0,0,0,0,0,0,0,112,0
baseline,34,0.01709,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,34,0.01709,bottom_cap_zone,0,0,0,5,0,0,0,13,0
baseline,34,0.01709,interior,0,0,0,4,0,0,2,61,0
baseline,34,0.01709,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,35,0.017593,edge,0,0,0,0,0,0,0,112,0
baseline,35,0.017593,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,35,0.017593,bottom_cap_zone,0,0,0,0,0,0,0,18,0
baseline,35,0.017593,interior,0,0,0,0,0,0,2,65,0
baseline,35,0.017593,top_cap_zone,0,0,0,0,0,0,0,18,0
baseline,36,0.018096,edge,0,0,0,0,0,0,0,112,0
baseline,36,0.018096,lateral_boundary,0,0,0,0,0,0,0,192,0
baseline,36,0.018096,bottom_cap_zone,0,0,0,4,0,0,0,14,0
baseline,36,0.018096,interior,0,0,0,4,0,0,2,61,0
baseline,36,0.018096,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,0,0.0,edge,0,0,0,0,0,0,112,0,0
ramp_current_adaptive,0,0.0,lateral_boundary,0,0,0,0,0,0,196,0,0
ramp_current_adaptive,0,0.0,bottom_cap_zone,0,0,0,0,0,0,18,0,0
ramp_current_adaptive,0,0.0,interior,0,0,0,0,0,0,63,0,0
ramp_current_adaptive,0,0.0,top_cap_zone,0,0,0,0,0,0,18,0,0
ramp_current_adaptive,1,0.000503,edge,0,0,0,0,0,0,112,0,0
ramp_current_adaptive,1,0.000503,lateral_boundary,0,0,0,0,0,0,196,0,0
ramp_current_adaptive,1,0.000503,bottom_cap_zone,0,0,0,0,0,0,18,0,0
ramp_current_adaptive,1,0.000503,interior,0,0,0,0,0,0,63,0,0
ramp_current_adaptive,1,0.000503,top_cap_zone,0,0,0,0,0,0,18,0,0
ramp_current_adaptive,2,0.001005,edge,0,0,0,0,0,28,32,52,0
ramp_current_adaptive,2,0.001005,lateral_boundary,0,0,0,0,0,36,112,48,0
ramp_current_adaptive,2,0.001005,bottom_cap_zone,0,0,0,0,0,8,10,0,0
ramp_current_adaptive,2,0.001005,interior,0,0,0,0,0,56,7,0,0
ramp_current_adaptive,2,0.001005,top_cap_zone,0,0,0,0,0,0,10,8,0
ramp_current_adaptive,3,0.001508,edge,0,0,0,0,0,56,0,56,0
ramp_current_adaptive,3,0.001508,lateral_boundary,0,0,0,0,0,0,128,68,0
ramp_current_adaptive,3,0.001508,bottom_cap_zone,0,0,0,0,0,18,0,0,0
ramp_current_adaptive,3,0.001508,interior,0,0,0,0,0,0,0,63,0
ramp_current_adaptive,3,0.001508,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,4,0.002011,edge,0,0,0,0,0,24,0,88,0
ramp_current_adaptive,4,0.002011,lateral_boundary,0,0,0,0,0,0,176,20,0
ramp_current_adaptive,4,0.002011,bottom_cap_zone,0,0,0,0,0,9,0,9,0
ramp_current_adaptive,4,0.002011,interior,0,0,0,0,0,0,54,9,0
ramp_current_adaptive,4,0.002011,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,5,0.002513,edge,0,0,0,4,0,12,0,96,0
