case,part,time,axial_strain,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1,0.000503,-2.0285726015645267e-08,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0009684581650833893
baseline,2,0.001005,3.5213260500543964e-06,-16020.743816638296,3489.4607794851318,28763496.0,0.043205004,0.002581265388660145
baseline,3,0.001508,1.2303372170091587e-05,-18898.22295791297,5553.3443161071,38999052.0,0.058520902,0.0038150888009469922
baseline,4,0.002011,2.375143980007377e-05,-16189.229487128725,13544.86527810674,48548364.0,0.07291884,0.004506033172524084
baseline,5,0.002513,3.682086509998461e-05,-13005.81871013194,18412.994539488733,52820388.0,0.079320081,0.004916649626436078
baseline,6,0.003016,5.091539840004766e-05,-13460.633326269448,28114.06278235987,54996124.0,0.082645603,0.005177726005218454
baseline,7,0.003519,6.57151932001443e-05,-18129.930876678507,31322.512762728158,56911092.0,0.085501015,0.005364573605300064
baseline,8,0.004021,8.101679450006616e-05,-26132.44833160832,38832.56892458556,59008048.0,0.088749997,0.005509173386397656
baseline,9,0.004524,9.63944103000991e-05,-34540.38232099173,40679.67382274355,61165472.0,0.091865107,0.00562056852234564
baseline,10,0.005027,0.0001117352160001639,-42177.925609907645,49510.49144842366,62624752.0,0.094204821,0.005704942848729977
baseline,11,0.005529,0.00012678899500004337,-48774.82243347713,52279.162918316884,63818784.0,0.09590856,0.005770011133794526
baseline,12,0.006032,0.00014153063300006985,-55119.16709050431,62262.306240746104,64803080.0,0.097447231,0.0058191159832406
baseline,13,0.006535,0.0001561754700001028,-61637.81950704687,63979.38846676036,65653532.0,0.098684236,0.00585548459462462
baseline,14,0.007037,0.0001707631900001172,-68808.30089910266,73198.24617415498,66278628.0,0.099691287,0.005886292727521611
baseline,15,0.00754,0.00018533923799995966,-76155.47856392594,73338.1133446288,66923092.0,0.10061236,0.005916646641902406
baseline,16,0.008043,0.00019985242300013528,-83881.71919041716,82075.98779619082,65586388.0,0.098740734,0.005599960538096434
baseline,17,0.008545,0.00021430404300012973,-90888.61731256181,80959.14116578148,63243980.0,0.095064007,0.005588124412878272
baseline,18,0.009048,0.0002287717679999579,-97668.70224865667,88605.13559360223,60753328.0,0.091438279,0.005578583745090961
baseline,19,0.009551,0.000243390953000161,-103649.4476016301,86125.7279246496,60306752.0,0.090711042,0.0055748133502245886
baseline,20,0.010053,0.0002583861720001357,-109873.88605149124,93130.62487083954,60761200.0,0.091480702,0.005578034651413316
baseline,21,0.010556,0.00027345230400002696,-116145.6322182653,90516.0568866726,62176464.0,0.093448162,0.005586744659564742
baseline,22,0.011059,0.00028850714399994426,-123206.45947133358,98080.905452264,63180712.0,0.095149308,0.005590101348225641
baseline,23,0.011561,0.0003034814579999656,-130078.67071022195,95427.24603394495,63906924.0,0.096062265,0.005589301123908815
baseline,24,0.012064,0.00031837837400003344,-137539.68000470786,103214.01945693923,64146356.0,0.096611716,0.005583935554256415
baseline,25,0.012566,0.0003331340410001049,-144515.45124438748,100188.61332100457,64510336.0,0.096985191,0.0055766618451576965
baseline,26,0.013069,0.00034789490100009535,-152031.0513087373,108077.59473652385,64553968.0,0.097240627,0.005574225004731893
baseline,27,0.013572,0.00036251632099998377,-158990.7147043342,104600.43954016584,64768296.0,0.097387314,0.005571778600023233
baseline,28,0.014074,0.0003770922170000246,-166577.61952434896,112480.3112759972,64653616.0,0.097404875,0.0055697874066281865
baseline,29,0.014577,0.0003916153570000802,-173553.62121435322,108485.98365589275,64689556.0,0.097282141,0.00556812802004651
baseline,30,0.01508,0.00040607803799996844,-181248.5393421465,116311.53817712056,64456232.0,0.097120397,0.005566001347533801
baseline,31,0.015582,0.00042050267100010585,-188232.32063338737,111875.4253747949,64466920.0,0.09695857,0.005563199447377282
baseline,32,0.016085,0.0004349519110000144,-195960.21622577682,119678.29757353594,64193796.0,0.096735641,0.00556019369625581
baseline,33,0.016588,0.0004492885050001727,-202875.5548296595,114840.86871963712,64112908.0,0.096436463,0.00554985787018284
baseline,34,0.01709,0.0004636546450001444,-210582.2788602461,122568.36199705412,63747720.0,0.096074387,0.005539688718299206
baseline,35,0.017593,0.00047805187000010685,-217450.76138385595,117320.38523857649,63632868.0,0.095724262,0.005534855098960306
baseline,36,0.018096,0.0004923412500000557,-225214.38188911168,124985.56449377477,63265952.0,0.095357433,0.005524232722650874
ramp_current_adaptive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ramp_current_adaptive,1,0.000503,-2.0285726015645267e-08,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0009684581650833893
ramp_current_adaptive,2,0.001005,2.0933410005419262e-08,-17317.25081182327,3273.2144864446623,28769054.0,0.043213334,0.0012486012783127962
ramp_current_adaptive,3,0.001508,7.084868700046876e-07,-22261.951137175023,4571.659580662354,24034468.0,0.036056593,0.0013058120908694586
ramp_current_adaptive,4,0.002011,2.9932523000486544e-06,-21194.291779710577,11222.511307940285,23094498.0,0.03477288,0.0016617118349946747
ramp_current_adaptive,5,0.002513,7.270650199953099e-06,-18628.98312747418,13584.84426028249,22120050.0,0.033235166,0.002191831294601667
ramp_current_adaptive,6,0.003016,1.3821570000044359e-05,-17834.416441566987,18789.22428037065,26699936.0,0.040140379,0.0027961047820054276
ramp_current_adaptive,7,0.003519,2.2650760500009248e-05,-19826.996323131094,17835.586510161706,31866948.0,0.047883719,0.003412214039834644
ramp_current_adaptive,8,0.004022,3.363071380005356e-05,-24660.667610290348,20792.14583306789,37163848.0,0.055862829,0.004015404800624468
ramp_current_adaptive,9,0.004524,4.660455410004927e-05,-29638.93339623598,20726.045548869875,42893452.0,0.064431995,0.004549382219239585
ramp_current_adaptive,10,0.005027,6.092026309995058e-05,-34106.70627402091,27595.51251468569,47592296.0,0.071520589,0.004909640482902031
ramp_current_adaptive,11,0.00553,7.58941078000952e-05,-37419.04439708407,31124.067039148806,50923464.0,0.076504394,0.005143302524116606
ramp_current_adaptive,12,0.006032,9.103995000009357e-05,-41087.75644766452,40341.109944777585,53153492.0,0.079896249,0.005299354595784496
ramp_current_adaptive,13,0.006535,0.00010614243400014489,-45643.94725942121,42965.10306836525,54858744.0,0.082435124,0.005410601174016219
ramp_current_adaptive,14,0.007038,0.00012104608800009298,-51765.767966287596,51326.44816039617,56311480.0,0.084665827,0.005497063444368793
ramp_current_adaptive,15,0.00754,0.00013581399900000624,-58801.867840162064,52216.469292183545,58171128.0,0.087390453,0.005568564879109952
ramp_current_adaptive,16,0.008043,0.0001505442580000682,-66362.25153975582,60465.69037834551,59757124.0,0.089915857,0.005629596389861011
ramp_current_adaptive,17,0.008546,0.0001651234220001463,-73765.61586995044,61022.91711761717,61306292.0,0.092112005,0.005681996515541351
ramp_current_adaptive,18,0.009048,0.00017967524600009943,-81087.14621774416,69951.378977729,62407932.0,0.093921028,0.0057270665543838455
ramp_current_adaptive,19,0.009551,0.00019413016400016136,-88067.69962004901,70174.58671919336,63467500.0,0.09537477,0.005766211267961098
ramp_current_adaptive,20,0.010053,0.00020867069400007376,-95303.7221742359,79229.82195191557,64150820.0,0.09656585,0.005800983752182232
ramp_current_adaptive,21,0.010556,0.000223143051000102,-102312.85697824539,78542.67780724501,64920620.0,0.097576104,0.005832735338281139
ramp_current_adaptive,22,0.011059,0.0002375437530000024,-109830.07701290933,87410.71629511226,65390688.0,0.098453663,0.005862283888806328
ramp_current_adaptive,23,0.011561,0.00025200898300006824,-116952.93549082073,85965.42987761208,65999568.0,0.099213786,0.00588987306700588
ramp_current_adaptive,24,0.012064,0.0002664084159999247,-124582.20226742014,94877.0052795321,66300000.0,0.099840909,0.005915715228888521
ramp_current_adaptive,25,0.012567,0.0002807252440001351,-131642.50931186625,92891.0485084096,66924212.0,0.10065313,0.005940073092142757
ramp_current_adaptive,26,0.013069,0.0002950540740000174,-139296.94690085526,101830.48144688107,67457792.0,0.10153225,0.005962799882887193
ramp_current_adaptive,27,0.013572,0.00030939923400016833,-146366.6862757203,99172.66671173376,68043200.0,0.10234643,0.005983902198037656
ramp_current_adaptive,28,0.014075,0.00032375430400008454,-154163.47297570563,107961.75052524493,68491984.0,0.10310304,0.006003537366033679
ramp_current_adaptive,29,0.014577,0.0003380526530001593,-161315.67351535894,104615.5176162991,69016216.0,0.10381938,0.006021876291574577
ramp_current_adaptive,30,0.01508,0.0003523679290000359,-169226.51298582953,113281.58168520876,69418312.0,0.10451056,0.006039077769732982
ramp_current_adaptive,31,0.015583,0.0003667140150000192,-176368.58445152058,109400.3821026073,69911720.0,0.10517444,0.0060552580562244825
ramp_current_adaptive,32,0.016085,0.0003810144400000215,-184290.5254756336,118008.99752103943,70269016.0,0.10580301,0.006070473361439664
ramp_current_adaptive,33,0.016588,0.00039527179499995735,-191370.87352125844,113652.31869714368,70714608.0,0.10638908,0.0060847818406159155
ramp_current_adaptive,34,0.01709,0.0004096277050000263,-199304.062001736,122165.18305214233,71011168.0,0.10693119,0.006098268346019539
ramp_current_adaptive,35,0.017593,0.0004238830330000054,-206357.48354984637,117339.01617944083,71405328.0,0.10743413,0.00611103162739442
ramp_current_adaptive,36,0.018096,0.0004382383070000717,-214327.6563958012,125731.03374582269,71652152.0,0.10790608,0.0061231578322423355
ramp_current_adaptive,37,0.018598,0.0004524841820001402,-221364.2609111092,120496.56278732773,72013016.0,0.10835321,0.006134702631895453
ramp_current_adaptive,38,0.019,0.0004639690799999874,-227754.97888156574,127114.06520036458,72184424.0,0.10869488,0.006143538201677118
ramp_current_adaptive,39,0.019503,0.0004782163599999223,-234758.74341582155,121605.20754422223,72384256.0,0.10910197,0.006154098902828594
