case,time,trigger_reason,count
baseline,0.0,0,407
baseline,0.0,1,0
baseline,0.0,2,0
baseline,0.0,3,0
baseline,0.0,4,0
baseline,0.0,5,0
baseline,0.000503,0,407
baseline,0.000503,1,0
baseline,0.000503,2,0
baseline,0.000503,3,0
baseline,0.000503,4,0
baseline,0.000503,5,0
baseline,0.001005,0,407
baseline,0.001005,1,0
baseline,0.001005,2,0
baseline,0.001005,3,0
baseline,0.001005,4,0
baseline,0.001005,5,0
baseline,0.001508,0,407
baseline,0.001508,1,0
baseline,0.001508,2,0
baseline,0.001508,3,0
baseline,0.001508,4,0
baseline,0.001508,5,0
baseline,0.002011,0,407
baseline,0.002011,1,0
baseline,0.002011,2,0
baseline,0.002011,3,0
baseline,0.002011,4,0
baseline,0.002011,5,0
baseline,0.002513,0,407
baseline,0.002513,1,0
baseline,0.002513,2,0
baseline,0.002513,3,0
baseline,0.002513,4,0
baseline,0.002513,5,0
baseline,0.003016,0,407
baseline,0.003016,1,0
baseline,0.003016,2,0
baseline,0.003016,3,0
baseline,0.003016,4,0
baseline,0.003016,5,0
baseline,0.003519,0,407
baseline,0.003519,1,0
baseline,0.003519,2,0
baseline,0.003519,3,0
baseline,0.003519,4,0
baseline,0.003519,5,0
baseline,0.004021,0,407
baseline,0.004021,1,0
baseline,0.004021,2,0
baseline,0.004021,3,0
baseline,0.004021,4,0
baseline,0.004021,5,0
baseline,0.004524,0,407
baseline,0.004524,1,0
baseline,0.004524,2,0
baseline,0.004524,3,0
baseline,0.004524,4,0
baseline,0.004524,5,0
baseline,0.005027,0,407
baseline,0.005027,1,0
baseline,0.005027,2,0
baseline,0.005027,3,0
baseline,0.005027,4,0
baseline,0.005027,5,0
baseline,0.005529,0,407
baseline,0.005529,1,0
baseline,0.005529,2,0
baseline,0.005529,3,0
baseline,0.005529,4,0
baseline,0.005529,5,0
baseline,0.006032,0,407
baseline,0.006032,1,0
baseline,0.006032,2,0
baseline,0.006032,3,0
baseline,0.006032,4,0
baseline,0.006032,5,0
baseline,0.006535,0,407
