case,part,time,MccYieldResidual_raw_maxAbs,MccYieldResidual_converged_maxAbs,MccReturnIterations_max,MccReturnIterations_mean
baseline,0,0.0,0.0,0.0,0.0,0.0
baseline,1,0.000503,4596.9512,0.0,0.0,0.0
baseline,2,0.001005,3888.0342,7.789192e-05,21.0,3.0884520884520885
baseline,3,0.001508,3759.2253,9.7044758e-05,22.0,2.8746928746928746
baseline,4,0.002011,4852.8984,7.6900105e-05,24.0,3.3366093366093366
baseline,5,0.002513,4846.7769,3.3204022e-05,18.0,3.7592137592137593
baseline,6,0.003016,4953.4565,5.8429076e-05,22.0,4.117936117936118
baseline,7,0.003519,4702.5859,6.7611305e-05,21.0,4.5675675675675675
baseline,8,0.004021,4351.4722,0.0001009277,23.0,5.909090909090909
baseline,9,0.004524,2744.1169,6.0453509e-05,21.0,7.503685503685504
baseline,10,0.005027,1428.3448,0.00010979646,24.0,8.076167076167076
baseline,11,0.005529,168.19905,8.1011458e-05,21.0,8.663390663390663
baseline,12,0.006032,0.00011265323,0.00011265323,24.0,8.938574938574938
baseline,13,0.006535,76.343796,7.7827935e-05,27.0,8.800982800982801
baseline,14,0.007037,3125.1248,9.1483889e-05,27.0,8.705159705159705
baseline,15,0.00754,1414.4698,6.6406872e-05,22.0,8.466830466830467
baseline,16,0.008043,3092.8142,7.9323174e-05,22.0,8.447174447174447
baseline,17,0.008545,2861.8821,5.6471697e-05,22.0,8.574938574938574
baseline,18,0.009048,3421.1082,0.00012604349,22.0,8.203931203931203
baseline,19,0.009551,3887.4253,0.00010927622,21.0,8.562653562653562
baseline,20,0.010053,4260.0732,0.00012078103,18.0,8.248157248157248
baseline,21,0.010556,4528.604,4.9253296e-05,20.0,8.48894348894349
baseline,22,0.011059,4696.6211,5.6549157e-05,26.0,9.068796068796068
baseline,23,0.011561,4782.9292,7.0479553e-05,26.0,9.312039312039312
baseline,24,0.012064,4812.8179,7.0871778e-05,27.0,9.203931203931203
baseline,25,0.012566,4808.7798,6.7852045e-05,27.0,9.422604422604422
baseline,26,0.013069,4786.189,6.0545983e-05,27.0,9.35135135135135
baseline,27,0.013572,4754.1865,5.8578309e-05,27.0,9.4004914004914
baseline,28,0.014074,4716.2681,6.1611951e-05,27.0,9.361179361179362
baseline,29,0.014577,4673.6592,6.6017048e-05,27.0,9.368550368550368
baseline,30,0.01508,4627.2939,6.8579917e-05,27.0,9.45945945945946
baseline,31,0.015582,4578.9209,6.7231005e-05,27.0,9.420147420147421
baseline,32,0.016085,4530.7178,6.3880281e-05,27.0,9.265356265356266
baseline,33,0.016588,4484.2451,6.2990082e-05,27.0,9.223587223587224
baseline,34,0.01709,4440.3535,6.373103e-05,26.0,9.334152334152334
baseline,35,0.017593,4405.4355,6.199022e-05,26.0,9.422604422604422
baseline,36,0.018096,4486.3047,6.4242093e-05,26.0,9.233415233415233
ramp_current_adaptive,0,0.0,0.0,0.0,0.0,0.0
ramp_current_adaptive,1,0.000503,4596.9512,0.0,0.0,0.0
ramp_current_adaptive,2,0.001005,3175.1492,9.0571175e-06,77.0,17.07125307125307
ramp_current_adaptive,3,0.001508,3547.5876,5.7628076e-05,111.0,15.587223587223587
ramp_current_adaptive,4,0.002011,4773.0649,1.8139701e-05,91.0,8.766584766584767
ramp_current_adaptive,5,0.002513,4908.085,4.3187938e-05,101.0,5.987714987714988
ramp_current_adaptive,6,0.003016,5110.2866,8.0745885e-05,90.0,5.076167076167076
ramp_current_adaptive,7,0.003519,5158.105,5.0737599e-05,17.0,3.742014742014742
ramp_current_adaptive,8,0.004022,5046.168,4.9348757e-05,108.0,7.063882063882064
ramp_current_adaptive,9,0.004524,4400.9395,3.7648537e-05,21.0,5.041769041769042
ramp_current_adaptive,10,0.005027,3420.9971,4.8632432e-05,32.0,5.99017199017199
ramp_current_adaptive,11,0.00553,2573.498,6.5715503e-05,22.0,6.707616707616707
ramp_current_adaptive,12,0.006032,1267.9784,6.103349e-05,23.0,7.641277641277641
ramp_current_adaptive,13,0.006535,4115.9639,0.00010852297,111.0,9.11056511056511
ramp_current_adaptive,14,0.007038,8.0167374e-05,8.0167374e-05,23.0,8.07862407862408
ramp_current_adaptive,15,0.00754,777.22589,9.8597702e-05,85.0,8.874692874692874
ramp_current_adaptive,16,0.008043,1573.2601,9.4727191e-05,103.0,10.50859950859951
ramp_current_adaptive,17,0.008546,1536.6278,0.00011068348,103.0,12.363636363636363
ramp_current_adaptive,18,0.009048,1490.1542,8.5587424e-05,103.0,12.45945945945946
ramp_current_adaptive,19,0.009551,1449.8127,9.5450414e-05,95.0,9.668304668304668
ramp_current_adaptive,20,0.010053,2174.1172,0.00011289548,112.0,11.86977886977887
ramp_current_adaptive,21,0.010556,2908.3318,6.1886916e-05,101.0,10.756756756756756
ramp_current_adaptive,22,0.011059,3542.0313,5.6801939e-05,136.0,10.282555282555283
ramp_current_adaptive,23,0.011561,4025.9165,5.590095e-05,137.0,10.398034398034397
ramp_current_adaptive,24,0.012064,4374.7085,0.00012680143,195.0,13.427518427518427
ramp_current_adaptive,25,0.012567,4619.3652,0.00011890932,204.0,11.756756756756756
ramp_current_adaptive,26,0.013069,4784.2241,0.00011566786,205.0,12.656019656019655
ramp_current_adaptive,27,0.013572,4888.4492,0.00011655799,205.0,11.523341523341523
ramp_current_adaptive,28,0.014075,4948.0967,0.00011935431,203.0,11.402948402948402
ramp_current_adaptive,29,0.014577,4976.5576,0.00012198457,204.0,11.42997542997543
ramp_current_adaptive,30,0.01508,4983.5864,0.00012343939,174.0,11.235872235872236
ramp_current_adaptive,31,0.015583,4974.8369,0.00012373719,174.0,11.882063882063882
ramp_current_adaptive,32,0.016085,4953.1377,0.00012339324,186.0,11.987714987714988
ramp_current_adaptive,33,0.016588,4920.6841,0.00012291087,186.0,11.194103194103194
ramp_current_adaptive,34,0.01709,4880.1533,0.00012263205,187.0,12.054054054054054
