case,part,time,admissibility_failure_sum,reject_reason_max,line_search_backtrack_max,line_search_min_alpha_min_positive
baseline,0,0.0,0.0,0.0,0.0,0.0
baseline,1,0.000503,0.0,0.0,0.0,1.0
baseline,2,0.001005,0.0,6.0,12.0,0.00024414063
baseline,3,0.001508,0.0,4.0,6.0,0.015625
baseline,4,0.002011,0.0,6.0,12.0,0.00048828125
baseline,5,0.002513,0.0,6.0,7.0,0.0078125
baseline,6,0.003016,0.0,4.0,12.0,0.00048828125
baseline,7,0.003519,0.0,4.0,12.0,0.00024414063
baseline,8,0.004021,0.0,4.0,12.0,0.00024414063
baseline,9,0.004524,0.0,4.0,5.0,0.03125
baseline,10,0.005027,0.0,4.0,5.0,0.03125
baseline,11,0.005529,0.0,4.0,5.0,0.03125
baseline,12,0.006032,0.0,4.0,5.0,0.03125
baseline,13,0.006535,0.0,4.0,5.0,0.03125
baseline,14,0.007037,0.0,4.0,12.0,0.001953125
baseline,15,0.00754,0.0,4.0,4.0,0.0625
baseline,16,0.008043,0.0,4.0,12.0,0.00024414063
baseline,17,0.008545,0.0,4.0,4.0,0.0625
baseline,18,0.009048,0.0,4.0,4.0,0.0625
baseline,19,0.009551,0.0,4.0,12.0,0.00024414063
baseline,20,0.010053,0.0,4.0,4.0,0.0625
baseline,21,0.010556,0.0,4.0,12.0,0.00024414063
baseline,22,0.011059,0.0,4.0,5.0,0.03125
baseline,23,0.011561,0.0,4.0,12.0,0.00048828125
baseline,24,0.012064,0.0,4.0,12.0,0.00024414063
baseline,25,0.012566,0.0,4.0,5.0,0.03125
baseline,26,0.013069,0.0,4.0,5.0,0.03125
baseline,27,0.013572,0.0,4.0,5.0,0.03125
baseline,28,0.014074,0.0,4.0,5.0,0.03125
baseline,29,0.014577,0.0,4.0,12.0,0.00024414063
baseline,30,0.01508,0.0,4.0,5.0,0.03125
baseline,31,0.015582,0.0,4.0,12.0,0.00024414063
baseline,32,0.016085,0.0,4.0,12.0,0.00024414063
baseline,33,0.016588,0.0,4.0,12.0,0.0078125
baseline,34,0.01709,0.0,4.0,12.0,0.00024414063
baseline,35,0.017593,0.0,4.0,5.0,0.03125
baseline,36,0.018096,0.0,4.0,12.0,0.00024414063
admissible_line,0,0.0,0.0,0.0,0.0,0.0
admissible_line,1,0.000503,0.0,0.0,0.0,1.0
admissible_line,2,0.001005,92.0,6.0,32.0,2.3283064e-10
admissible_line,3,0.001508,157.0,4.0,6.0,0.015625
admissible_line,4,0.002011,86.0,6.0,32.0,2.3283064e-10
admissible_line,5,0.002513,40.0,6.0,7.0,0.0078125
admissible_line,6,0.003016,0.0,4.0,32.0,2.3283064e-10
admissible_line,7,0.003519,0.0,4.0,32.0,2.3283064e-10
admissible_line,8,0.004021,0.0,4.0,32.0,2.3283064e-10
admissible_line,9,0.004524,0.0,4.0,5.0,0.03125
admissible_line,10,0.005027,0.0,4.0,5.0,0.03125
admissible_line,11,0.005529,0.0,4.0,5.0,0.03125
admissible_line,12,0.006032,0.0,4.0,5.0,0.03125
admissible_line,13,0.006535,0.0,4.0,5.0,0.03125
admissible_line,14,0.007037,0.0,4.0,32.0,2.3283064e-10
admissible_line,15,0.00754,4.0,4.0,4.0,0.0625
admissible_line,16,0.008043,4.0,4.0,32.0,2.3283064e-10
admissible_line,17,0.008545,4.0,4.0,4.0,0.0625
admissible_line,18,0.009048,4.0,4.0,4.0,0.0625
admissible_line,19,0.009551,4.0,4.0,32.0,2.3283064e-10
admissible_line,20,0.010053,0.0,4.0,4.0,0.0625
admissible_line,21,0.010556,0.0,4.0,32.0,2.3283064e-10
admissible_line,22,0.011059,0.0,4.0,5.0,0.03125
admissible_line,23,0.011561,0.0,4.0,32.0,2.3283064e-10
admissible_line,24,0.012064,0.0,4.0,32.0,2.3283064e-10
admissible_line,25,0.012566,0.0,4.0,5.0,0.03125
admissible_line,26,0.013069,0.0,4.0,5.0,0.03125
admissible_line,27,0.013572,0.0,4.0,5.0,0.03125
admissible_line,28,0.014074,0.0,4.0,5.0,0.03125
admissible_line,29,0.014577,0.0,4.0,32.0,4.6566129e-10
admissible_line,30,0.01508,0.0,4.0,5.0,0.03125
admissible_line,31,0.015582,0.0,4.0,32.0,3.7252903e-09
admissible_line,32,0.016085,0.0,4.0,32.0,2.3283064e-10
admissible_line,33,0.016588,0.0,4.0,32.0,2.3283064e-10
admissible_line,34,0.01709,0.0,4.0,32.0,2.3283064e-10
admissible_line,35,0.017593,0.0,4.0,5.0,0.03125
admissible_line,36,0.018096,0.0,4.0,32.0,2.3283064e-10
adaptive_line,0,0.0,0.0,0.0,0.0,0.0
adaptive_line,1,0.000503,0.0,0.0,0.0,1.0
adaptive_line,2,0.001005,0.0,6.0,58.0,2.3283064e-10
adaptive_line,3,0.001508,0.0,6.0,25.0,0.015625
adaptive_line,4,0.002011,0.0,6.0,22.0,0.015625
adaptive_line,5,0.002513,0.0,6.0,75.0,2.3283064e-10
adaptive_line,6,0.003016,0.0,4.0,92.0,2.3283064e-10
adaptive_line,7,0.003519,0.0,4.0,68.0,2.3283064e-10
adaptive_line,8,0.004021,0.0,4.0,58.0,2.3283064e-10
adaptive_line,9,0.004524,0.0,4.0,68.0,2.3283064e-10
adaptive_line,10,0.005027,0.0,4.0,60.0,2.3283064e-10
adaptive_line,11,0.005529,0.0,4.0,59.0,2.3283064e-10
adaptive_line,12,0.006032,0.0,4.0,60.0,2.3283064e-10
adaptive_line,13,0.006535,0.0,4.0,61.0,2.3283064e-10
adaptive_line,14,0.007037,0.0,4.0,71.0,2.3283064e-10
adaptive_line,15,0.00754,0.0,4.0,70.0,2.3283064e-10
adaptive_line,16,0.008043,0.0,4.0,77.0,2.3283064e-10
adaptive_line,17,0.008545,0.0,4.0,77.0,2.3283064e-10
adaptive_line,18,0.009048,0.0,4.0,76.0,2.3283064e-10
adaptive_line,19,0.00955,0.0,6.0,66.0,2.3283064e-10
adaptive_line,20,0.010053,0.0,4.0,60.0,2.3283064e-10
adaptive_line,21,0.010556,0.0,4.0,40.0,0.03125
adaptive_line,22,0.011058,0.0,4.0,69.0,3.7252903e-09
adaptive_line,23,0.011561,0.0,4.0,69.0,2.3283064e-10
adaptive_line,24,0.012064,0.0,6.0,70.0,2.3283064e-10
adaptive_line,25,0.012566,0.0,4.0,76.0,2.3283064e-10
adaptive_line,26,0.013069,0.0,4.0,76.0,2.3283064e-10
adaptive_line,27,0.013572,0.0,6.0,43.0,0.03125
adaptive_line,28,0.014074,0.0,6.0,70.0,2.3283064e-10
adaptive_line,29,0.014577,0.0,4.0,57.0,7.4505806e-09
adaptive_line,30,0.015079,0.0,4.0,70.0,2.3283064e-10
adaptive_line,31,0.015582,0.0,4.0,70.0,2.3283064e-10
adaptive_line,32,0.016085,0.0,4.0,70.0,2.3283064e-10
adaptive_line,33,0.016587,0.0,4.0,51.0,2.3283064e-10
adaptive_line,34,0.01709,0.0,4.0,70.0,2.3283064e-10
adaptive_line,35,0.017593,0.0,4.0,71.0,2.3283064e-10
adaptive_line,36,0.018095,0.0,4.0,71.0,2.3283064e-10
half_speed_adaptive_line,0,0.0,0.0,0.0,0.0,0.0
half_speed_adaptive_line,1,0.001005,0.0,6.0,18.0,0.0625
half_speed_adaptive_line,2,0.002011,0.0,6.0,67.0,2.3283064e-10
half_speed_adaptive_line,3,0.003016,0.0,6.0,4.0,0.0625
half_speed_adaptive_line,4,0.004022,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,5,0.005027,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,6,0.006032,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,7,0.007038,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,8,0.008043,0.0,4.0,4.0,0.0625
half_speed_adaptive_line,9,0.009048,0.0,4.0,60.0,2.3283064e-10
half_speed_adaptive_line,10,0.010054,0.0,4.0,70.0,2.3283064e-10
half_speed_adaptive_line,11,0.011059,0.0,4.0,70.0,2.3283064e-10
half_speed_adaptive_line,12,0.012064,0.0,4.0,4.0,0.0625
