case,part,time,line_search_backtrack_max,line_search_backtrack_mean,line_search_reject_reason_max,line_search_min_alpha_min_positive
baseline,0,0.0,0.0,0.0,0.0,0.0
baseline,1,0.000503,0.0,0.0,0.0,1.0
baseline,2,0.001005,12.0,0.9312039312039312,6.0,0.00024414063
baseline,3,0.001508,6.0,1.0171990171990173,4.0,0.015625
baseline,4,0.002011,12.0,1.457002457002457,6.0,0.00048828125
baseline,5,0.002513,7.0,1.42997542997543,6.0,0.0078125
baseline,6,0.003016,12.0,1.398034398034398,4.0,0.00048828125
baseline,7,0.003519,12.0,1.393120393120393,4.0,0.00024414063
baseline,8,0.004021,12.0,1.6855036855036856,4.0,0.00024414063
baseline,9,0.004524,5.0,2.022113022113022,4.0,0.03125
baseline,10,0.005027,5.0,2.2211302211302213,4.0,0.03125
baseline,11,0.005529,5.0,2.262899262899263,4.0,0.03125
baseline,12,0.006032,5.0,2.2186732186732185,4.0,0.03125
baseline,13,0.006535,5.0,2.2334152334152333,4.0,0.03125
baseline,14,0.007037,12.0,2.425061425061425,4.0,0.001953125
baseline,15,0.00754,4.0,2.2604422604422605,4.0,0.0625
baseline,16,0.008043,12.0,2.3562653562653564,4.0,0.00024414063
baseline,17,0.008545,4.0,2.2334152334152333,4.0,0.0625
baseline,18,0.009048,4.0,2.1105651105651106,4.0,0.0625
baseline,19,0.009551,12.0,2.267813267813268,4.0,0.00024414063
baseline,20,0.010053,4.0,2.171990171990172,4.0,0.0625
baseline,21,0.010556,12.0,2.4373464373464375,4.0,0.00024414063
baseline,22,0.011059,5.0,2.3562653562653564,4.0,0.03125
baseline,23,0.011561,12.0,2.343980343980344,4.0,0.00048828125
baseline,24,0.012064,12.0,2.402948402948403,4.0,0.00024414063
baseline,25,0.012566,5.0,2.343980343980344,4.0,0.03125
baseline,26,0.013069,5.0,2.3513513513513513,4.0,0.03125
baseline,27,0.013572,5.0,2.3341523341523343,4.0,0.03125
baseline,28,0.014074,5.0,2.324324324324324,4.0,0.03125
baseline,29,0.014577,12.0,2.4127764127764126,4.0,0.00024414063
baseline,30,0.01508,5.0,2.3464373464373462,4.0,0.03125
baseline,31,0.015582,12.0,2.348894348894349,4.0,0.00024414063
baseline,32,0.016085,12.0,2.42014742014742,4.0,0.00024414063
baseline,33,0.016588,12.0,2.324324324324324,4.0,0.0078125
baseline,34,0.01709,12.0,2.5282555282555284,4.0,0.00024414063
baseline,35,0.017593,5.0,2.312039312039312,4.0,0.03125
baseline,36,0.018096,12.0,2.479115479115479,4.0,0.00024414063
admissible_line,0,0.0,0.0,0.0,0.0,0.0
admissible_line,1,0.000503,0.0,0.0,0.0,1.0
admissible_line,2,0.001005,32.0,1.1277641277641277,6.0,2.3283064e-10
admissible_line,3,0.001508,6.0,1.0171990171990173,4.0,0.015625
admissible_line,4,0.002011,32.0,1.6535626535626535,6.0,2.3283064e-10
admissible_line,5,0.002513,7.0,1.42997542997543,6.0,0.0078125
admissible_line,6,0.003016,32.0,1.5945945945945945,4.0,2.3283064e-10
admissible_line,7,0.003519,32.0,1.5896805896805897,4.0,2.3283064e-10
admissible_line,8,0.004021,32.0,1.7346437346437347,4.0,2.3283064e-10
admissible_line,9,0.004524,5.0,2.022113022113022,4.0,0.03125
admissible_line,10,0.005027,5.0,2.2211302211302213,4.0,0.03125
admissible_line,11,0.005529,5.0,2.262899262899263,4.0,0.03125
admissible_line,12,0.006032,5.0,2.2186732186732185,4.0,0.03125
admissible_line,13,0.006535,5.0,2.2334152334152333,4.0,0.03125
admissible_line,14,0.007037,32.0,2.6216216216216215,4.0,2.3283064e-10
admissible_line,15,0.00754,4.0,2.2604422604422605,4.0,0.0625
admissible_line,16,0.008043,32.0,2.552825552825553,4.0,2.3283064e-10
admissible_line,17,0.008545,4.0,2.2334152334152333,4.0,0.0625
admissible_line,18,0.009048,4.0,2.1105651105651106,4.0,0.0625
admissible_line,19,0.009551,32.0,2.4643734643734643,4.0,2.3283064e-10
admissible_line,20,0.010053,4.0,2.171990171990172,4.0,0.0625
admissible_line,21,0.010556,32.0,2.8304668304668303,4.0,2.3283064e-10
admissible_line,22,0.011059,5.0,2.3562653562653564,4.0,0.03125
admissible_line,23,0.011561,32.0,2.3931203931203933,4.0,2.3283064e-10
admissible_line,24,0.012064,32.0,2.5995085995085994,4.0,2.3283064e-10
admissible_line,25,0.012566,5.0,2.343980343980344,4.0,0.03125
admissible_line,26,0.013069,5.0,2.3513513513513513,4.0,0.03125
admissible_line,27,0.013572,5.0,2.3341523341523343,4.0,0.03125
admissible_line,28,0.014074,5.0,2.324324324324324,4.0,0.03125
admissible_line,29,0.014577,32.0,2.6093366093366095,4.0,4.6566129e-10
admissible_line,30,0.01508,5.0,2.3464373464373462,4.0,0.03125
admissible_line,31,0.015582,32.0,2.398034398034398,4.0,3.7252903e-09
admissible_line,32,0.016085,32.0,2.6658476658476657,4.0,2.3283064e-10
admissible_line,33,0.016588,32.0,2.3734643734643734,4.0,2.3283064e-10
admissible_line,34,0.01709,32.0,2.9705159705159705,4.0,2.3283064e-10
admissible_line,35,0.017593,5.0,2.312039312039312,4.0,0.03125
admissible_line,36,0.018096,32.0,2.8722358722358723,4.0,2.3283064e-10
adaptive_line,0,0.0,0.0,0.0,0.0,0.0
adaptive_line,1,0.000503,0.0,0.0,0.0,1.0
adaptive_line,2,0.001005,58.0,3.977886977886978,6.0,2.3283064e-10
adaptive_line,3,0.001508,25.0,4.085995085995086,6.0,0.015625
adaptive_line,4,0.002011,22.0,2.9262899262899262,6.0,0.015625
adaptive_line,5,0.002513,75.0,3.2653562653562656,6.0,2.3283064e-10
adaptive_line,6,0.003016,92.0,3.5405405405405403,4.0,2.3283064e-10
adaptive_line,7,0.003519,68.0,2.5405405405405403,4.0,2.3283064e-10
adaptive_line,8,0.004021,58.0,2.8574938574938575,4.0,2.3283064e-10
adaptive_line,9,0.004524,68.0,3.2604422604422605,4.0,2.3283064e-10
adaptive_line,10,0.005027,60.0,3.203931203931204,4.0,2.3283064e-10
adaptive_line,11,0.005529,59.0,3.250614250614251,4.0,2.3283064e-10
adaptive_line,12,0.006032,60.0,3.864864864864865,4.0,2.3283064e-10
adaptive_line,13,0.006535,61.0,4.454545454545454,4.0,2.3283064e-10
adaptive_line,14,0.007037,71.0,3.638820638820639,4.0,2.3283064e-10
adaptive_line,15,0.00754,70.0,4.11056511056511,4.0,2.3283064e-10
adaptive_line,16,0.008043,77.0,4.152334152334152,4.0,2.3283064e-10
adaptive_line,17,0.008545,77.0,3.4742014742014744,4.0,2.3283064e-10
adaptive_line,18,0.009048,76.0,4.014742014742015,4.0,2.3283064e-10
adaptive_line,19,0.00955,66.0,4.255528255528255,6.0,2.3283064e-10
adaptive_line,20,0.010053,60.0,3.1277641277641277,4.0,2.3283064e-10
adaptive_line,21,0.010556,40.0,2.538083538083538,4.0,0.03125
adaptive_line,22,0.011058,69.0,2.7002457002457003,4.0,3.7252903e-09
adaptive_line,23,0.011561,69.0,2.71007371007371,4.0,2.3283064e-10
adaptive_line,24,0.012064,70.0,3.1449631449631448,6.0,2.3283064e-10
adaptive_line,25,0.012566,76.0,4.073710073710074,4.0,2.3283064e-10
adaptive_line,26,0.013069,76.0,4.356265356265356,4.0,2.3283064e-10
adaptive_line,27,0.013572,43.0,3.1867321867321867,6.0,0.03125
adaptive_line,28,0.014074,70.0,3.1449631449631448,6.0,2.3283064e-10
adaptive_line,29,0.014577,57.0,3.152334152334152,4.0,7.4505806e-09
adaptive_line,30,0.015079,70.0,3.226044226044226,4.0,2.3283064e-10
adaptive_line,31,0.015582,70.0,3.7076167076167077,4.0,2.3283064e-10
adaptive_line,32,0.016085,70.0,3.5823095823095823,4.0,2.3283064e-10
adaptive_line,33,0.016587,51.0,3.42997542997543,4.0,2.3283064e-10
adaptive_line,34,0.01709,70.0,3.552825552825553,4.0,2.3283064e-10
adaptive_line,35,0.017593,71.0,4.312039312039312,4.0,2.3283064e-10
adaptive_line,36,0.018095,71.0,4.312039312039312,4.0,2.3283064e-10
half_speed_adaptive_line,0,0.0,0.0,0.0,0.0,0.0
