case,part,time,axial_strain,pc_mean,pc_min,pc_max,void_ratio_mean,void_ratio_min,void_ratio_max,plastic_vol_strain_mean,eq_plastic_strain_mean,Kplastic_max
baseline,0,0.0,0.0,120.0,120.0,120.0,0.8000000100000014,0.80000001,0.80000001,0.0,0.0,0.0
baseline,1,0.000503,-2.0285726015645267e-08,120.0,120.0,120.0,0.8000175002702695,0.80001062,0.80002099,0.0,0.0,0.0
baseline,2,0.001005,3.5213260500543964e-06,120.00135990171987,119.99577,120.04405,0.8000307715479129,0.79989302,0.80005389,1.0080403203464376e-06,3.562119514471745e-06,5.1022213e-05
baseline,3,0.001508,1.2303372170091587e-05,120.00157511056517,119.98267,120.09379,0.8000235949877162,0.79983652,0.80005747,1.166933091449631e-06,1.3976331229729735e-05,0.00011550775
baseline,4,0.002011,2.375143980007377e-05,120.00008009828,119.96996,120.12095,0.8000124674938589,0.79981232,0.80005389,5.886129884520875e-08,2.6017208824103197e-05,0.00017018846
baseline,5,0.002513,3.682086509998461e-05,119.99695206388196,119.94254,120.13522,0.8000028485995087,0.79980093,0.80009329,-2.258807819459459e-06,4.000556691624079e-05,0.00022549932
baseline,6,0.003016,5.091539840004766e-05,119.99215009827994,119.89624,120.14246,0.7999993112039299,0.79979551,0.80016106,-5.817312604373463e-06,5.471875539243245e-05,0.00028229438
baseline,7,0.003519,6.57151932001443e-05,119.98605899262907,119.83672,120.14488,0.8000082118181823,0.79979575,0.80023831,-1.0332020050565109e-05,6.964280880373466e-05,0.00033631627
baseline,8,0.004021,8.101679450006616e-05,119.97813277641275,119.77281,120.14371,0.800026188132678,0.79979998,0.80032521,-1.6207859861375918e-05,8.62599886079115e-05,0.00040012356
baseline,9,0.004524,9.63944103000991e-05,119.96711938574953,119.70541,120.13651,0.8000461753071247,0.79981172,0.80041653,-2.437272715460935e-05,0.00010642434344142503,0.00047462969
baseline,10,0.005027,0.0001117352160001639,119.95456734643724,119.63519,120.12631,0.8000640202948412,0.79982466,0.80051148,-3.3680283164255515e-05,0.000127940033753661,0.00055048795
baseline,11,0.005529,0.00012678899500004337,119.94183304668279,119.56279,120.11368,0.8000793262653564,0.79984313,0.80060899,-4.3125988685749384e-05,0.00014980422823734647,0.00062738446
baseline,12,0.006032,0.00014153063300006985,119.92931896805904,119.48885,120.09983,0.8000937086732199,0.79986221,0.80070853,-5.241123137088451e-05,0.00017159584625970513,0.00070687983
baseline,13,0.006535,0.0001561754700001028,119.91702906633913,119.41391,120.08598,0.8001087206388215,0.7998805,0.80081421,-6.15343910228501e-05,0.0001933985645100737,0.0007881705
baseline,14,0.007037,0.0001707631900001172,119.90480697788678,119.33467,120.07678,0.8001248932678144,0.79987693,0.80092156,-7.060994669631452e-05,0.00021523907972899263,0.00087038544
baseline,15,0.00754,0.00018533923799995966,119.89247235872232,119.26263,120.08212,0.8001421750859952,0.79986966,0.80101216,-7.97712459513513e-05,0.00023730132882727274,0.00094067689
baseline,16,0.008043,0.00019985242300013528,119.88060933660933,119.18671,120.08763,0.800158953636364,0.79986274,0.80111408,-8.858302423538083e-05,0.0002586893167265358,0.0010195706
baseline,17,0.008545,0.00021430404300012973,119.86866616707593,119.11169,120.09371,0.8001751607862403,0.79985631,0.80121469,-9.745697935945947e-05,0.00028012933456437355,0.0010977566
baseline,18,0.009048,0.0002287717679999579,119.85701764127771,119.03785,120.10014,0.8001904166339058,0.79984766,0.80131376,-0.00010611373720958233,0.0003012324435226044,0.0011749511
baseline,19,0.009551,0.000243390953000161,119.84575800982789,118.96464,120.10707,0.8002045992874687,0.79983723,0.80141246,-0.00011448345549778869,0.0003220913643186729,0.0012513698
baseline,20,0.010053,0.0002583861720001357,119.83440582309593,118.89112,120.1144,0.8002182512285008,0.7998271,0.80151182,-0.00012292511573808358,0.0003445121325275183,0.0013274918
baseline,21,0.010556,0.00027345230400002696,119.82347621621619,118.81644,120.12133,0.8002328574201482,0.79981929,0.80161273,-0.00013105445994496305,0.0003657209798567566,0.001404275
baseline,22,0.011059,0.00028850714399994426,119.81181265356273,118.74095,120.12754,0.8002487760196572,0.79981238,0.80171472,-0.00013973198220933666,0.0003875828122179359,0.0014815286
baseline,23,0.011561,0.0003034814579999656,119.79979886977884,118.66508,120.13335,0.8002654160442257,0.7998051,0.80181712,-0.0001486727262953316,0.0004094891713358721,0.0015589668
baseline,24,0.012064,0.00031837837400003344,119.78738100737102,118.58907,120.13908,0.8002824507862412,0.79979748,0.80191964,-0.00015791549645552817,0.0004315949536233413,0.0016364641
