case,part,time,axial_strain,pairwise_reaction_avg,Fz_proxy,force_balance_error,p_proxy,q_proxy
baseline,0,0.0,0.0,0.144809,0.1413716694115407,2.53653e-09,50.0,0.0
baseline,1,0.000503,-2.0285726015645267e-08,0.3296945,0.10962124211972994,0.638085,33.809639450450454,8.212251234237192
baseline,2,0.001005,3.5213260500543964e-06,0.37390975,0.11156239383737666,0.783163,18.49317846338411,32.876965405052474
baseline,3,0.001508,1.2303372170091587e-05,0.27635586500000003,0.1279290951933325,0.964818,18.50065297947503,43.688338422116196
baseline,4,0.002011,2.375143980007377e-05,0.24897344999999999,0.16956962807656037,0.649509,32.04611305817365,48.82566928627898
baseline,5,0.002513,3.682086509998461e-05,0.24897344999999999,0.21343089280250108,0.649509,48.343031414004926,49.269936273119704
baseline,6,0.003016,5.091539840004766e-05,0.3101925,0.24426352483765734,0.172505,57.74506311440622,50.34996030558562
baseline,7,0.003519,6.57151932001443e-05,0.3101925,0.256013124905175,0.172505,56.88484598216543,55.23123575735711
baseline,8,0.004021,8.101679450006616e-05,0.301358,0.25292418944165224,0.119997,50.03489328950863,62.087174656505255
baseline,9,0.004524,9.63944103000991e-05,0.301358,0.24539022859485826,0.119997,45.07009296520884,65.16322335949721
baseline,10,0.005027,0.0001117352160001639,0.2772425,0.2439933902539333,0.15079,43.96820416170349,66.34334741735964
baseline,11,0.005529,0.00012678899500004337,0.2772425,0.247583924377175,0.15079,45.472043552350605,66.37723563946035
baseline,12,0.006032,0.00014153063300006985,0.2837375,0.25284411060924417,0.0959757,47.63815545470925,66.22154678305145
baseline,13,0.006535,0.0001561754700001028,0.2837375,0.2559545324685204,0.0959757,48.94073475719904,66.07305918345634
baseline,14,0.007037,0.0001707631900001172,0.291647,0.2560213975792896,0.0624526,48.958828844807556,66.13908929197318
baseline,15,0.00754,0.00018533923799995966,0.291647,0.2531365956996045,0.0624526,48.03515463809991,66.07203414094394
baseline,16,0.008043,0.00019985242300013528,0.2900795,0.2500432061045428,0.0759669,46.27860813852576,67.28092871578575
baseline,17,0.008545,0.00021430404300012973,0.2900795,0.2490707093763971,0.0759669,45.66173630769858,67.79795602910944
baseline,18,0.009048,0.0002287717679999579,0.304077,0.2515035691416781,0.134108,46.28829765597874,68.16334430541896
baseline,19,0.009551,0.000243390953000161,0.304077,0.2558736349725738,0.134108,47.57908770701885,68.57751233130858
baseline,20,0.010053,0.0002583861720001357,0.2929975,0.2547433288985084,0.0891795,49.11737296529894,65.57575097350906
baseline,21,0.010556,0.00027345230400002696,0.2929975,0.2549950172929134,0.0891795,48.95529158543,65.92095525180676
baseline,22,0.011059,0.00028850714399994426,0.28956099999999996,0.2533497941529849,0.064239,48.63231742625718,65.45364753621355
baseline,23,0.011561,0.0003034814579999656,0.28956099999999996,0.25157587292130096,0.064239,48.05376450101553,65.35938377913084
baseline,24,0.012064,0.00031837837400003344,0.286692,0.25011469864003455,0.0518885,47.62939286250615,65.25515020065158
baseline,25,0.012566,0.0003331340410001049,0.286692,0.24918980544184238,0.0518885,47.4609528133997,65.07419197517078
baseline,26,0.013069,0.00034789490100009535,0.2857695,0.24878193178759161,0.0484519,47.41688372881078,64.9874617991928
baseline,27,0.013572,0.00036251632099998377,0.2857695,0.24862017257280397,0.0484519,47.43231015525798,64.93205524449175
baseline,28,0.014074,0.0003770922170000246,0.2858295,0.24852643956437964,0.0451077,47.44278959084359,64.90370451005585
baseline,29,0.014577,0.0003916153570000802,0.2858295,0.24839714257082568,0.0451077,47.38112451807538,64.95361371724502
baseline,30,0.01508,0.00040607803799996844,0.285917,0.24801233693827282,0.0416584,47.32392135804254,64.85318882734752
baseline,31,0.015582,0.00042050267100010585,0.285917,0.2477911547855856,0.0416584,47.25504296162163,64.85897520173849
baseline,32,0.016085,0.0004349519110000144,0.285715,0.2478351006657338,0.0388281,47.195211862612645,64.9941061348069
baseline,33,0.016588,0.0004492885050001727,0.285715,0.24767791152114793,0.0388281,47.2676530104996,64.82134620574622
baseline,34,0.01709,0.0004636546450001444,0.286149,0.24800401614916187,0.0346152,47.259765660360365,65.0261401071888
baseline,35,0.017593,0.00047805187000010685,0.286149,0.24770343986144946,0.0346152,47.341966091556095,64.7519149015396
baseline,36,0.018096,0.0004923412500000557,0.286149,0.24781437833696118,0.0346152,47.26133310780504,64.9466204495404
admissible_line,0,0.0,0.0,0.144809,0.1413716694115407,2.53653e-09,50.0,0.0
admissible_line,1,0.000503,-2.0285726015645267e-08,0.3296945,0.10962124211972994,0.638085,33.809639450450454,8.212251234237192
admissible_line,2,0.001005,3.5213260500543964e-06,0.37390975,0.11156239383737666,0.783163,18.49317846338411,32.876965405052474
admissible_line,3,0.001508,1.2303372170091587e-05,0.27635586500000003,0.1279290951933325,0.964818,18.50065297947503,43.688338422116196
admissible_line,4,0.002011,2.375143980007377e-05,0.24897344999999999,0.16956962807656037,0.649509,32.04611305817365,48.82566928627898
admissible_line,5,0.002513,3.682086509998461e-05,0.24897344999999999,0.21343089280250108,0.649509,48.343031414004926,49.269936273119704
admissible_line,6,0.003016,5.091539840004766e-05,0.3101925,0.24426352483765734,0.172505,57.74506311440622,50.34996030558562
admissible_line,7,0.003519,6.57151932001443e-05,0.3101925,0.256013124905175,0.172505,56.88484598216543,55.23123575735711
admissible_line,8,0.004021,8.101679450006616e-05,0.301358,0.25292418944165224,0.119997,50.03489328950863,62.087174656505255
admissible_line,9,0.004524,9.63944103000991e-05,0.301358,0.24539022859485826,0.119997,45.07009296520884,65.16322335949721
admissible_line,10,0.005027,0.0001117352160001639,0.2772425,0.2439933902539333,0.15079,43.96820416170349,66.34334741735964
admissible_line,11,0.005529,0.00012678899500004337,0.2772425,0.247583924377175,0.15079,45.472043552350605,66.37723563946035
admissible_line,12,0.006032,0.00014153063300006985,0.2837375,0.25284411060924417,0.0959757,47.63815545470925,66.22154678305145
admissible_line,13,0.006535,0.0001561754700001028,0.2837375,0.2559545324685204,0.0959757,48.94073475719904,66.07305918345634
admissible_line,14,0.007037,0.0001707631900001172,0.291647,0.2560213975792896,0.0624526,48.958828844807556,66.13908929197318
admissible_line,15,0.00754,0.00018533923799995966,0.291647,0.2531365956996045,0.0624526,48.03515463809991,66.07203414094394
admissible_line,16,0.008043,0.00019985242300013528,0.2900795,0.2500432061045428,0.0759669,46.27860813852576,67.28092871578575
admissible_line,17,0.008545,0.00021430404300012973,0.2900795,0.2490707093763971,0.0759669,45.66173630769858,67.79795602910944
admissible_line,18,0.009048,0.0002287717679999579,0.304077,0.2515035691416781,0.134108,46.28829765597874,68.16334430541896
admissible_line,19,0.009551,0.000243390953000161,0.304077,0.2558736349725738,0.134108,47.57908770701885,68.57751233130858
admissible_line,20,0.010053,0.0002583861720001357,0.2929975,0.2547433288985084,0.0891795,49.11737296529894,65.57575097350906
admissible_line,21,0.010556,0.00027345230400002696,0.2929975,0.2549950172929134,0.0891795,48.95529158543,65.92095525180676
admissible_line,22,0.011059,0.00028850714399994426,0.28956099999999996,0.2533497941529849,0.064239,48.63231742625718,65.45364753621355
admissible_line,23,0.011561,0.0003034814579999656,0.28956099999999996,0.25157587292130096,0.064239,48.05376450101553,65.35938377913084
admissible_line,24,0.012064,0.00031837837400003344,0.286692,0.25011469864003455,0.0518885,47.62939286250615,65.25515020065158
admissible_line,25,0.012566,0.0003331340410001049,0.286692,0.24918980544184238,0.0518885,47.4609528133997,65.07419197517078
admissible_line,26,0.013069,0.00034789490100009535,0.2857695,0.24878193178759161,0.0484519,47.41688372881078,64.9874617991928
admissible_line,27,0.013572,0.00036251632099998377,0.2857695,0.24862017257280397,0.0484519,47.43231015525798,64.93205524449175
admissible_line,28,0.014074,0.0003770922170000246,0.2858295,0.24852643956437964,0.0451077,47.44278959084359,64.90370451005585
admissible_line,29,0.014577,0.0003916153570000802,0.2858295,0.24839714257082568,0.0451077,47.38112451807538,64.95361371724502
admissible_line,30,0.01508,0.00040607803799996844,0.285917,0.24801233693827282,0.0416584,47.32392135804254,64.85318882734752
admissible_line,31,0.015582,0.00042050267100010585,0.285917,0.2477911547855856,0.0416584,47.25504296162163,64.85897520173849
admissible_line,32,0.016085,0.0004349519110000144,0.285715,0.2478351006657338,0.0388281,47.195211862612645,64.9941061348069
admissible_line,33,0.016588,0.0004492885050001727,0.285715,0.24767791149335988,0.0388281,47.26765300460279,64.82134620525373
admissible_line,34,0.01709,0.0004636546450001444,0.286149,0.2480040163089432,0.0346152,47.259765696560194,65.02614012873728
admissible_line,35,0.017593,0.00047805187000010685,0.286149,0.24770344025048213,0.0346152,47.341966180253905,64.751914948824
admissible_line,36,0.018096,0.0004923412500000557,0.286149,0.2478143782397031,0.0346152,47.261333113505295,64.94662039985039
adaptive_line,0,0.0,0.0,0.144809,0.1413716694115407,2.53653e-09,50.0,0.0
adaptive_line,1,0.000503,-2.0285726015645267e-08,0.3296945,0.10962124211972994,0.638085,33.809639450450454,8.212251234237192
adaptive_line,2,0.001005,3.5209335100261363e-06,0.37390975,0.11365202038317809,0.783163,19.845859754285012,31.911226775356308
adaptive_line,3,0.001508,1.239827192994758e-05,0.29813855,0.14264980311634276,0.810215,26.274240041760017,39.46809104401881
adaptive_line,4,0.002011,2.3928679700052635e-05,0.24410590000000001,0.17871553651687197,0.684887,37.1098295486896,45.796661753048404
adaptive_line,5,0.002513,3.695499710007488e-05,0.24410590000000001,0.21090063833582906,0.684887,46.98247998057328,50.02475774594316
adaptive_line,6,0.003016,5.09983204001474e-05,0.2753405,0.2326267599741113,0.320885,51.724606985692105,54.09195485702118
adaptive_line,7,0.003519,6.554677900005856e-05,0.2753405,0.2424898402697904,0.320885,51.06281479966763,58.45196245596935
adaptive_line,8,0.004021,8.037369540012107e-05,0.3065565,0.24411859127603674,0.102273,47.71917432015565,62.38445881241079
adaptive_line,9,0.004524,9.529225360002669e-05,0.3065565,0.24474747042743772,0.102273,45.50676825202294,64.90846330061184
adaptive_line,10,0.005027,0.00011018524100014915,0.294727,0.24919938826661386,0.0846715,45.77075190006961,66.63809608045905
adaptive_line,11,0.005529,0.00012513439700004292,0.294727,0.25524488228455755,0.0846715,47.736083338304674,67.1295385725494
adaptive_line,12,0.006032,0.00013996571199992314,0.288769,0.2594571935397667,0.0820209,49.58875735646191,66.85153287640941
adaptive_line,13,0.006535,0.0001546501670000866,0.288769,0.26002417749969925,0.0820209,50.09692244636365,66.49119852248474
adaptive_line,14,0.007037,0.00016930325000011348,0.29100950000000003,0.2570634098973337,0.0676998,49.25158348263715,66.17251686814528
adaptive_line,15,0.00754,0.0001838220440000815,0.29100950000000003,0.25233153515146445,0.0676998,47.82441904610979,65.81150583435597
adaptive_line,16,0.008043,0.00019831431800010346,0.2872145,0.24841965847189465,0.0743842,46.73933171341522,65.46999415884731
adaptive_line,17,0.008545,0.00021281655900012852,0.2872145,0.2467586013298532,0.0743842,46.42960005025389,65.23266064810355
adaptive_line,18,0.009048,0.00022725380199997702,0.28429550000000003,0.247233690113064,0.0781205,46.808067787064694,65.10091072397898
adaptive_line,19,0.00955,0.00024171819000010086,0.28429550000000003,0.24847713875464605,0.0781205,47.38557951536447,65.02025202176695
adaptive_line,20,0.010053,0.00025620331099998617,0.285899,0.2492490464792116,0.0688313,47.725640301990204,64.9663928879641
adaptive_line,21,0.010556,0.0002706204520000477,0.285899,0.2490850160504013,0.0688313,47.695738930434025,64.91940920265009
adaptive_line,22,0.011058,0.00028503452400005513,0.286903,0.24819300206081765,0.0605743,47.42227786415229,64.84863999791209
adaptive_line,23,0.011561,0.0002993767860000329,0.286903,0.24720144620164491,0.0605743,47.1425520910237,64.76196958645698
adaptive_line,24,0.012064,0.00031372353800004915,0.28590499999999996,0.24663763551813758,0.0565211,47.029444931736286,64.683642824498
adaptive_line,25,0.012566,0.000328092510000072,0.28590499999999996,0.24657507832517173,0.0565211,47.08732476903359,64.61918916568018
adaptive_line,26,0.013069,0.00034240977200006295,0.2853285,0.24676419074884107,0.0523972,47.20971120616704,64.57312755495715
adaptive_line,27,0.013572,0.0003567586310000703,0.2853285,0.2468813158570166,0.0523972,47.27881668199837,64.54365392134436
adaptive_line,28,0.014074,0.00037112035099998164,0.285302,0.2467782255307374,0.0486471,47.24943772068794,64.5249193234561
adaptive_line,29,0.014577,0.00038544558700004394,0.285302,0.24650402599396515,0.0486471,47.153474722448784,64.50792367131768
adaptive_line,30,0.015079,0.0003998054700000975,0.2850475,0.24622508687992836,0.0460842,47.05886897487304,64.4929667677541
adaptive_line,31,0.015582,0.00041411175300001823,0.2850475,0.24608367827326036,0.0460842,47.016608881977895,64.48308884143299
adaptive_line,32,0.016085,0.0004284563440001832,0.28478000000000003,0.24610309009013087,0.0431699,47.0315284261097,64.47760630810959
adaptive_line,33,0.016587,0.00044275084500014494,0.28478000000000003,0.24619759176445757,0.0431699,47.07154496461912,64.47454893259498
adaptive_line,34,0.01709,0.00045708638300001603,0.2848555,0.24628794479509725,0.0399766,47.10406202234233,64.47578550529279
adaptive_line,35,0.017593,0.00047139373999999234,0.2848555,0.24630299937038796,0.0399766,47.10786830888613,64.47630947320155
adaptive_line,36,0.018095,0.0004857236600000481,0.2848555,0.24624827006917124,0.0399766,47.0880037313431,64.47403507528529
half_speed_adaptive_line,0,0.0,0.0,0.144809,0.1413716694115407,2.53653e-09,50.0,0.0
