case,part,time,substep_count_max,substep_count_mean,substep_failure_sum,substep_trigger_reason_max
baseline,0,0.0,0.0,0.0,0.0,0.0
baseline,1,0.000503,1.0,1.0,0.0,0.0
baseline,2,0.001005,1.0,1.0,96.0,0.0
baseline,3,0.001508,1.0,1.0,157.0,0.0
baseline,4,0.002011,1.0,1.0,90.0,0.0
baseline,5,0.002513,1.0,1.0,40.0,0.0
baseline,6,0.003016,1.0,1.0,4.0,0.0
baseline,7,0.003519,1.0,1.0,4.0,0.0
baseline,8,0.004021,1.0,1.0,1.0,0.0
baseline,9,0.004524,1.0,1.0,0.0,0.0
baseline,10,0.005027,1.0,1.0,0.0,0.0
baseline,11,0.005529,1.0,1.0,0.0,0.0
baseline,12,0.006032,1.0,1.0,0.0,0.0
baseline,13,0.006535,1.0,1.0,0.0,0.0
baseline,14,0.007037,1.0,1.0,4.0,0.0
baseline,15,0.00754,1.0,1.0,4.0,0.0
baseline,16,0.008043,1.0,1.0,8.0,0.0
baseline,17,0.008545,1.0,1.0,4.0,0.0
baseline,18,0.009048,1.0,1.0,4.0,0.0
baseline,19,0.009551,1.0,1.0,8.0,0.0
baseline,20,0.010053,1.0,1.0,0.0,0.0
baseline,21,0.010556,1.0,1.0,8.0,0.0
baseline,22,0.011059,1.0,1.0,0.0,0.0
baseline,23,0.011561,1.0,1.0,1.0,0.0
baseline,24,0.012064,1.0,1.0,4.0,0.0
baseline,25,0.012566,1.0,1.0,0.0,0.0
baseline,26,0.013069,1.0,1.0,0.0,0.0
baseline,27,0.013572,1.0,1.0,0.0,0.0
baseline,28,0.014074,1.0,1.0,0.0,0.0
baseline,29,0.014577,1.0,1.0,4.0,0.0
baseline,30,0.01508,1.0,1.0,0.0,0.0
baseline,31,0.015582,1.0,1.0,1.0,0.0
baseline,32,0.016085,1.0,1.0,5.0,0.0
baseline,33,0.016588,1.0,1.0,1.0,0.0
baseline,34,0.01709,1.0,1.0,9.0,0.0
baseline,35,0.017593,1.0,1.0,0.0,0.0
baseline,36,0.018096,1.0,1.0,8.0,0.0
admissible_line,0,0.0,0.0,0.0,0.0,0.0
admissible_line,1,0.000503,1.0,1.0,0.0,0.0
admissible_line,2,0.001005,1.0,1.0,96.0,0.0
admissible_line,3,0.001508,1.0,1.0,157.0,0.0
admissible_line,4,0.002011,1.0,1.0,90.0,0.0
admissible_line,5,0.002513,1.0,1.0,40.0,0.0
admissible_line,6,0.003016,1.0,1.0,4.0,0.0
admissible_line,7,0.003519,1.0,1.0,4.0,0.0
admissible_line,8,0.004021,1.0,1.0,1.0,0.0
admissible_line,9,0.004524,1.0,1.0,0.0,0.0
admissible_line,10,0.005027,1.0,1.0,0.0,0.0
admissible_line,11,0.005529,1.0,1.0,0.0,0.0
admissible_line,12,0.006032,1.0,1.0,0.0,0.0
admissible_line,13,0.006535,1.0,1.0,0.0,0.0
admissible_line,14,0.007037,1.0,1.0,4.0,0.0
admissible_line,15,0.00754,1.0,1.0,4.0,0.0
admissible_line,16,0.008043,1.0,1.0,8.0,0.0
admissible_line,17,0.008545,1.0,1.0,4.0,0.0
admissible_line,18,0.009048,1.0,1.0,4.0,0.0
admissible_line,19,0.009551,1.0,1.0,8.0,0.0
admissible_line,20,0.010053,1.0,1.0,0.0,0.0
admissible_line,21,0.010556,1.0,1.0,8.0,0.0
admissible_line,22,0.011059,1.0,1.0,0.0,0.0
admissible_line,23,0.011561,1.0,1.0,1.0,0.0
admissible_line,24,0.012064,1.0,1.0,4.0,0.0
admissible_line,25,0.012566,1.0,1.0,0.0,0.0
admissible_line,26,0.013069,1.0,1.0,0.0,0.0
admissible_line,27,0.013572,1.0,1.0,0.0,0.0
admissible_line,28,0.014074,1.0,1.0,0.0,0.0
admissible_line,29,0.014577,1.0,1.0,4.0,0.0
admissible_line,30,0.01508,1.0,1.0,0.0,0.0
admissible_line,31,0.015582,1.0,1.0,1.0,0.0
admissible_line,32,0.016085,1.0,1.0,5.0,0.0
admissible_line,33,0.016588,1.0,1.0,1.0,0.0
admissible_line,34,0.01709,1.0,1.0,9.0,0.0
admissible_line,35,0.017593,1.0,1.0,0.0,0.0
admissible_line,36,0.018096,1.0,1.0,8.0,0.0
adaptive_line,0,0.0,0.0,0.0,0.0,0.0
adaptive_line,1,0.000503,1.0,1.0,0.0,0.0
adaptive_line,2,0.001005,16.0,4.538083538083538,480.0,5.0
adaptive_line,3,0.001508,16.0,3.727272727272727,370.0,5.0
adaptive_line,4,0.002011,16.0,2.2162162162162162,165.0,5.0
adaptive_line,5,0.002513,16.0,1.5896805896805897,80.0,5.0
adaptive_line,6,0.003016,16.0,1.4422604422604424,60.0,5.0
adaptive_line,7,0.003519,16.0,1.2948402948402948,40.0,5.0
adaptive_line,8,0.004021,16.0,1.2948402948402948,40.0,5.0
adaptive_line,9,0.004524,16.0,1.3316953316953317,45.0,5.0
adaptive_line,10,0.005027,16.0,1.2948402948402948,40.0,5.0
adaptive_line,11,0.005529,16.0,1.2948402948402948,40.0,5.0
adaptive_line,12,0.006032,16.0,1.4422604422604424,60.0,5.0
adaptive_line,13,0.006535,16.0,1.6191646191646192,88.0,5.0
adaptive_line,14,0.007037,16.0,1.3316953316953317,45.0,5.0
adaptive_line,15,0.00754,16.0,1.515970515970516,70.0,5.0
adaptive_line,16,0.008043,16.0,1.479115479115479,65.0,5.0
adaptive_line,17,0.008545,16.0,1.3316953316953317,45.0,5.0
adaptive_line,18,0.009048,16.0,1.479115479115479,65.0,5.0
adaptive_line,19,0.00955,16.0,1.6265356265356266,81.0,5.0
adaptive_line,20,0.010053,16.0,1.3046683046683047,44.0,5.0
adaptive_line,21,0.010556,16.0,1.1474201474201475,20.0,5.0
adaptive_line,22,0.011058,16.0,1.1842751842751842,25.0,5.0
adaptive_line,23,0.011561,16.0,1.1842751842751842,25.0,5.0
adaptive_line,24,0.012064,16.0,1.3316953316953317,45.0,5.0
adaptive_line,25,0.012566,16.0,1.5896805896805897,80.0,5.0
adaptive_line,26,0.013069,16.0,1.5896805896805897,80.0,5.0
adaptive_line,27,0.013572,16.0,1.3636363636363635,52.0,5.0
adaptive_line,28,0.014074,16.0,1.3316953316953317,45.0,5.0
adaptive_line,29,0.014577,16.0,1.3685503685503686,49.0,5.0
adaptive_line,30,0.015079,16.0,1.3685503685503686,50.0,5.0
adaptive_line,31,0.015582,16.0,1.515970515970516,70.0,5.0
