case,part,time,raw_max_abs,converged_max_abs,return_iterations_max,return_iterations_mean
baseline,0,0.0,0.0,0.0,0.0,0.0
baseline,1,0.000503,4596.9512,0.0,0.0,0.0
baseline,2,0.001005,3888.0342,7.789192e-05,21.0,3.0884520884520885
baseline,3,0.001508,3759.2253,9.7044758e-05,22.0,2.8746928746928746
baseline,4,0.002011,4852.8984,7.6900105e-05,24.0,3.3366093366093366
baseline,5,0.002513,4846.7769,3.3204022e-05,18.0,3.7592137592137593
baseline,6,0.003016,4953.4565,5.8429076e-05,22.0,4.117936117936118
baseline,7,0.003519,4702.5859,6.7611305e-05,21.0,4.5675675675675675
baseline,8,0.004021,4351.4722,0.0001009277,23.0,5.909090909090909
baseline,9,0.004524,2744.1169,6.0453509e-05,21.0,7.503685503685504
baseline,10,0.005027,1428.3448,0.00010979646,24.0,8.076167076167076
baseline,11,0.005529,168.19905,8.1011458e-05,21.0,8.663390663390663
baseline,12,0.006032,0.00011265323,0.00011265323,24.0,8.938574938574938
baseline,13,0.006535,76.343796,7.7827935e-05,27.0,8.800982800982801
baseline,14,0.007037,3125.1248,9.1483889e-05,27.0,8.705159705159705
baseline,15,0.00754,1414.4698,6.6406872e-05,22.0,8.466830466830467
baseline,16,0.008043,3092.8142,7.9323174e-05,22.0,8.447174447174447
baseline,17,0.008545,2861.8821,5.6471697e-05,22.0,8.574938574938574
baseline,18,0.009048,3421.1082,0.00012604349,22.0,8.203931203931203
baseline,19,0.009551,3887.4253,0.00010927622,21.0,8.562653562653562
baseline,20,0.010053,4260.0732,0.00012078103,18.0,8.248157248157248
baseline,21,0.010556,4528.604,4.9253296e-05,20.0,8.48894348894349
baseline,22,0.011059,4696.6211,5.6549157e-05,26.0,9.068796068796068
baseline,23,0.011561,4782.9292,7.0479553e-05,26.0,9.312039312039312
baseline,24,0.012064,4812.8179,7.0871778e-05,27.0,9.203931203931203
baseline,25,0.012566,4808.7798,6.7852045e-05,27.0,9.422604422604422
baseline,26,0.013069,4786.189,6.0545983e-05,27.0,9.35135135135135
baseline,27,0.013572,4754.1865,5.8578309e-05,27.0,9.4004914004914
baseline,28,0.014074,4716.2681,6.1611951e-05,27.0,9.361179361179362
baseline,29,0.014577,4673.6592,6.6017048e-05,27.0,9.368550368550368
baseline,30,0.01508,4627.2939,6.8579917e-05,27.0,9.45945945945946
baseline,31,0.015582,4578.9209,6.7231005e-05,27.0,9.420147420147421
baseline,32,0.016085,4530.7178,6.3880281e-05,27.0,9.265356265356266
baseline,33,0.016588,4484.2451,6.2990082e-05,27.0,9.223587223587224
baseline,34,0.01709,4440.3535,6.373103e-05,26.0,9.334152334152334
baseline,35,0.017593,4405.4355,6.199022e-05,26.0,9.422604422604422
baseline,36,0.018096,4486.3047,6.4242093e-05,26.0,9.233415233415233
admissible_line,0,0.0,0.0,0.0,0.0,0.0
admissible_line,1,0.000503,4596.9512,0.0,0.0,0.0
admissible_line,2,0.001005,3888.0342,7.789192e-05,21.0,3.191646191646192
admissible_line,3,0.001508,3759.2253,9.7044758e-05,22.0,2.8746928746928746
admissible_line,4,0.002011,4852.8984,7.6900105e-05,24.0,3.4348894348894348
admissible_line,5,0.002513,4846.7769,3.3204022e-05,18.0,3.7592137592137593
admissible_line,6,0.003016,4953.4565,5.8429076e-05,22.0,4.208845208845209
admissible_line,7,0.003519,4702.5859,6.7611305e-05,21.0,4.6683046683046685
admissible_line,8,0.004021,4351.4722,0.0001009277,23.0,5.936117936117936
admissible_line,9,0.004524,2744.1169,6.0453509e-05,21.0,7.503685503685504
admissible_line,10,0.005027,1428.3448,0.00010979646,24.0,8.076167076167076
admissible_line,11,0.005529,168.19905,8.1011458e-05,21.0,8.663390663390663
admissible_line,12,0.006032,0.00011265323,0.00011265323,24.0,8.938574938574938
admissible_line,13,0.006535,76.343796,7.7827935e-05,27.0,8.800982800982801
admissible_line,14,0.007037,3125.1248,9.1483889e-05,27.0,8.796068796068797
admissible_line,15,0.00754,1414.4698,6.6406872e-05,22.0,8.466830466830467
admissible_line,16,0.008043,3092.8142,7.9323174e-05,23.0,8.55036855036855
admissible_line,17,0.008545,2861.8821,5.6471697e-05,22.0,8.574938574938574
admissible_line,18,0.009048,3421.1082,0.00012604349,22.0,8.199017199017199
admissible_line,19,0.009551,3887.4253,0.00010927622,21.0,8.665847665847666
admissible_line,20,0.010053,4260.0732,0.00012078103,18.0,8.248157248157248
admissible_line,21,0.010556,4528.604,4.9253296e-05,20.0,8.678132678132679
admissible_line,22,0.011059,4696.6211,5.6549157e-05,26.0,9.068796068796068
admissible_line,23,0.011561,4782.9292,7.0479553e-05,26.0,9.343980343980345
admissible_line,24,0.012064,4812.8179,7.0871778e-05,27.0,9.297297297297296
admissible_line,25,0.012566,4808.7798,6.7852045e-05,27.0,9.422604422604422
admissible_line,26,0.013069,4786.189,6.0545983e-05,27.0,9.35135135135135
admissible_line,27,0.013572,4754.1865,5.8578309e-05,27.0,9.4004914004914
admissible_line,28,0.014074,4716.2681,6.1611951e-05,27.0,9.361179361179362
admissible_line,29,0.014577,4673.6592,6.6017048e-05,27.0,9.471744471744472
admissible_line,30,0.01508,4627.2939,6.8579917e-05,27.0,9.45945945945946
admissible_line,31,0.015582,4578.9209,6.7231005e-05,27.0,9.437346437346438
admissible_line,32,0.016085,4530.7178,6.3880281e-05,27.0,9.378378378378379
admissible_line,33,0.016588,4484.2451,6.2990082e-05,27.0,9.253071253071253
admissible_line,34,0.01709,4440.3535,6.3731102e-05,26.0,9.555282555282556
admissible_line,35,0.017593,4405.4355,6.1990322e-05,26.0,9.422604422604422
admissible_line,36,0.018096,4486.3052,6.42421e-05,26.0,9.427518427518427
adaptive_line,0,0.0,0.0,0.0,0.0,0.0
adaptive_line,1,0.000503,4596.9512,0.0,0.0,0.0
adaptive_line,2,0.001005,3048.8828,7.789192e-05,84.0,14.324324324324325
