source_stage,boundary_class,count,status_-3,status_-1,status_-5,mean_r_over_R,mean_z_over_H,mean_distance_to_bottom,mean_distance_to_lateral,mean_p_eff,mean_q,mean_q_over_p,mean_pc,mean_void_ratio,mean_plastic_vol_strain,mean_eq_plastic_strain,max_return_iterations,max_abs_yield_residual,max_abs_DivVel,max_velocity,max_abs_PorePressRate,mean_pairwise_reaction_avg,neighbor_count_available
M3d2,bottom_cap_zone,198,40,158,0,0.346519610509461,0.06714838878408229,0.006714838878408235,0.019604411684716196,-5.696937315476425,46.18793073722647,-2.0028496584505597,119.94888106060606,0.8001030087878781,-3.791109300358584e-05,0.00011502395948484849,11.0,2411.0125,0.042833209,0.001409843341181173,28533644.0,nan,0
M3d2,edge_corner,768,104,664,0,0.880006275411633,0.14632648638248036,0.01463264863824807,0.0035998117376510818,-13.205496967300355,57.66689217042122,-17.335111920173812,119.8982366145832,0.8001746367187498,-7.558064086734394e-05,0.000139211602250534,10.0,3918.8235,0.10061236,0.005916646641902406,66923092.0,nan,0
M3d2,interior_ring,311,60,251,0,0.3940533967468901,0.36332019945337596,0.03633201994533763,0.018178398097593265,3.903108541264739,39.782330976670174,-10.969417551208672,119.9738769774919,0.8000741141157551,-1.9363305011897105e-05,6.212257389839228e-05,11.0,3125.125,0.038046431,0.0018901670409176168,25349680.0,nan,0
M3d2,lateral_surface,296,20,276,0,0.711346685687094,0.3513502085135135,0.03513502085135124,0.008659599429387163,-0.1718818730855864,33.28049429087746,-23.136911977934318,119.99776608108118,0.8000495539189195,-1.654146998716216e-06,3.6412680255405393e-06,11.0,2281.4941,0.034902349,0.0014565516001430244,23234240.0,nan,0
M3d2,measurement_core,6,0,6,0,2.782477897096609e-12,0.34999980499999994,0.0349999805,0.029999999999916524,-5.0577895,30.87712425000035,-6.161017322800599,119.99839999999999,0.8000527600000001,-1.18555745e-06,1.2313134499999998e-06,0.0,5.5000648,0.0024756028,0.000120296410000011,1678636.5,nan,0
M3d2,top_cap_zone,24,24,0,0,0.2222513834172566,0.9706978016666666,0.09706978016666667,0.023332458497482295,48.833695166666665,93.16615579050178,1.9191653944583968,119.98011999999999,0.8000206450000001,-1.4809876666666674e-05,0.0005017930441666666,9.0,4604.748,0.062669329,0.0038848529,41704608.0,nan,0
M3f,bottom_cap_zone,647,455,192,0,0.34256076478967923,0.05698194785945277,0.005698194785945284,0.01972317705630958,30.150443656655863,56.627942714987896,2.584767600632568,119.65373148377131,0.8004818835084998,-0.0002572126844407108,0.0007208214711226588,208.0,2411.0125,0.042838383,0.0014147521185562434,28537096.0,0.2637668312519318,0
M3f,edge_corner,2236,879,1357,0,0.8858911038074694,0.5178548508775261,0.0517854850877525,0.0034232668857759776,18.8698013957742,50.96990605404748,0.26894309022704266,116.35958029785452,0.8051914709302325,-0.002851185030674532,0.0047316867133828525,424.0,3918.8188,0.12056585,0.006465917422280465,80043352.0,0.25966924272808695,0
M3f,interior_ring,966,661,305,0,0.38220475832353906,0.5962824477329185,0.059628244773292025,0.018533857250293863,30.585241330055045,55.15890140238373,1.5785797931038725,119.6368519875772,0.8005056429399572,-0.0002698017570572117,0.0009532349472021259,270.0,3125.1248,0.03973319,0.002072304823485841,26536984.0,0.2594208651604569,0
M3f,lateral_surface,495,247,248,0,0.722697811193986,0.5706709950303027,0.057067099503030363,0.008319065664180449,25.97810111030302,47.466749811687244,-0.9806529406649123,119.90215010101014,0.8001554817373732,-7.269807248333331e-05,0.0004119313767300808,262.0,2879.0413,0.039034922,0.0028276363495314157,26057920.0,0.2531947852929284,0
M3f,measurement_core,42,40,2,0,0.2857118013349159,0.6832649452380956,0.06832649452380951,0.021428645959952513,40.40587508730158,67.02125020574502,1.2433389758400684,119.80580452380953,0.8002692483333333,-0.00014403818240238088,0.000437575858497619,193.0,1573.2601,0.019344615,0.0017686615393594258,12972076.0,0.2876902911904764,0
M3f,top_cap_zone,656,648,8,0,0.3364122657036956,0.9599236861280489,0.09599236861280475,0.019907632028889163,47.56591694954282,69.27664539799503,1.5303890816535033,119.48928254573191,0.8007063665853685,-0.00038987152987161693,0.004287468248124988,318.0,4604.748,0.080761693,0.004256484628506741,53703368.0,0.28350930419207315,0
M3h,bottom_cap_zone,260,111,149,0,0.3245585535195436,0.06495937770932231,0.0064959377709322315,0.020263243394413717,12.96011724274103,49.43082024302987,1.464251654824841,119.92420596153855,0.8001277293846151,-5.619424079342307e-05,0.0001740737729309616,117.0,2411.0125,0.042833209,0.001409843341181173,28533644.0,0.2762008066923079,0
M3h,edge_corner,946,218,728,0,0.8829921263949417,0.27960831942604375,0.027960831942604354,0.0035102362081516182,1.9020043351832276,54.627173092825196,-10.291677086926896,119.77263553911258,0.8003432197780145,-0.0001689786461284141,0.00028690359038176407,214.0,3918.8188,0.11523959,0.0063158947346164855,76510096.0,0.27099884606765257,0
M3h,interior_ring,357,151,206,0,0.3890069426998934,0.4111626041176471,0.041116260411764714,0.018329791719003233,16.99706590644259,47.18721008022929,-3.003704693122424,119.95532450980392,0.8000890039495798,-3.311575959347339e-05,0.00010861220968350135,145.0,3125.1248,0.038046431,0.0019138275787438249,25349680.0,0.30322777028011266,0
M3h,lateral_surface,236,24,212,0,0.7066977359195133,0.36440432033898296,0.036440432033898296,0.00879906792241458,3.0585719516949137,32.96374742154972,-14.412455770530848,119.99720355932217,0.800048723898306,-2.070030806694915e-06,7.266200162033901e-06,115.0,2281.4941,0.034902349,0.0015944621190764968,23234240.0,0.29990980101695,0
M3h,measurement_core,5,1,4,0,3.2476971719034893e-12,0.419993884,0.0419993884,0.029999999999902566,6.689913466666665,39.01987580000033,-4.66208541314048,119.99550400000001,0.80004568,-3.3319633599999997e-06,2.156187876e-05,101.0,1397.3805,0.012017515,0.0009901019500000018,8085626.5,0.282395992,0
M3h,top_cap_zone,50,50,0,0,0.2777923754638248,0.9777693329999996,0.09777693329999992,0.021666228736085254,48.6448136133333,76.69965156042547,1.5828731882755251,119.90239340000004,0.8001305565999997,-7.243764535999999e-05,0.0007725176324000002,168.0,4604.748,0.071406551,0.004117663029849749,47429716.0,0.28603368000000007,0
