source_stage,case,part,time,idp,return_status,original_region,x,y,z,r,r_over_R,z_over_H,distance_to_bottom_platen,distance_to_top_platen,distance_to_lateral_boundary,distance_to_edge_corner,near_bottom_platen,near_top_platen,near_lateral_surface,in_measurement_core,boundary_class,nearest_platen_role,neighbor_count_available,neighbor_count,local_distribution_metric_available,local_distribution_metric,strain_increment_proxy_available,strain_increment_proxy,axial_velocity_gradient_proxy_available,axial_velocity_gradient_proxy,radial_velocity_gradient_proxy_available,radial_velocity_gradient_proxy,trial_state_available,trial_p,trial_q,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,substep_count,line_search_backtracks,line_search_reject_reason,Kplastic,PorePress,PorePressRate,DivVel,velocity,pairwise_reaction_avg
M3d2,baseline,2,0.001005,181,-1,edge,-0.020000558,-0.020000558,-1.6089277e-08,0.028285060378629708,0.9428353459543236,-1.6089277e-07,-1.6089277e-08,0.100000016089277,0.0017149396213702907,0.001714939621445764,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-1.8814714999999993,35.05127893990538,-18.629715592240114,119.99983,0.80004817,-1.2447966e-07,1.3347724e-07,0.0,0.0,-1.8814813,0.0,0.0,0.0,1.3347724e-07,-14936.04238732,-21742362.0,0.032592114,0.00111291760230914,nan
M3d2,baseline,2,0.001005,182,-1,edge,-0.020000555,-0.020000555,0.009999997,0.028285056135989018,0.9428352045329673,0.09999997,0.009999997,0.09000000300000001,0.0017149438640109808,0.010145983069999571,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-0.9666771333333332,27.838821876913336,-28.798469434068895,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96668702,0.0,0.0,0.0,0.0,-19350.99248434,-26701480.0,0.04006318,0.001082638991386839,nan
M3d2,baseline,2,0.001005,193,-1,edge,-0.020000389,-0.01000028,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.010000009,0.089999991,0.007638847072887298,0.012583805648651757,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-3.500050666666666,25.755480099780804,-7.358602075412091,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000606,0.0,0.0,0.0,0.0,-20984.2579207,-27050674.0,0.040608741,0.00066251348596706,nan
M3d2,baseline,2,0.001005,194,-1,lateral_boundary,-0.020000385,-0.010000277,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.020000001,0.079999999,0.0076388519922398895,0.021409159249240695,0,0,1,0,lateral_surface,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-0.7869788999999999,24.90554609316389,-31.647031569923783,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698885,0.0,0.0,0.0,0.0,-20306.37013515,-22372552.0,0.033584666,0.0006367211427661104,nan
M3d2,baseline,2,0.001005,248,-1,edge,-0.01000028,-0.020000389,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.010000009,0.089999991,0.007638847072887298,0.012583805648651757,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-3.5000493333333336,25.755481122688458,-7.358605170904769,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000594,0.0,0.0,0.0,0.0,-20984.25470337,-27050674.0,0.040608741,0.000662513419445629,nan
M3d2,baseline,2,0.001005,249,-1,lateral_boundary,-0.010000277,-0.020000385,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.020000001,0.079999999,0.0076388519922398895,0.021409159249240695,0,0,1,0,lateral_surface,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-0.7869768999999996,24.905539633217565,-31.647103788202138,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698683,0.0,0.0,0.0,0.0,-20306.36792325,-22372550.0,0.033584662,0.0006367211280656718,nan
M3d2,baseline,2,0.001005,259,-1,bottom_cap_zone,-0.010000105,-0.010000105,0.010000018,0.014142284116155002,0.4714094705385001,0.10000018,0.010000018,0.089999982,0.015857715883845,0.018747466843631804,1,0,0,0,bottom_cap_zone,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-4.197806666666668,26.494444792023035,-6.311497145022487,119.99934,0.80005151,-4.8932566e-07,5.079059e-07,0.0,0.0,-4.1978168,0.0,0.0,0.0,5.079059e-07,-21835.96222539,-28421324.0,0.042672832,0.00022574628744791947,nan
M3d2,baseline,2,0.001005,260,-1,interior,-0.010000101,-0.010000101,0.020000005,0.014142278459300753,0.4714092819766918,0.20000005,0.020000005,0.079999995,0.015857721540699247,0.025523862020908627,0,0,0,0,interior_ring,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-2.953822666666667,26.327692947827313,-8.913091921505774,119.99969,0.80005103,-2.2951392e-07,2.3841297e-07,0.0,0.0,-2.9538324,0.0,0.0,0.0,2.3841297e-07,-21326.24458434,-24254424.0,0.036411412,0.00019016237926695387,nan
M3d2,baseline,2,0.001005,261,-1,interior,-0.010000102,-0.010000102,0.029999999,0.014142279873514314,0.4714093291171438,0.29999999,0.029999999,0.070000001,0.015857720126485685,0.03393327611077289,0,0,0,0,interior_ring,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-1.3833685666666664,24.91002730262498,-18.006790021727628,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833785,0.0,0.0,0.0,0.0,-20548.64109794,-21592392.0,0.032409854,0.00019200650187854468,nan
M3d2,baseline,2,0.001005,313,-1,edge,2.270774e-14,-0.030000759,-1.704692e-08,0.030000759,1.0000253,-1.704692e-07,-1.704692e-08,0.10000001704692,-7.589999999994823e-07,7.591914103048721e-07,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-2.5115099666666665,31.983000507099682,-12.734570410464368,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115201,0.0,0.0,0.0,0.0,-15650.70505503,-22767612.0,0.034136422,0.0011099043798618062,nan
