source_stage,case,return_status,boundary_class,count,status_-3,status_-1,status_-5,mean_r_over_R,mean_z_over_H,mean_distance_to_bottom,mean_distance_to_lateral,mean_p_eff,mean_q,mean_q_over_p,mean_pc,mean_void_ratio,mean_plastic_vol_strain,mean_eq_plastic_strain,max_return_iterations,max_abs_yield_residual,max_abs_DivVel,max_velocity,max_abs_PorePressRate,mean_pairwise_reaction_avg,neighbor_count_available
M3d2,baseline,-3,bottom_cap_zone,20,20,0,0,0.2667222950495278,0.0948808651906,0.009488086519059998,0.021998331148514166,40.186863743333326,82.37693415557598,2.064021849983494,119.74931099999999,0.8003088939999999,-0.00018591865199999997,0.000567563499,10.0,2411.0125,0.039663587,0.001409843341181173,26305954.0,nan,0
M3d2,baseline,-3,edge_corner,12,12,0,0,0.8116300385428566,0.9331688266666669,0.09331688266666666,0.0056510988437143035,41.366215072222225,88.3099941957651,2.698841990715852,119.61797000000003,0.8005152533333336,-0.0002836099419,0.0006723612599166666,9.0,3918.8188,0.072419919,0.0036155064051502745,48084448.0,nan,0
M3d2,baseline,-3,interior_ring,28,28,0,0,0.392522547626425,0.4427265785714285,0.04427265785714285,0.018224323571207252,42.70226501547619,79.9826846746804,1.9199768399158301,119.85632071428574,0.8001873617857147,-0.00010650129689285714,0.0003410043201428572,11.0,3125.1248,0.030487338,0.0018901670409176168,20329626.0,nan,0
M3d2,baseline,-3,lateral_surface,4,4,0,0,0.6666944,0.79998836,0.079998836,0.009999168,55.96641566666666,86.25688163304063,1.541225762013822,119.97747,0.80002463,-1.66901425e-05,4.5310262e-05,8.0,2281.4941,0.0035571621,0.001456551600143024,2327959.0,nan,0
M3d2,baseline,-3,top_cap_zone,6,6,0,0,0.2222491113321909,0.9831815933333332,0.09831815933333334,0.023332526660034273,51.11398538888889,97.36171440347032,1.9104402524680555,120.02599166666666,0.799958385,1.9149547666666672e-05,0.0005567183933333333,9.0,4604.748,0.062669322,0.0038848526,41704604.0,nan,0
M3d2,baseline,-1,bottom_cap_zone,44,0,44,0,0.36579539085484214,0.0590918328469886,0.005909183284698864,0.019026138274354735,-17.761155496446964,37.01135641783523,-2.9161812966836895,119.9993981818182,0.800050880909091,-4.4592808704545456e-07,4.624151704545454e-07,0.0,28.169073,0.042827237,0.0003393898944647242,28529658.0,nan,0
M3d2,baseline,-1,edge_corner,200,0,200,0,0.9039887652199694,0.14597327037640093,0.014597327037640084,0.002880337043400912,-22.069959457666673,63.22827531489867,-29.290801280178854,119.92594299999985,0.8001464321999993,-5.500222097635e-05,9.449891449485002e-05,0.0,122.34028,0.10061236,0.005916646641902406,66923092.0,nan,0
M3d2,baseline,-1,interior_ring,69,0,69,0,0.3925385433961135,0.3391302807246377,0.03391302807246375,0.018223843698116596,-6.494098014009663,30.859239315193246,-12.403388099599017,119.99993855072464,0.800049892753624,-4.551191623188405e-08,4.7357225797101454e-08,0.0,18.571222,0.038017966,0.00035339131551712083,25330684.0,nan,0
M3d2,baseline,-1,lateral_surface,80,0,80,0,0.7138979217271804,0.3199997229999998,0.0319999723,0.008583062348184562,-4.180293895,30.15208396583812,-23.462115441704313,119.999562,0.8000506349999998,-3.2351623925e-07,3.3579706525e-07,0.0,14.84254,0.034879927,0.0006367211450333471,23219276.0,nan,0
M3d2,baseline,-1,measurement_core,2,0,2,0,2.7816617689480893e-12,0.34999980499999994,0.0349999805,0.02999999999991655,-5.0577895,30.877124250000342,-6.161017322800598,119.9984,0.80005276,-1.18555745e-06,1.2313134499999998e-06,0.0,5.5000648,0.0024756028,0.000120296410000011,1678636.5,nan,0
M3d2,early_stop,-3,edge_corner,4,4,0,0,0.9428423698816834,0.9999959199999999,0.099999592,0.0017147289035494978,73.96847266666667,93.76232717966208,1.267598529473431,120.00291,0.79997492,2.1584868e-06,1.170285475e-05,8.0,3888.0342,0.036950026,0.002581265388660145,24633992.0,nan,0
M3d2,early_stop,-3,interior_ring,4,4,0,0,0.47141611734224326,0.6999829399999999,0.069998294,0.0158575164797327,60.30649783333333,79.78379269909254,1.3229717454259748,119.98426,0.80000842,-1.1664100750000001e-05,5.3046138499999995e-05,6.0,1182.9559,0.0074076806,0.0008866373827960353,4984694.0,nan,0
M3d2,early_stop,-3,lateral_surface,4,4,0,0,0.6666944,0.79998836,0.079998836,0.009999168,55.96641566666666,86.25688163304063,1.541225762013822,119.97747,0.80002463,-1.66901425e-05,4.5310262e-05,8.0,2281.4941,0.0035571621,0.001456551600143024,2327959.0,nan,0
