source_stage,case,time,failed_count,status_-3,status_-1,status_-5,bottom_zone_count,edge_count,mean_pairwise_reaction_avg,max_abs_DivVel,max_velocity,max_abs_PorePressRate
M3d2,baseline,0.001005,96,4,92,0,36,56,nan,0.043205004,0.002581265388660145,28763496.0
M3d2,baseline,0.001508,157,0,157,0,74,104,nan,0.023341002,0.0006437363913006134,15559960.0
M3d2,baseline,0.002011,90,4,86,0,74,68,nan,0.033162151,0.001456551600143024,22119384.0
M3d2,baseline,0.002513,40,0,40,0,40,40,nan,0.027763935,0.0007069177826162689,18520876.0
M3d2,baseline,0.003016,4,4,0,0,0,0,nan,0.0074076806,0.0008866373827960353,4984694.0
M3d2,baseline,0.003519,4,4,0,0,0,0,nan,0.062669322,0.003853955728456548,41704604.0
M3d2,baseline,0.004021,1,1,0,0,0,0,nan,0.050975591,0.0038848526,33966004.0
M3d2,baseline,0.007037,4,4,0,0,0,0,nan,0.029195914,0.0017698475460210764,19470682.0
M3d2,baseline,0.00754,4,0,4,0,0,4,nan,0.10061236,0.005916646641902406,66923092.0
M3d2,baseline,0.008043,8,4,4,0,0,4,nan,0.077726804,0.005089013215993372,51627524.0
M3d2,baseline,0.008545,4,0,4,0,0,4,nan,0.024331935,0.003772649965295107,16067767.0
M3d2,baseline,0.009048,4,0,4,0,0,4,nan,0.021510672,0.003306997151692581,14372047.0
M3d2,baseline,0.009551,8,4,4,0,4,4,nan,0.0342816,0.0032829715755409877,22974388.0
M3d2,baseline,0.010556,8,8,0,0,0,8,nan,0.072419919,0.0036155064051502745,48084448.0
M3d2,baseline,0.011561,1,1,0,0,1,0,nan,0.02448936,0.0011971287000066056,16255925.0
M3d2,baseline,0.012064,4,4,0,0,0,0,nan,0.0115787,0.0016596111847305187,7749223.5
M3d2,baseline,0.014577,4,4,0,0,0,0,nan,0.012297568,0.0017595792051797107,8211462.5
M3d2,baseline,0.015582,1,1,0,0,1,0,nan,0.027573807,0.0013098643000070062,18294310.0
M3d2,baseline,0.016085,5,5,0,0,4,0,nan,0.044232596,0.003023947100003326,29293238.0
M3d2,baseline,0.016588,1,1,0,0,1,0,nan,0.028108764,0.0013370800000026255,18647944.0
M3d2,baseline,0.01709,9,9,0,0,5,0,nan,0.038857583,0.0018511642831769463,25772402.0
M3d2,baseline,0.018096,8,8,0,0,4,0,nan,0.039663587,0.0018901670409176168,26305954.0
M3d2,early_stop,0.001005,96,4,92,0,36,56,nan,0.043205004,0.002581265388660145,28763496.0
M3d2,early_stop,0.001508,157,0,157,0,74,104,nan,0.023341002,0.0006437363913006134,15559960.0
M3d2,early_stop,0.002011,90,4,86,0,74,68,nan,0.033162151,0.001456551600143024,22119384.0
M3d2,early_stop,0.002513,40,0,40,0,40,40,nan,0.027763935,0.0007069177826162689,18520876.0
M3d2,early_stop,0.003016,4,4,0,0,0,0,nan,0.0074076806,0.0008866373827960353,4984694.0
M3d2,early_stop,0.003519,4,4,0,0,0,0,nan,0.062669322,0.003853955728456548,41704604.0
M3d2,early_stop,0.004021,1,1,0,0,0,0,nan,0.050975591,0.0038848526,33966004.0
M3d2,slower_half_velocity,0.001005,100,0,100,0,36,56,nan,0.04320972,0.001112916199756066,28766642.0
M3d2,slower_half_velocity,0.002011,94,4,90,0,74,68,nan,0.039893366,0.0022523002516023935,26569474.0
M3d2,slower_half_velocity,0.003016,8,8,0,0,0,8,nan,0.017758112,0.0010040717557164307,11854140.0
M3d2,slower_half_velocity,0.008043,4,4,0,0,0,0,nan,0.037339263,0.0011999153486004117,24754284.0
M3d2,slower_half_velocity,0.009048,16,16,0,0,8,16,nan,0.044329159,0.0025152518494765694,29422702.0
M3d2,slower_half_velocity,0.010054,8,8,0,0,8,8,nan,0.025875308,0.0010206327262180677,17177270.0
M3d2,slower_half_velocity,0.011059,10,10,0,0,8,8,nan,0.033673938,0.0019238952000000002,22331156.0
M3d2,slower_half_velocity,0.015081,1,1,0,0,0,0,nan,0.032182027,0.0019319057000000005,21317776.0
M3d2,slower_half_velocity,0.027045,8,8,0,0,8,8,nan,0.033487782,0.0013830649499117647,22220210.0
M3d2,slower_half_velocity,0.02805,8,8,0,0,8,8,nan,0.03367158,0.0013898098941766898,22341776.0
M3d2,slower_half_velocity,0.029055,8,8,0,0,8,8,nan,0.0338438,0.0013959483070133073,22455670.0
M3d2,slower_half_velocity,0.030061,8,8,0,0,8,8,nan,0.03400518,0.0014014674708848682,22562396.0
M3d2,slower_half_velocity,0.031066,8,8,0,0,8,8,nan,0.034139872,0.0014063338358729397,22651368.0
M3d2,tight_return,0.001005,96,4,92,0,36,56,nan,0.043205004,0.002581265388660145,28763496.0
M3d2,tight_return,0.001508,157,0,157,0,74,104,nan,0.023341002,0.0006437363913006134,15559960.0
M3d2,tight_return,0.002011,90,4,86,0,74,68,nan,0.033162151,0.0014565516001430244,22119384.0
M3d2,tight_return,0.002513,40,0,40,0,40,40,nan,0.027763935,0.0007069177826162689,18520876.0
M3d2,tight_return,0.003016,4,4,0,0,0,0,nan,0.0074076811,0.0008866374335551799,4984694.0
M3d2,tight_return,0.003519,4,4,0,0,0,0,nan,0.062669329,0.0038539557212459823,41704608.0
M3d2,tight_return,0.004021,1,1,0,0,0,0,nan,0.050975587,0.0038848529,33966000.0
M3d2,tight_return,0.007037,4,4,0,0,0,0,nan,0.029195914,0.001769847542336852,19470682.0
M3d2,tight_return,0.00754,4,0,4,0,0,4,nan,0.10061236,0.005916646641902406,66923088.0
M3d2,tight_return,0.008043,8,4,4,0,0,4,nan,0.077726804,0.005089012589846176,51627524.0
M3d2,tight_return,0.008545,4,0,4,0,0,4,nan,0.024331704,0.003772644593732241,16067613.0
M3d2,tight_return,0.009048,4,0,4,0,0,4,nan,0.021510629,0.003306975997551646,14372018.0
M3d2,tight_return,0.009551,8,4,4,0,4,4,nan,0.034272652,0.003282936652697511,22968422.0
M3d2,tight_return,0.010556,8,8,0,0,0,8,nan,0.072420113,0.003615506838305184,48084580.0
M3d2,tight_return,0.011561,1,1,0,0,1,0,nan,0.024489164,0.0011971267000031407,16255796.0
M3d2,tight_return,0.012064,4,4,0,0,0,0,nan,0.011578499,0.001659603791345091,7749091.5
M3d2,tight_return,0.014577,4,4,0,0,0,0,nan,0.012297437,0.0017595694463091633,8211374.0
M3d2,tight_return,0.015582,1,1,0,0,1,0,nan,0.027573694,0.0013098596000024462,18294232.0
M3d2,tight_return,0.016085,5,5,0,0,4,0,nan,0.044232596,0.0030239448000012777,29293238.0
M3d2,tight_return,0.016588,1,1,0,0,1,0,nan,0.028108664,0.0013370767000023278,18647876.0
M3d2,tight_return,0.01709,9,9,0,0,5,0,nan,0.038857441,0.0018511599885905011,25772310.0
M3d2,tight_return,0.018096,8,8,0,0,4,0,nan,0.039663445,0.001890162643450814,26305862.0
M3f,baseline,0.001005,96,4,92,0,36,56,0.3739097499999999,0.043205004,0.002581265388660145,28763496.0
M3f,baseline,0.001508,157,0,157,0,74,104,0.2763558649999995,0.023341002,0.0006437363913006134,15559960.0
M3f,baseline,0.002011,90,4,86,0,74,68,0.24897345000000012,0.033162151,0.001456551600143024,22119384.0
M3f,baseline,0.002513,40,0,40,0,40,40,0.24897344999999996,0.027763935,0.0007069177826162689,18520876.0
M3f,baseline,0.003016,4,4,0,0,0,0,0.3101925,0.0074076806,0.0008866373827960353,4984694.0
M3f,baseline,0.003519,4,4,0,0,0,0,0.3101925,0.062669322,0.003853955728456548,41704604.0
M3f,baseline,0.004021,1,1,0,0,0,0,0.301358,0.050975591,0.0038848526,33966004.0
M3f,baseline,0.007037,4,4,0,0,0,0,0.291647,0.029195914,0.0017698475460210764,19470682.0
M3f,baseline,0.00754,4,0,4,0,0,4,0.291647,0.10061236,0.005916646641902406,66923092.0
M3f,baseline,0.008043,8,4,4,0,0,4,0.2900795,0.077726804,0.005089013215993372,51627524.0
M3f,baseline,0.008545,4,0,4,0,0,4,0.2900795,0.024331935,0.003772649965295107,16067767.0
M3f,baseline,0.009048,4,0,4,0,0,4,0.304077,0.021510672,0.003306997151692581,14372047.0
M3f,baseline,0.009551,8,4,4,0,4,4,0.304077,0.0342816,0.0032829715755409877,22974388.0
M3f,baseline,0.010556,8,8,0,0,0,8,0.2929975,0.072419919,0.0036155064051502745,48084448.0
M3f,baseline,0.011561,1,1,0,0,1,0,0.28956099999999996,0.02448936,0.0011971287000066056,16255925.0
M3f,baseline,0.012064,4,4,0,0,0,0,0.286692,0.0115787,0.0016596111847305187,7749223.5
M3f,baseline,0.014577,4,4,0,0,0,0,0.2858295,0.012297568,0.0017595792051797107,8211462.5
M3f,baseline,0.015582,1,1,0,0,1,0,0.285917,0.027573807,0.0013098643000070062,18294310.0
M3f,baseline,0.016085,5,5,0,0,4,0,0.285715,0.044232596,0.003023947100003326,29293238.0
M3f,baseline,0.016588,1,1,0,0,1,0,0.285715,0.028108764,0.0013370800000026255,18647944.0
M3f,baseline,0.01709,9,9,0,0,5,0,0.286149,0.038857583,0.0018511642831769463,25772402.0
M3f,baseline,0.018096,8,8,0,0,4,0,0.286149,0.039663587,0.0018901670409176168,26305954.0
M3f,half_speed_adaptive,0.001005,100,0,100,0,36,56,0.23916369999999976,0.04320972,0.0011146787718663985,28766642.0
M3f,half_speed_adaptive,0.002011,41,8,33,0,33,32,0.18370095000000017,0.039860282,0.002253409382591342,26547298.0
M3f,half_speed_adaptive,0.009048,4,4,0,0,4,0,0.2539835,0.0285304,0.0004218899762772219,18955824.0
M3f,half_speed_adaptive,0.010054,6,6,0,0,4,0,0.25524449999999993,0.032902155,0.0019192278,21818852.0
M3f,half_speed_adaptive,0.011059,1,1,0,0,0,0,0.25619400000000003,0.026264846,0.0011874697000000005,17410396.0
M3f,half_speed_adaptive,0.01307,8,8,0,0,8,8,0.25365299999999996,0.029625656,0.0012414359152992777,19663996.0
M3f,half_speed_adaptive,0.014075,8,8,0,0,8,8,0.254898,0.02990729,0.0012550228953562414,19848082.0
M3f,half_speed_adaptive,0.016086,8,8,0,0,8,8,0.2547245,0.03066824,0.001276424201394058,20351588.0
M3f,half_speed_adaptive,0.017091,8,8,0,0,8,8,0.255112,0.030825641,0.0012836691673191634,20454492.0
M3f,half_speed_adaptive,0.019002,8,8,0,0,8,8,0.2551595,0.031395569,0.0013053960099288142,20834280.0
M3f,half_speed_adaptive,0.020007,8,8,0,0,8,8,0.255053,0.031670887,0.0013155160599801793,21016480.0
M3f,half_speed_adaptive,0.021012,8,8,0,0,8,8,0.255053,0.031897455,0.001324834784051498,21166134.0
M3f,half_speed_adaptive,0.022018,8,8,0,0,8,8,0.25534199999999996,0.032136627,0.0013342259674895922,21324332.0
M3f,half_speed_adaptive,0.023023,8,8,0,0,8,8,0.25534199999999996,0.032383509,0.0013430796762643451,21487784.0
M3f,half_speed_adaptive,0.024028,8,8,0,0,8,8,0.255309,0.032614153,0.0013513141788690495,21640428.0
M3f,half_speed_adaptive,0.025034,8,8,0,0,8,8,0.25531600000000004,0.032834738,0.0013593597955084901,21786398.0
M3f,half_speed_adaptive,0.026039,8,8,0,0,8,8,0.25531600000000004,0.033055995,0.0013672955426132002,21932898.0
M3f,half_speed_adaptive,0.027045,8,8,0,0,8,8,0.25525250000000005,0.033264324,0.0013746428993015062,22070834.0
M3f,half_speed_adaptive,0.02805,8,8,0,0,8,8,0.25521750000000004,0.033465166,0.0013813923431599574,22203810.0
M3f,half_speed_adaptive,0.029055,8,8,0,0,8,8,0.25521750000000004,0.033647414,0.0013875467813477815,22324424.0
M3f,half_speed_adaptive,0.030061,8,8,0,0,8,8,0.2551815,0.03380641,0.001393269421664083,22429580.0
M3f,half_speed_adaptive,0.031066,8,8,0,0,8,8,0.2551815,0.033955287,0.001398777485047082,22528036.0
M3f,half_speed_adaptive,0.032071,8,8,0,0,8,8,0.25517900000000004,0.034100361,0.0014040738542840134,22624002.0
M3f,half_speed_ramp_adaptive,0.001005,160,0,160,0,36,88,0.09562069999999968,0.043213755,0.0011146778843674366,28769334.0
M3f,half_speed_ramp_adaptive,0.002011,37,0,37,0,33,28,0.13924089999999992,0.032880194,0.000926113190412418,21861074.0
M3f,half_speed_ramp_adaptive,0.003016,12,0,12,0,12,12,0.21131799999999992,0.026019707,0.0006351807965599212,17259774.0
M3f,half_speed_ramp_adaptive,0.005027,1,1,0,0,0,0,0.22471049999999998,0.035035208,0.0015268091000000034,23310308.0
M3f,half_speed_ramp_adaptive,0.006032,8,8,0,0,0,8,0.2512005,0.025163617,0.002118276032886751,16748807.0
M3f,half_speed_ramp_adaptive,0.007038,4,4,0,0,0,4,0.280522,0.030871632,0.0013925988022241188,20490116.0
M3f,half_speed_ramp_adaptive,0.008043,4,4,0,0,4,4,0.27357750000000003,0.015124391,0.0006217322985040295,10053693.0
M3f,half_speed_ramp_adaptive,0.011059,4,4,0,0,0,0,0.261403,0.040429853,0.0020635002892256445,26833748.0
M3f,half_speed_ramp_adaptive,0.01307,20,20,0,0,12,16,0.2539515,0.0444941,0.0025428430319889587,29537976.0
M3f,half_speed_ramp_adaptive,0.014075,12,12,0,0,12,8,0.253098,0.029887764,0.0012390776775640514,19846228.0
M3f,half_speed_ramp_adaptive,0.015081,8,8,0,0,8,8,0.2537215,0.029955516,0.0012482025060067833,19884746.0
M3f,half_speed_ramp_adaptive,0.016086,8,8,0,0,8,8,0.25436449999999994,0.030167397,0.0012614854790924713,20021834.0
M3f,half_speed_ramp_adaptive,0.017091,8,8,0,0,8,8,0.25508100000000006,0.030486044,0.0012754891825635063,20231402.0
M3f,half_speed_ramp_adaptive,0.018097,8,8,0,0,8,8,0.2555005000000001,0.030864514,0.0012887539065135293,20481632.0
M3f,half_speed_ramp_adaptive,0.019002,8,8,0,0,8,8,0.25540450000000003,0.031203197,0.0012988701250986438,20708926.0
M3f,half_speed_ramp_adaptive,0.020007,8,8,0,0,8,8,0.25540450000000003,0.031505894,0.0013080810701144169,20909006.0
M3f,half_speed_ramp_adaptive,0.021012,8,8,0,0,8,8,0.2552545,0.031725299,0.0013166073647300582,21053516.0
M3f,half_speed_ramp_adaptive,0.022018,8,8,0,0,8,8,0.25534999999999997,0.031913947,0.001325083120638225,21177790.0
M3f,half_speed_ramp_adaptive,0.023023,8,8,0,0,8,8,0.25534999999999997,0.032116838,0.0013335484262213954,21311724.0
M3f,half_speed_ramp_adaptive,0.024029,8,8,0,0,8,8,0.255399,0.03231572,0.0013416976608636429,21443052.0
M3f,half_speed_ramp_adaptive,0.025034,8,8,0,0,8,8,0.255444,0.032522991,0.001349735368239379,21580050.0
M3f,half_speed_ramp_adaptive,0.026039,8,8,0,0,8,8,0.255444,0.032742873,0.0013574919229623905,21725534.0
M3f,half_speed_ramp_adaptive,0.027045,8,8,0,0,8,8,0.255347,0.032956071,0.0013646795595834132,21866606.0
M3f,half_speed_ramp_adaptive,0.02805,8,8,0,0,8,8,0.255347,0.033151619,0.0013713672102350868,21995940.0
M3f,half_speed_ramp_adaptive,0.029055,8,8,0,0,8,8,0.255319,0.033333227,0.0013777868307877346,22116028.0
M3f,half_speed_ramp_adaptive,0.030061,8,8,0,0,8,8,0.2552835,0.033514898,0.001383940713539685,22236232.0
M3f,half_speed_ramp_adaptive,0.031066,8,8,0,0,8,8,0.2552835,0.033684522,0.0013896205887536175,22348454.0
M3f,half_speed_ramp_adaptive,0.033077,8,8,0,0,8,8,0.2552215,0.033978574,0.0013999832048018116,22542900.0
M3f,improved_adaptive,0.001005,96,4,92,0,36,56,0.37340375000000064,0.043205,0.002579783474192493,28763494.0
M3f,improved_adaptive,0.001508,92,18,74,0,74,64,0.2995662500000006,0.053753324,0.003730263582314293,35820736.0
M3f,improved_adaptive,0.002011,71,38,33,0,33,48,0.24694689999999983,0.070847146,0.004554760578030807,47171588.0
M3f,improved_adaptive,0.002513,59,51,8,0,8,36,0.24694689999999975,0.063147709,0.00432182835083265,42031244.0
M3f,improved_adaptive,0.003016,46,46,0,0,0,28,0.27985250000000006,0.08105018,0.005100245622009428,53901248.0
M3f,improved_adaptive,0.003519,74,74,0,0,0,52,0.2798525000000002,0.087138839,0.004650806087407034,58027876.0
M3f,improved_adaptive,0.004021,43,43,0,0,0,28,0.30794749999999965,0.087623253,0.0044011440312644355,58275072.0
M3f,improved_adaptive,0.004524,33,33,0,0,0,19,0.3079474999999998,0.092368774,0.004523446117225418,61502888.0
M3f,improved_adaptive,0.005027,32,32,0,0,5,9,0.2944514999999999,0.079875827,0.004205478912707554,53124972.0
M3f,improved_adaptive,0.005529,38,34,4,0,4,19,0.2944514999999998,0.099329412,0.005918317199336831,66099028.0
M3f,improved_adaptive,0.006032,39,31,8,0,0,18,0.2852525000000002,0.10088559,0.00596794397257411,67096228.0
M3f,improved_adaptive,0.006535,54,46,8,0,16,33,0.28525250000000024,0.10219483,0.006009114887278854,67993352.0
M3f,improved_adaptive,0.007037,55,47,8,0,16,27,0.2856445,0.10333753,0.006037871633379242,68709360.0
M3f,improved_adaptive,0.00754,34,26,8,0,4,15,0.2856445,0.10441005,0.0060600768260804265,69453344.0
M3f,improved_adaptive,0.008043,37,29,8,0,9,11,0.2831080000000002,0.1055218,0.006081942567251805,70144488.0
M3f,improved_adaptive,0.008545,34,26,8,0,9,12,0.28310800000000014,0.10664821,0.0061046511820077335,70930488.0
M3f,improved_adaptive,0.009048,33,25,8,0,9,11,0.28053349999999994,0.10770814,0.00612781433370499,71582840.0
M3f,improved_adaptive,0.00955,30,22,8,0,7,9,0.2805334999999999,0.10867031,0.006150680801472486,72264504.0
M3f,improved_adaptive,0.010053,25,17,8,0,3,8,0.28192899999999993,0.1095529,0.006172935019993011,72793944.0
M3f,improved_adaptive,0.010556,30,22,8,0,2,14,0.28192899999999993,0.11039079,0.006194755086439523,73398208.0
