failed,region,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,kernel_support_ratio_to_core_mean,nearest_neighbor_mean,velocity_mean,velocity_gradient_norm_mean,axial_strain_rate_mean,radial_strain_rate_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,pc_mean,yield_residual_mean,yield_residual_maxAbs,return_iterations_max,pairwise_reaction_avg
0,bottom_cap_zone,89,0,0,0,148.25842696629215,104.23595505617978,0.987490845065668,0.987490845065668,0.009999996252948454,0.00015163767331738987,0.0374960777749567,-0.002747031166289555,0.02599385087588848,0.052751373330939856,0.03748440605617977,30509246.0,16.674057131205995,16.19789364276603,2.0958193700976424,119.99986606741577,-2064.30703875262,4314.0029,8.0,0.36469750735955025
0,edge_ring,748,0,0,0,95.57219251336899,68.03208556149733,0.7097133289238651,0.7097133289238651,0.009999823744324435,0.001603199257429067,0.07440999871173867,-0.03275957644161481,0.040038474897298046,0.10383611334761517,0.03181060976604271,34251928.0,43.04420218588237,45.807779401560246,1.4768873310688548,120.00366641711236,-1274.908000574917,4147.8564,22.0,0.3440776961229927
0,interior,359,0,0,0,150.2116991643454,147.2284122562674,0.9857734610152743,0.9857734610152743,0.00999991859890357,0.00029837655207879765,0.03852342484103064,-0.016954231970807157,0.021715930448618283,0.054422511799235886,0.02531406391389973,29692218.0,15.7928272612442,27.932980372696093,2.5185959178148924,119.99774105849586,-1236.1296724548315,3919.1995,15.0,0.3452344664763222
0,lateral_surface,1548,0,0,0,96.40568475452196,94.54263565891473,0.6863953931958369,0.6863953931958369,0.009999954192252304,0.0005290817839178764,0.03631473071615236,-0.01290342244544395,0.01645298983870401,0.05107067412776856,0.011086958735051708,31025182.0,20.266363032493544,21.332002455025115,1.4742099466965175,119.99948240310096,-2225.908472617283,3873.5796,13.0,0.3356385531524641
0,measurement_core,39,0,0,0,178.0,178.0,1.0000006008858828,1.0000006008858828,0.009999957897435897,0.00011369503248807918,0.03047423135691795,-0.011908125081315337,0.01746413154586985,0.04309707128784882,0.02522074933076923,24992852.0,15.512396734615386,22.802171051923576,2.53507511853352,119.99880000000002,-1560.9924550432277,3856.866,11.0,0.3379145348717946
0,top_cap_zone,162,0,0,0,147.72222222222223,105.5,0.9866133581418671,0.9866133581418671,0.009999685209938177,0.0016553319920448244,0.08236538540192591,-0.06062476399171526,0.038102986891394935,0.11628368301977654,0.02051829208209876,24566194.0,70.28048303086419,60.09237875705791,0.8874952700149611,120.0188317901234,-736.8765821545793,4366.4092,22.0,0.32970671222222186
1,bottom_cap_zone,73,73,0,73,147.06849315068493,107.04109589041096,0.9852698130120378,0.9852698130120378,0.00999996972094141,0.00021477285716578197,0.026638906291766656,-0.007040680434124091,0.01759073511369424,0.0373797719355947,0.029859857438356164,28529658.0,-12.40699407155251,30.787222613765294,-6.1010222665851686,119.99943780821926,-12.407004155342463,25.715467,0.0,0.28704670171232843
1,edge_ring,260,260,8,252,95.84615384615384,68.46153846153847,0.7095273424808852,0.7095273424808852,0.009999989882859798,0.0008327640886751341,0.0407672927887107,-0.003530023713642109,0.023531244653116425,0.055587491005281306,0.03126568317307691,36581744.0,-10.642584725455126,37.321980063656085,-5.125534781728685,119.99910353846147,106.03638146499999,3888.0342,8.0,0.28836249699999944
1,interior,163,163,0,163,149.53374233128835,147.159509202454,0.9854199271080755,0.9854199271080755,0.009999980466260312,9.499091469634887e-05,0.016707465237946962,-0.0053513264995198855,0.010034592244685277,0.023513439378982957,0.01991028477294479,25330684.0,-8.51699030858896,30.06109853830628,-6.464482291805,119.99992957055218,-8.517000212085886,18.19931,0.0,0.29550754794478473
1,lateral_surface,216,216,0,216,117.5925925925926,115.27777777777777,0.8782918244103634,0.8782918244103634,0.00999998557427663,0.00040661185419665354,0.021988805806723712,-0.004983929930487302,0.013151771138943554,0.03072103120565767,0.01412326579050925,23219276.0,-5.214982911882714,28.380929366172662,-240.65311732683207,119.99943444444446,-5.214992893919443,14.983955,0.0,0.28719518555555495
1,measurement_core,6,6,0,6,178.0,178.0,0.9999960942417646,0.9999960942417646,0.009999983166666667,4.164066383345469e-05,0.00850547058446921,-0.005657119002883433,0.0030668539143991007,0.012028551854921765,0.01671821918333333,16572604.0,-3.3745923944444436,27.632139091667014,-12.904510688213804,119.99839999999999,-3.3746023199999997,5.5032692,0.0,0.27635586500000003
