case,variant,time,status_-3,status_-1,status_0,status_1,negative_count
CaseM3l_BaselineDense,baseline,0.0,0,0,407,0,0
CaseM3l_BaselineDense,baseline,0.000503,0,0,407,0,0
CaseM3l_BaselineDense,baseline,0.000603,0,0,407,0,0
CaseM3l_BaselineDense,baseline,0.000704,0,0,398,9,0
CaseM3l_BaselineDense,baseline,0.000804,0,0,378,29,0
CaseM3l_BaselineDense,baseline,0.000905,0,0,338,69,0
CaseM3l_BaselineDense,baseline,0.001005,4,92,161,150,96
CaseM3l_BaselineDense,baseline,0.001106,0,148,116,143,148
CaseM3l_BaselineDense,baseline,0.001206,0,156,113,138,156
CaseM3l_BaselineDense,baseline,0.001307,0,157,112,138,157
CaseM3l_BaselineDense,baseline,0.001408,4,157,116,130,161
CaseM3l_BaselineDense,baseline,0.001508,0,157,120,130,157
CaseM3l_BaselineDense,baseline,0.001609,4,145,121,137,149
CaseM3l_BaselineDense,baseline,0.001709,0,128,125,154,128
CaseM3l_BaselineDense,baseline,0.00181,1,106,142,158,107
CaseM3l_BaselineDense,baseline,0.00191,16,94,168,129,110
CaseM3l_BaselineDense,baseline,0.002011,4,86,176,141,90
CaseM3l_BaselineDense,baseline,0.002111,4,73,172,158,77
CaseM3l_BaselineDense,baseline,0.002212,4,73,177,153,77
CaseM3l_BaselineDense,baseline,0.002312,4,73,165,165,77
CaseM3l_BaselineDense,baseline,0.002413,1,53,165,188,54
CaseM3l_BaselineDense,baseline,0.002513,0,40,185,182,40
CaseM3l_Gap2Dp,gap_2dp,0.0,0,0,407,0,0
CaseM3l_Gap2Dp,gap_2dp,0.000503,0,0,407,0,0
CaseM3l_Gap2Dp,gap_2dp,0.000603,0,0,407,0,0
CaseM3l_Gap2Dp,gap_2dp,0.000704,0,0,407,0,0
CaseM3l_Gap2Dp,gap_2dp,0.000804,0,4,399,4,4
CaseM3l_Gap2Dp,gap_2dp,0.000905,0,40,335,32,40
CaseM3l_Gap2Dp,gap_2dp,0.001005,0,174,165,68,174
CaseM3l_Gap2Dp,gap_2dp,0.001106,0,249,150,8,249
CaseM3l_Gap2Dp,gap_2dp,0.001206,0,257,129,21,257
CaseM3l_Gap2Dp,gap_2dp,0.001307,0,258,120,29,258
CaseM3l_Gap2Dp,gap_2dp,0.001408,0,258,112,37,258
CaseM3l_Gap2Dp,gap_2dp,0.001508,0,258,112,37,258
CaseM3l_Gap2Dp,gap_2dp,0.001609,0,258,112,37,258
CaseM3l_Gap2Dp,gap_2dp,0.001709,0,241,112,54,241
CaseM3l_Gap2Dp,gap_2dp,0.00181,0,216,133,58,216
CaseM3l_Gap2Dp,gap_2dp,0.00191,0,175,181,51,175
CaseM3l_Gap2Dp,gap_2dp,0.002011,0,131,215,61,131
CaseM3l_Gap2Dp,gap_2dp,0.002111,0,111,239,57,111
CaseM3l_Gap2Dp,gap_2dp,0.002212,0,110,259,38,110
CaseM3l_Gap2Dp,gap_2dp,0.002312,0,110,260,37,110
CaseM3l_Gap2Dp,gap_2dp,0.002413,0,98,260,49,98
CaseM3l_Gap2Dp,gap_2dp,0.002513,0,89,272,46,89
CaseM3l_PlatenOverhang,platen_overhang,0.0,0,0,407,0,0
CaseM3l_PlatenOverhang,platen_overhang,0.000503,0,0,407,0,0
CaseM3l_PlatenOverhang,platen_overhang,0.000603,0,0,407,0,0
CaseM3l_PlatenOverhang,platen_overhang,0.000704,0,0,386,21,0
CaseM3l_PlatenOverhang,platen_overhang,0.000804,0,0,370,37,0
CaseM3l_PlatenOverhang,platen_overhang,0.000905,0,0,358,49,0
CaseM3l_PlatenOverhang,platen_overhang,0.001005,8,4,277,118,12
CaseM3l_PlatenOverhang,platen_overhang,0.001106,0,12,207,188,12
CaseM3l_PlatenOverhang,platen_overhang,0.001206,0,12,160,235,12
CaseM3l_PlatenOverhang,platen_overhang,0.001307,0,12,150,245,12
CaseM3l_PlatenOverhang,platen_overhang,0.001408,0,12,154,241,12
CaseM3l_PlatenOverhang,platen_overhang,0.001508,0,16,174,217,16
CaseM3l_PlatenOverhang,platen_overhang,0.001609,4,16,170,217,20
CaseM3l_PlatenOverhang,platen_overhang,0.001709,4,20,178,205,24
CaseM3l_PlatenOverhang,platen_overhang,0.00181,0,12,178,217,12
CaseM3l_PlatenOverhang,platen_overhang,0.00191,4,12,182,209,16
CaseM3l_PlatenOverhang,platen_overhang,0.002011,0,12,178,217,12
CaseM3l_PlatenOverhang,platen_overhang,0.002111,1,12,186,208,13
CaseM3l_PlatenOverhang,platen_overhang,0.002212,4,12,186,205,16
CaseM3l_PlatenOverhang,platen_overhang,0.002312,4,12,194,197,16
CaseM3l_PlatenOverhang,platen_overhang,0.002413,8,8,181,210,16
CaseM3l_PlatenOverhang,platen_overhang,0.002513,0,8,177,222,8
CaseM3l_EdgeSelectorBuffer,edge_selector_buffer,0.0,0,0,407,0,0
CaseM3l_EdgeSelectorBuffer,edge_selector_buffer,0.000503,0,0,407,0,0
