case,variant,part,time,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,region,distance_to_top_platen,distance_to_bottom_platen,distance_to_lateral_boundary,distance_to_edge_corner,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,PorePress,sigma_zz,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,pairwise_reaction_avg,axial_stress_reaction,force_balance_error,lateral_active_targets,cap_leakage_proxy,axial_strain_rate_proxy,radial_strain_rate_proxy,shear_rate_proxy,velocity_gradient_norm
CaseM3m_OverhangReference,overhang_ref,6,0.001005,499,-1,1,-4.0991092e-14,-0.010000031,0.04000001,0.010000031,0.33333436666666666,0.4000001,interior,0.05999999,0.04000001,0.019999969,0.044721354630657836,153,153,0.009999990000000453,12.935966769591365,0.9967877052384739,5.790528603597036e-05,0.031617619,-21060540.0,-20019.95448289,-17.053961,-0.062121000000000016,25.681111665042547,-413.4046725751765,120.0,0.80004835,0.0,0.0,0.0,0.0,-0.062131073,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.0063124724358731375,0.01563354703973636,0.03256044562054029,0.023023902418301684
CaseM3m_OverhangReference,overhang_ref,6,0.001005,433,-1,1,-0.010000031,-1.9396307e-14,0.04000001,0.010000031,0.33333436666666666,0.4000001,interior,0.05999999,0.04000001,0.019999969,0.044721354630657836,153,153,0.009999990000000453,12.935966769586802,0.9967877052381223,5.790522068343817e-05,0.031617619,-21060540.0,-20019.95679531,-17.053955,-0.06212936666666735,25.681115314771567,-413.34906007579804,120.0,0.80004835,0.0,0.0,0.0,0.0,-0.06213934,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.006312472555061447,0.015633546012313582,0.03256044372819366,0.02302390107773012
CaseM3m_OverhangReference,overhang_ref,6,0.001005,521,-1,1,-1.6907675e-14,0.010000031,0.04000001,0.010000031,0.33333436666666666,0.4000001,interior,0.05999999,0.04000001,0.019999969,0.044721354630657836,153,153,0.009999990000000453,12.935966769579382,0.9967877052375506,5.790530490530116e-05,0.031617623,-21060542.0,-20019.95870559,-17.053955,-0.062126800000000294,25.68111137456415,-413.36607349105424,120.0,0.80004835,0.0,0.0,0.0,0.0,-0.062136795,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.006312472009815044,0.015633546735290542,0.032560444952694015,0.023023901941304027
CaseM3m_OverhangReference,overhang_ref,6,0.001005,587,-1,1,0.010000031,-2.643816e-14,0.04000001,0.010000031,0.33333436666666666,0.4000001,interior,0.05999999,0.04000001,0.019999969,0.044721354630657836,153,153,0.009999990000000453,12.935966769583935,0.9967877052379014,5.7905392405073965e-05,0.031617623,-21060542.0,-20019.95820286,-17.053953,-0.06212939999999989,25.681112316158483,-413.34879004398124,120.0,0.80004835,0.0,0.0,0.0,0.0,-0.06213934,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.00631247203282077,0.015633547529571582,0.03256044639079605,0.023023902957611152
CaseM3m_OverhangReference,overhang_ref,6,0.001005,317,-3,1,-0.030000769,-0.010000373,0.089999638,0.0316236240922904,1.0541208030763467,0.89999638,edge_ring,0.010000361999999999,0.089999638,-0.0016236240922904016,0.010131307680852943,92,64,0.009999499000611676,7.269140384410636,0.5601274254867218,0.00201141388550805,0.015025097,-10009333.0,-10852.40008857,-114.83395,62.654679666666674,79.80969611603872,1.2738026359824932,120.0,0.79999131,0.0,0.0,0.0,9.0,1195.736,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.0611572513556153,0.04365443507999808,0.13079830251038424,0.09311888003806743
CaseM3m_OverhangReference,overhang_ref,6,0.001005,405,-3,1,-0.010000373,-0.030000769,0.089999638,0.0316236240922904,1.0541208030763467,0.89999638,edge_ring,0.010000361999999999,0.089999638,-0.0016236240922904016,0.010131307680852943,92,64,0.009999499000611676,7.269140384408299,0.5601274254865417,0.0020114139039628864,0.015025089,-10009328.0,-10852.39777614,-114.83398,62.654694666666664,79.80971816435114,1.273802682926667,120.0,0.79999131,0.0,0.0,0.0,8.0,1195.7384,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.06115725436534016,0.04365443231681266,0.13079829671548293,0.0931188763845319
CaseM3m_OverhangReference,overhang_ref,6,0.001005,559,-3,1,0.010000373,-0.030000769,0.089999638,0.0316236240922904,1.0541208030763467,0.89999638,edge_ring,0.010000361999999999,0.089999638,-0.0016236240922904016,0.010131307680852943,92,64,0.009999499000611676,7.26914038441976,0.5601274254874249,0.002011413821731157,0.015025093,-10009330.0,-10852.39908318,-114.83396,62.65469033333333,79.80969522670128,1.2738024049293115,120.0,0.79999131,0.0,0.0,0.0,6.0,1195.7355,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.06115724736878805,0.04365443574589001,0.13079830068229856,0.09311887857732433
CaseM3m_OverhangReference,overhang_ref,6,0.001005,691,-3,1,0.030000769,-0.010000373,0.089999638,0.0316236240922904,1.0541208030763467,0.89999638,edge_ring,0.010000361999999999,0.089999638,-0.0016236240922904016,0.010131307680852943,92,64,0.009999499000611676,7.2691403844161036,0.5601274254871431,0.0020114138460670863,0.015025095,-10009332.0,-10852.3991837,-114.83397,62.654683666666664,79.80971961695829,1.273802929746789,120.0,0.79999131,0.0,0.0,0.0,8.0,1195.739,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.06115724989638688,0.04365443455927918,0.13079829884218583,0.09311887740661169
CaseM3m_OverhangReference,overhang_ref,6,0.001005,339,-3,1,-0.030000769,0.010000373,0.089999638,0.0316236240922904,1.0541208030763467,0.89999638,edge_ring,0.010000361999999999,0.089999638,-0.0016236240922904016,0.010131307680852943,92,64,0.009999499000611676,7.269140384417181,0.560127425487226,0.002011413802010674,0.015025092,-10009330.0,-10852.39948534,-114.83396,62.65468433333333,79.80970465671868,1.2738026774202196,120.0,0.79999131,0.0,0.0,0.0,8.0,1195.7369,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.06115724825736593,0.043654434668608855,0.13079829953090744,0.09311887763105393
CaseM3m_OverhangReference,overhang_ref,6,0.001005,713,-3,1,0.030000769,0.010000373,0.089999638,0.0316236240922904,1.0541208030763467,0.89999638,edge_ring,0.010000361999999999,0.089999638,-0.0016236240922904016,0.010131307680852943,92,64,0.009999499000611676,7.2691403844120215,0.5601274254868285,0.0020114138519481983,0.015025091,-10009329.0,-10852.40119451,-114.83397,62.654689,79.80971223280326,1.2738027034625177,120.0,0.79999131,0.0,0.0,0.0,8.0,1195.7379,0.0,0.4865955,172.09795358060526,0.682985,112,0.0,-0.061157247418739444,0.0436544371217641,0.13079830137032766,0.0931188788720095
