case,variant,time,status_-3,status_-1,status_0,status_1,negative_count
CaseM3m_OverhangReference,overhang_ref,0.0,0,0,407,0,0
CaseM3m_OverhangReference,overhang_ref,0.000503,0,0,407,0,0
CaseM3m_OverhangReference,overhang_ref,0.000603,0,0,407,0,0
CaseM3m_OverhangReference,overhang_ref,0.000704,0,0,386,21,0
CaseM3m_OverhangReference,overhang_ref,0.000804,0,0,370,37,0
CaseM3m_OverhangReference,overhang_ref,0.000905,0,0,358,49,0
CaseM3m_OverhangReference,overhang_ref,0.001005,8,4,277,118,12
CaseM3m_OverhangReference,overhang_ref,0.001106,0,12,207,188,12
CaseM3m_OverhangReference,overhang_ref,0.001206,0,12,160,235,12
CaseM3m_OverhangReference,overhang_ref,0.001307,0,12,150,245,12
CaseM3m_OverhangReference,overhang_ref,0.001408,0,12,154,241,12
CaseM3m_OverhangReference,overhang_ref,0.001508,0,16,174,217,16
CaseM3m_OverhangReference,overhang_ref,0.001609,4,16,170,217,20
CaseM3m_OverhangReference,overhang_ref,0.001709,4,20,178,205,24
CaseM3m_OverhangReference,overhang_ref,0.00181,0,12,178,217,12
CaseM3m_OverhangReference,overhang_ref,0.00191,4,12,182,209,16
CaseM3m_OverhangReference,overhang_ref,0.002011,0,12,178,217,12
CaseM3m_OverhangReference,overhang_ref,0.002111,1,12,186,208,13
CaseM3m_OverhangReference,overhang_ref,0.002212,4,12,186,205,16
CaseM3m_OverhangReference,overhang_ref,0.002312,4,12,194,197,16
CaseM3m_OverhangReference,overhang_ref,0.002413,8,8,181,210,16
CaseM3m_OverhangReference,overhang_ref,0.002513,0,8,177,222,8
CaseM3m_Overhang045,overhang045,0.0,0,0,407,0,0
CaseM3m_Overhang045,overhang045,0.000503,0,0,407,0,0
CaseM3m_Overhang045,overhang045,0.000603,0,0,407,0,0
CaseM3m_Overhang045,overhang045,0.000704,0,0,386,21,0
CaseM3m_Overhang045,overhang045,0.000804,0,0,370,37,0
CaseM3m_Overhang045,overhang045,0.000905,0,0,358,49,0
CaseM3m_Overhang045,overhang045,0.001005,0,0,277,130,0
CaseM3m_Overhang045,overhang045,0.001106,0,8,209,190,8
CaseM3m_Overhang045,overhang045,0.001206,0,8,188,211,8
CaseM3m_Overhang045,overhang045,0.001307,0,8,163,236,8
CaseM3m_Overhang045,overhang045,0.001408,0,8,166,233,8
CaseM3m_Overhang045,overhang045,0.001508,0,8,182,217,8
CaseM3m_Overhang045,overhang045,0.001609,8,8,202,189,16
CaseM3m_Overhang045,overhang045,0.001709,8,0,198,201,8
CaseM3m_Overhang045,overhang045,0.00181,5,0,198,204,5
CaseM3m_Overhang045,overhang045,0.00191,0,0,198,209,0
CaseM3m_Overhang045,overhang045,0.002011,1,0,190,216,1
CaseM3m_Overhang045,overhang045,0.002111,0,0,194,213,0
CaseM3m_Overhang045,overhang045,0.002212,5,0,205,197,5
CaseM3m_Overhang045,overhang045,0.002312,4,0,201,202,4
CaseM3m_Overhang045,overhang045,0.002413,4,0,189,214,4
CaseM3m_Overhang045,overhang045,0.002513,0,0,193,214,0
CaseM3m_TrimmedEdge,trimmed_edge,0.0,0,0,407,0,0
CaseM3m_TrimmedEdge,trimmed_edge,0.000503,0,0,407,0,0
CaseM3m_TrimmedEdge,trimmed_edge,0.000603,0,0,407,0,0
CaseM3m_TrimmedEdge,trimmed_edge,0.000704,0,0,386,21,0
CaseM3m_TrimmedEdge,trimmed_edge,0.000804,0,0,370,37,0
CaseM3m_TrimmedEdge,trimmed_edge,0.000905,0,0,358,49,0
