case,variant,part,time,dp,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,region,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,PorePress,sigma_zz,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,pairwise_reaction_avg,axial_stress_reaction,force_balance_error,lateral_active_targets,cap_leakage_proxy,velocity_gradient_norm,shear_rate_proxy
CaseM3n_Overhang045Reference,overhang045_ref,7,0.001106,0.01,638,-1,1,-8.1329732e-14,-0.01000003,0.030000033,0.01000003,0.33333433333333334,0.30000033,interior,153,153,0.009999981000000801,12.935955030973135,0.9967885152242381,0.0001191990065826477,0.024122247,-16055770.0,-20609.9294601,-19.13553,-0.09497086666666732,28.90061195093139,-304.3102897267217,119.99883,0.80005133,-8.7163158e-07,9.1469212e-07,0.0,0.0,-0.094980702,9.1469212e-07,0.3752375,132.7131176854335,0.786599,112,0.0,0.01947300593901458,0.027504377143192746
CaseM3n_Overhang045Reference,overhang045_ref,7,0.001106,0.01,572,-1,1,-0.01000003,-1.0154555e-14,0.030000033,0.01000003,0.33333433333333334,0.30000033,interior,153,153,0.009999981000000801,12.935955030972817,0.9967885152242135,0.00011919914376953804,0.024122247,-16055770.0,-20609.92845466,-19.13553,-0.09497183333333344,28.90061327252115,-304.3072062332985,119.99883,0.80005133,-8.7163369e-07,9.1469434e-07,0.0,0.0,-0.094981655,9.1469434e-07,0.3752375,132.7131176854335,0.786599,112,0.0,0.01947300584919285,0.027504376928975012
CaseM3n_Overhang045Reference,overhang045_ref,7,0.001106,0.01,660,-1,1,-1.7757563e-14,0.01000003,0.030000033,0.01000003,0.33333433333333334,0.30000033,interior,153,153,0.009999981000000801,12.935955030964156,0.9967885152235462,0.0001191991063874033,0.024122246,-16055769.0,-20609.93016389,-19.135527,-0.09497186666666717,28.90060897752512,-304.30705420333214,119.99883,0.80005133,-8.7163511e-07,9.1469587e-07,0.0,0.0,-0.094981976,9.1469587e-07,0.3752375,132.7131176854335,0.786599,112,0.0,0.019473005588291938,0.02750437653219954
CaseM3n_Overhang045Reference,overhang045_ref,7,0.001106,0.01,726,-1,1,0.01000003,1.5148307e-14,0.030000033,0.01000003,0.33333433333333334,0.30000033,interior,153,153,0.009999981000000801,12.935955030964692,0.9967885152235875,0.00011919923969863592,0.024122247,-16055770.0,-20609.93036496,-19.13553,-0.09497150000000094,28.900613180202484,-304.30827332623153,119.99883,0.80005133,-8.7163488e-07,9.1469559e-07,0.0,0.0,-0.094981343,9.1469559e-07,0.3752375,132.7131176854335,0.786599,112,0.0,0.019473007295648433,0.027504378838554448
CaseM3n_Overhang045Reference,overhang045_ref,7,0.001106,0.01,639,-1,1,-4.2677779e-14,-0.010000034,0.040000014,0.010000034,0.33333446666666666,0.40000014,interior,153,153,0.009999981000000801,12.935935218995715,0.9967869885992994,6.057648422842253e-05,0.024305716,-16179763.0,-21531.78591614,-18.04727,-0.5042911666666671,27.831113023971742,-55.188579264502394,119.99729,0.80005383,-2.0064253e-06,2.0953519e-06,0.0,0.0,-0.50430119,2.0953519e-06,0.3752375,132.7131176854335,0.786599,112,0.0,0.019816597488720503,0.028024269466754854
CaseM3n_Overhang045Reference,overhang045_ref,7,0.001106,0.01,573,-1,1,-0.010000034,-2.6390506e-14,0.040000014,0.010000034,0.33333446666666666,0.40000014,interior,153,153,0.009999981000000801,12.93593521899069,0.9967869885989121,6.057647929007373e-05,0.024305716,-16179763.0,-21531.78641887,-18.047266,-0.5042927999999994,27.831109538291,-55.18839360445168,119.99729,0.80005383,-2.0064251e-06,2.0953519e-06,0.0,0.0,-0.5043028,2.0953519e-06,0.3752375,132.7131176854335,0.786599,112,0.0,0.019816596072168107,0.028024267473823257
CaseM3n_Overhang045Reference,overhang045_ref,7,0.001106,0.01,661,-1,1,-2.104411e-14,0.010000034,0.040000014,0.010000034,0.33333446666666666,0.40000014,interior,153,153,0.009999981000000801,12.935935218982978,0.9967869885983179,6.057653418798296e-05,0.024305711,-16179759.0,-21531.787927,-18.047266,-0.5042927999999994,27.831109550926424,-55.18839362950741,119.99729,0.80005383,-2.0064242e-06,2.0953507e-06,0.0,0.0,-0.5043028,2.0953507e-06,0.3752375,132.7131176854335,0.786599,112,0.0,0.01981659657619308,0.02802426819265486
CaseM3n_Overhang045Reference,overhang045_ref,7,0.001106,0.01,727,-1,1,0.010000034,-2.5148227e-14,0.040000014,0.010000034,0.33333446666666666,0.40000014,interior,153,153,0.009999981000000801,12.935935218988002,0.996786988598705,6.057657763293485e-05,0.024305711,-16179759.0,-21531.78571508,-18.04727,-0.5042911333333334,27.831113055267455,-55.18858297449235,119.99729,0.80005383,-2.0064256e-06,2.0953523e-06,0.0,0.0,-0.50430119,2.0953523e-06,0.3752375,132.7131176854335,0.786599,112,0.0,0.01981659725824171,0.02802426915844162
CaseM3n_Overhang045Reference,overhang045_ref,8,0.001206,0.01,638,-1,1,-8.7614777e-14,-0.010000031,0.030000046,0.010000031,0.33333436666666666,0.30000045999999997,interior,153,153,0.009999975000001798,12.935930518156871,0.9967877224990026,0.0001338406163221282,0.017538818,-11662278.0,-21782.43200533,-18.146832,-3.0338343333333335,31.821726776144672,-10.488946751809454,119.99883,0.80005133,-8.7163158e-07,9.1469212e-07,0.0,0.0,-3.0338445,9.1469212e-07,0.3752375,132.7131176854335,0.786599,112,0.0,0.016060808358167596,0.02264408153242526
CaseM3n_Overhang045Reference,overhang045_ref,8,0.001206,0.01,572,-1,1,-0.010000031,-9.3002329e-15,0.030000046,0.010000031,0.33333436666666666,0.30000045999999997,interior,153,153,0.009999975000001798,12.935930518156727,0.9967877224989915,0.00013384072632443645,0.017538814,-11662275.0,-21782.43069828,-18.146832,-3.0338346666666673,31.82172714728164,-10.48894572170104,119.99883,0.80005133,-8.7163369e-07,9.1469434e-07,0.0,0.0,-3.0338452,9.1469434e-07,0.3752375,132.7131176854335,0.786599,112,0.0,0.01606080831612983,0.022644081376844486
CaseM3n_Overhang045Reference,overhang045_ref,8,0.001206,0.01,660,-1,1,-1.8872724e-14,0.010000031,0.030000046,0.010000031,0.33333436666666666,0.30000045999999997,interior,153,153,0.009999975000001798,12.935930518148629,0.9967877224983674,0.00013384071635868665,0.01753881,-11662273.0,-21782.43220644,-18.146828,-3.033835000000001,31.821721803633864,-10.488942807909412,119.99883,0.80005133,-8.7163511e-07,9.1469587e-07,0.0,0.0,-3.0338452,9.1469587e-07,0.3752375,132.7131176854335,0.786599,112,0.0,0.016060807874355786,0.02264408067665632
CaseM3n_Overhang045Reference,overhang045_ref,8,0.001206,0.01,726,-1,1,0.010000031,1.9256655e-14,0.030000046,0.010000031,0.33333436666666666,0.30000045999999997,interior,153,153,0.009999975000001798,12.935930518149018,0.9967877224983974,0.00013384081652501113,0.017538814,-11662275.0,-21782.43260858,-18.146832,-3.033834,31.821726501871417,-10.488947813845918,119.99883,0.80005133,-8.7163488e-07,9.1469559e-07,0.0,0.0,-3.0338445,9.1469559e-07,0.3752375,132.7131176854335,0.786599,112,0.0,0.01606080950844272,0.0226440828490414
CaseM3n_Overhang045Reference,overhang045_ref,8,0.001206,0.01,639,-1,1,-4.6018921e-14,-0.010000037,0.040000021,0.010000037,0.33333456666666667,0.40000020999999997,interior,153,153,0.009999972000000803,12.935911916938418,0.9967862891683155,5.284116698556978e-05,0.016981991,-11291522.0,-22667.01338067,-17.357491,-3.34985,31.06485501720079,-9.27350628153523,119.99729,0.80005383,-2.0064253e-06,2.0953519e-06,0.0,0.0,-3.34986,2.0953519e-06,0.3752375,132.7131176854335,0.786599,112,0.0,0.01706879680053032,0.02413804964153176
