case,variant,time,status_-3,status_-1,status_0,status_1,negative_count
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.0,0,0,1035,0,0
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.000377,0,0,1035,0,0
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.000452,0,0,1035,0,0
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.000528,0,0,966,69,0
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.000603,0,0,942,93,0
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.000754,0,0,881,154,0
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.000829,0,16,777,242,16
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.000905,8,16,597,414,24
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.001056,8,16,420,591,24
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.001131,0,19,427,589,19
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.001206,0,45,418,572,45
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.001357,0,47,373,615,47
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.001433,0,51,381,603,51
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.001508,8,52,384,591,60
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.001659,12,52,360,611,64
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.001734,16,44,396,579,60
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.00181,4,40,416,575,44
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.00196,13,22,452,548,35
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.002036,12,21,486,516,33
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.002111,16,12,479,528,28
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.002262,0,4,480,551,4
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.002337,9,1,472,553,10
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.002413,12,0,488,535,12
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.002564,0,0,456,579,0
CaseM3n_Overhang045Reference,overhang045_ref,0.0,0,0,407,0,0
CaseM3n_Overhang045Reference,overhang045_ref,0.000503,0,0,407,0,0
CaseM3n_Overhang045Reference,overhang045_ref,0.000603,0,0,407,0,0
CaseM3n_Overhang045Reference,overhang045_ref,0.000704,0,0,386,21,0
CaseM3n_Overhang045Reference,overhang045_ref,0.000804,0,0,370,37,0
CaseM3n_Overhang045Reference,overhang045_ref,0.000905,0,0,358,49,0
CaseM3n_Overhang045Reference,overhang045_ref,0.001005,0,0,277,130,0
CaseM3n_Overhang045Reference,overhang045_ref,0.001106,0,8,209,190,8
CaseM3n_Overhang045Reference,overhang045_ref,0.001206,0,8,188,211,8
CaseM3n_Overhang045Reference,overhang045_ref,0.001307,0,8,163,236,8
CaseM3n_Overhang045Reference,overhang045_ref,0.001408,0,8,166,233,8
CaseM3n_Overhang045Reference,overhang045_ref,0.001508,0,8,182,217,8
CaseM3n_Overhang045Reference,overhang045_ref,0.001609,8,8,202,189,16
CaseM3n_Overhang045Reference,overhang045_ref,0.001709,8,0,198,201,8
CaseM3n_Overhang045Reference,overhang045_ref,0.00181,5,0,198,204,5
CaseM3n_Overhang045Reference,overhang045_ref,0.00191,0,0,198,209,0
CaseM3n_Overhang045Reference,overhang045_ref,0.002011,1,0,190,216,1
CaseM3n_Overhang045Reference,overhang045_ref,0.002111,0,0,194,213,0
CaseM3n_Overhang045Reference,overhang045_ref,0.002212,5,0,205,197,5
CaseM3n_Overhang045Reference,overhang045_ref,0.002312,4,0,201,202,4
CaseM3n_Overhang045Reference,overhang045_ref,0.002413,4,0,189,214,4
CaseM3n_Overhang045Reference,overhang045_ref,0.002513,0,0,193,214,0
