metric,value,units
specimen_count,555,particles
top_platen_count,369,particles
bottom_platen_count,369,particles
measurement_core_count,45,particles
edge_corner_count,94,particles
core_support_mean,17.703817612859957,proxy
edge_support_mean,13.254870159332466,proxy
cap_support_mean,19.316918101265728,proxy
core_volume_weighted_support_mean,1.2997990338722378e-05,weighted_proxy
edge_volume_weighted_support_mean,7.262314273009556e-06,weighted_proxy
cap_volume_weighted_support_mean,1.25129295045292e-05,weighted_proxy
edge_support_core_ratio,0.7487012377321488,ratio
cap_support_core_ratio,1.0911159685261342,ratio
edge_volume_weighted_support_core_ratio,0.5587259325293049,ratio
cap_volume_weighted_support_core_ratio,0.9626818591526314,ratio
core_specimen_neighbor_mean,227.93333333333334,particles
edge_specimen_neighbor_mean,113.635687732342,particles
cap_specimen_neighbor_mean,115.92424242424242,particles
nearest_neighbor_cv,0.10199186868262279,ratio
outer_ring_angular_gap_cv,2.5718657212236263e-15,ratio
platen_contamination_in_core,0,particles
