case,label,idp,x,y,z,class,fi,fi_selected
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,0,-0.029999999,-0.0099999998,0.0,edge,0.4071747547533081,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,33,-0.02,-0.02,0.0,edge,0.457878444091461,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,44,-0.02,-0.0099999998,0.0,edge,0.6096102427844604,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,88,-0.0099999998,-0.029999999,0.0,edge,0.40717475475330805,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,99,-0.0099999998,-0.02,0.0,edge,0.6096102427844604,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,110,-0.0099999998,-0.0099999998,0.0,bottom,0.691288401056148,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,165,0.0,-0.029999999,0.0,edge,0.471871686441136,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,176,0.0,-0.02,0.0,edge,0.659008210256677,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,187,0.0,-0.0099999998,0.0,bottom,0.7070598514322256,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,242,0.0099999998,-0.029999999,0.0,edge,0.40717475475330805,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,253,0.0099999998,-0.02,0.0,edge,0.6096102427844604,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,264,0.0099999998,-0.0099999998,0.0,bottom,0.691288401056148,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,319,0.02,-0.02,0.0,edge,0.45787844409146106,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,330,0.02,-0.0099999998,0.0,edge,0.6096102427844605,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,374,0.029999999,-0.0099999998,0.0,edge,0.40717475475330805,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,11,-0.029999999,0.0,0.0,edge,0.4718716864411359,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,22,-0.029999999,0.0099999998,0.0,edge,0.40717475475330805,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,55,-0.02,0.0,0.0,edge,0.659008210256677,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,66,-0.02,0.0099999998,0.0,edge,0.6096102427844604,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,77,-0.02,0.02,0.0,edge,0.45787844409146106,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,121,-0.0099999998,0.0,0.0,bottom,0.7070598514322258,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,132,-0.0099999998,0.0099999998,0.0,bottom,0.691288401056148,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,143,-0.0099999998,0.02,0.0,edge,0.6096102427844605,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,198,0.0,0.0,0.0,bottom,0.7094371207738087,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,209,0.0,0.0099999998,0.0,bottom,0.7070598514322258,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,220,0.0,0.02,0.0,edge,0.659008210256677,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,275,0.0099999998,0.0,0.0,bottom,0.7070598514322259,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,286,0.0099999998,0.0099999998,0.0,bottom,0.6912884010561481,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,297,0.0099999998,0.02,0.0,edge,0.6096102427844603,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,341,0.02,0.0,0.0,edge,0.659008210256677,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,352,0.02,0.0099999998,0.0,edge,0.6096102427844603,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,363,0.02,0.02,0.0,edge,0.45787844409146106,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,385,0.029999999,0.0,0.0,edge,0.4718716864411359,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,396,0.029999999,0.0099999998,0.0,edge,0.407174754753308,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,154,-0.0099999998,0.029999999,0.0,edge,0.407174754753308,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,231,0.0,0.029999999,0.0,edge,0.4718716864411359,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,308,0.0099999998,0.029999999,0.0,edge,0.407174754753308,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,1,-0.029999999,-0.0099999998,0.0099999998,edge,0.5479757027029416,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,2,-0.029999999,-0.0099999998,0.02,lateral,0.5748032154007807,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,3,-0.029999999,-0.0099999998,0.029999999,lateral,0.5752098401997556,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,4,-0.029999999,-0.0099999998,0.039999999,lateral,0.575209810332391,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,34,-0.02,-0.02,0.0099999998,edge,0.6164901338065206,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,35,-0.02,-0.02,0.02,lateral,0.6463375745965778,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,36,-0.02,-0.02,0.029999999,lateral,0.6467570831226266,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,37,-0.02,-0.02,0.039999999,lateral,0.6467570494083394,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,45,-0.02,-0.0099999998,0.0099999998,edge,0.8212955772079795,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,46,-0.02,-0.0099999998,0.02,lateral,0.8616696653945232,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,47,-0.02,-0.0099999998,0.029999999,lateral,0.8622305120047331,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,48,-0.02,-0.0099999998,0.039999999,lateral,0.8622304675994917,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,89,-0.0099999998,-0.029999999,0.0099999998,edge,0.5479757027029416,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,90,-0.0099999998,-0.029999999,0.02,lateral,0.5748032154007807,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,91,-0.0099999998,-0.029999999,0.029999999,lateral,0.5752098401997556,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,92,-0.0099999998,-0.029999999,0.039999999,lateral,0.5752098103323909,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,100,-0.0099999998,-0.02,0.0099999998,edge,0.8212955772079794,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,101,-0.0099999998,-0.02,0.02,lateral,0.8616696653945232,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,102,-0.0099999998,-0.02,0.029999999,lateral,0.8622305120047332,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,103,-0.0099999998,-0.02,0.039999999,lateral,0.8622304675994917,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,111,-0.0099999998,-0.0099999998,0.0099999998,bottom,0.931479274548471,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,112,-0.0099999998,-0.0099999998,0.02,interior,0.9761270985235473,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,113,-0.0099999998,-0.0099999998,0.029999999,interior,0.9767008281707066,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,114,-0.0099999998,-0.0099999998,0.039999999,interior,0.976700777026823,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,166,0.0,-0.029999999,0.0099999998,edge,0.6353305999065862,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,167,0.0,-0.029999999,0.02,lateral,0.6669146473889813,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,168,0.0,-0.029999999,0.029999999,lateral,0.6673919415031053,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,169,0.0,-0.029999999,0.039999999,lateral,0.6673919072698874,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,177,0.0,-0.02,0.0099999998,edge,0.8881834626846044,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,178,0.0,-0.02,0.02,lateral,0.9317253376338372,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,179,0.0,-0.02,0.029999999,lateral,0.9322990679708799,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,180,0.0,-0.02,0.039999999,lateral,0.9322990200769569,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,188,0.0,-0.0099999998,0.0099999998,bottom,0.9526440943860661,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,189,0.0,-0.0099999998,0.02,interior,0.9977702597714208,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,190,0.0,-0.0099999998,0.029999999,interior,0.9983439891211499,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,191,0.0,-0.0099999998,0.039999999,interior,0.9983439363538964,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,243,0.0099999998,-0.029999999,0.0099999998,edge,0.5479757027029417,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,244,0.0099999998,-0.029999999,0.02,lateral,0.5748032154007807,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,245,0.0099999998,-0.029999999,0.029999999,lateral,0.5752098401997556,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,246,0.0099999998,-0.029999999,0.039999999,lateral,0.5752098103323909,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,254,0.0099999998,-0.02,0.0099999998,edge,0.8212955772079794,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,255,0.0099999998,-0.02,0.02,lateral,0.8616696653945232,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,256,0.0099999998,-0.02,0.029999999,lateral,0.8622305120047333,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,257,0.0099999998,-0.02,0.039999999,lateral,0.8622304675994917,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,265,0.0099999998,-0.0099999998,0.0099999998,bottom,0.931479274548471,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,266,0.0099999998,-0.0099999998,0.02,interior,0.9761270985235473,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,267,0.0099999998,-0.0099999998,0.029999999,interior,0.9767008281707065,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,268,0.0099999998,-0.0099999998,0.039999999,interior,0.976700777026823,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,320,0.02,-0.02,0.0099999998,edge,0.6164901338065207,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,321,0.02,-0.02,0.02,lateral,0.6463375745965778,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,322,0.02,-0.02,0.029999999,lateral,0.6467570831226265,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,323,0.02,-0.02,0.039999999,lateral,0.6467570494083397,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,331,0.02,-0.0099999998,0.0099999998,edge,0.8212955772079794,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,332,0.02,-0.0099999998,0.02,lateral,0.8616696653945232,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,333,0.02,-0.0099999998,0.029999999,lateral,0.8622305120047333,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,334,0.02,-0.0099999998,0.039999999,lateral,0.8622304675994918,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,375,0.029999999,-0.0099999998,0.0099999998,edge,0.5479757027029417,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,376,0.029999999,-0.0099999998,0.02,lateral,0.5748032154007807,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,377,0.029999999,-0.0099999998,0.029999999,lateral,0.5752098401997557,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,378,0.029999999,-0.0099999998,0.039999999,lateral,0.5752098103323909,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,12,-0.029999999,0.0,0.0099999998,edge,0.6353305999065862,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,13,-0.029999999,0.0,0.02,lateral,0.6669146473889811,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,14,-0.029999999,0.0,0.029999999,lateral,0.6673919415031052,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,15,-0.029999999,0.0,0.039999999,lateral,0.6673919072698873,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,23,-0.029999999,0.0099999998,0.0099999998,edge,0.5479757027029416,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,24,-0.029999999,0.0099999998,0.02,lateral,0.5748032154007807,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,25,-0.029999999,0.0099999998,0.029999999,lateral,0.5752098401997559,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,26,-0.029999999,0.0099999998,0.039999999,lateral,0.5752098103323909,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,56,-0.02,0.0,0.0099999998,edge,0.8881834626846042,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,57,-0.02,0.0,0.02,lateral,0.931725337633837,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,58,-0.02,0.0,0.029999999,lateral,0.9322990679708799,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,59,-0.02,0.0,0.039999999,lateral,0.9322990200769566,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,67,-0.02,0.0099999998,0.0099999998,edge,0.8212955772079793,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,68,-0.02,0.0099999998,0.02,lateral,0.8616696653945232,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,69,-0.02,0.0099999998,0.029999999,lateral,0.8622305120047333,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,70,-0.02,0.0099999998,0.039999999,lateral,0.8622304675994917,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,78,-0.02,0.02,0.0099999998,edge,0.6164901338065207,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,79,-0.02,0.02,0.02,lateral,0.6463375745965779,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,80,-0.02,0.02,0.029999999,lateral,0.6467570831226265,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,81,-0.02,0.02,0.039999999,lateral,0.6467570494083397,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,122,-0.0099999998,0.0,0.0099999998,bottom,0.9526440943860662,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,123,-0.0099999998,0.0,0.02,interior,0.9977702597714208,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,124,-0.0099999998,0.0,0.029999999,interior,0.9983439891211496,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,125,-0.0099999998,0.0,0.039999999,interior,0.9983439363538964,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,133,-0.0099999998,0.0099999998,0.0099999998,bottom,0.9314792745484709,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,134,-0.0099999998,0.0099999998,0.02,interior,0.9761270985235473,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,135,-0.0099999998,0.0099999998,0.029999999,interior,0.9767008281707066,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,136,-0.0099999998,0.0099999998,0.039999999,interior,0.9767007770268228,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,144,-0.0099999998,0.02,0.0099999998,edge,0.8212955772079794,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,145,-0.0099999998,0.02,0.02,lateral,0.8616696653945232,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,146,-0.0099999998,0.02,0.029999999,lateral,0.8622305120047333,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,147,-0.0099999998,0.02,0.039999999,lateral,0.8622304675994917,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,199,0.0,0.0,0.0099999998,bottom,0.9556226209609782,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,200,0.0,0.0,0.02,interior,1.0007501973052757,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,201,0.0,0.0,0.029999999,interior,1.0013239266907938,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,202,0.0,0.0,0.039999999,interior,1.0013238734973753,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,210,0.0,0.0099999998,0.0099999998,bottom,0.9526440943860661,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,211,0.0,0.0099999998,0.02,interior,0.9977702597714206,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,212,0.0,0.0099999998,0.029999999,interior,0.9983439891211497,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,213,0.0,0.0099999998,0.039999999,interior,0.9983439363538964,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,221,0.0,0.02,0.0099999998,edge,0.8881834626846041,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,222,0.0,0.02,0.02,lateral,0.9317253376338372,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,223,0.0,0.02,0.029999999,lateral,0.9322990679708798,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,224,0.0,0.02,0.039999999,lateral,0.9322990200769569,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,276,0.0099999998,0.0,0.0099999998,bottom,0.9526440943860661,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,277,0.0099999998,0.0,0.02,interior,0.9977702597714208,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,278,0.0099999998,0.0,0.029999999,interior,0.9983439891211496,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,279,0.0099999998,0.0,0.039999999,interior,0.9983439363538965,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,287,0.0099999998,0.0099999998,0.0099999998,bottom,0.931479274548471,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,288,0.0099999998,0.0099999998,0.02,interior,0.9761270985235473,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,289,0.0099999998,0.0099999998,0.029999999,interior,0.9767008281707065,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,290,0.0099999998,0.0099999998,0.039999999,interior,0.9767007770268228,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,298,0.0099999998,0.02,0.0099999998,edge,0.8212955772079793,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,299,0.0099999998,0.02,0.02,lateral,0.8616696653945233,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,300,0.0099999998,0.02,0.029999999,lateral,0.8622305120047333,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,301,0.0099999998,0.02,0.039999999,lateral,0.8622304675994917,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,342,0.02,0.0,0.0099999998,edge,0.8881834626846042,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,343,0.02,0.0,0.02,lateral,0.9317253376338371,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,344,0.02,0.0,0.029999999,lateral,0.9322990679708799,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,345,0.02,0.0,0.039999999,lateral,0.932299020076957,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,353,0.02,0.0099999998,0.0099999998,edge,0.8212955772079795,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,354,0.02,0.0099999998,0.02,lateral,0.8616696653945233,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,355,0.02,0.0099999998,0.029999999,lateral,0.8622305120047333,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,356,0.02,0.0099999998,0.039999999,lateral,0.8622304675994917,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,364,0.02,0.02,0.0099999998,edge,0.6164901338065206,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,365,0.02,0.02,0.02,lateral,0.6463375745965779,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,366,0.02,0.02,0.029999999,lateral,0.6467570831226264,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,367,0.02,0.02,0.039999999,lateral,0.6467570494083397,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,386,0.029999999,0.0,0.0099999998,edge,0.6353305999065862,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,387,0.029999999,0.0,0.02,lateral,0.6669146473889812,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,388,0.029999999,0.0,0.029999999,lateral,0.6673919415031053,1
