case,label,step,time,fi_min,fi_max,fi_mean,fi_threshold,fi_selected,lateral_fi_selected,cap_fi_selected,fi_p05,fi_median,fi_p95
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,1,0.000502713,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,2,0.000603255,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,3,0.000703798,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,4,0.00080434,0.407174,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,static_part0_computed,,0.407174754753308,1.0013239488805517,0.7451278710797757,0.7,208,,,0.45787849177400497,0.6912884010561481,0.9983439661290903
CaseT3_ConfinementOnly_Selected,confinement_only_selected,1,0.000502713,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_ConfinementOnly_Selected,confinement_only_selected,2,0.000603255,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_ConfinementOnly_Selected,confinement_only_selected,3,0.000703798,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_ConfinementOnly_Selected,confinement_only_selected,4,0.00080434,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_ConfinementOnly_Selected,confinement_only_selected,static_part0_computed,,0.407174754753308,1.0013239488805517,0.7451278710797757,0.7,208,,,0.45787849177400497,0.6912884010561481,0.9983439661290903
CaseT3_AxialConfinement_Selected,axial_confinement_selected,1,0.000502713,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_AxialConfinement_Selected,axial_confinement_selected,2,0.000603255,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_AxialConfinement_Selected,axial_confinement_selected,3,0.000703798,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_AxialConfinement_Selected,axial_confinement_selected,4,0.00080434,0.407175,1.00132,0.745128,0.7,208.0,112.0,96.0,,,
CaseT3_AxialConfinement_Selected,axial_confinement_selected,static_part0_computed,,0.407174754753308,1.0013239488805517,0.7451278710797755,0.7,208,,,0.45787849177400497,0.6912884010561481,0.9983439661290903
