step,time,p0,targets,legacy,fx,fy,fz,absforce,maxaccel,comaccel,sym,fi_min,fi_max,fi_mean,fi_threshold,fi_selected,class_interior,class_lateral,class_top,class_bottom,class_edge,class_outside,lateral_fi_selected,cap_fi_selected,lat_accel_mean,lat_accel_max,cap_axial_mean,cap_axial_max,case,label
1,0.000502713,50.0,407.0,407.0,-2.32892e-09,-4.18371e-09,1.17921e-08,1.11397,1.92646,1.48908e-08,1.1425e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.49457,1.9072,0.93185,1.79272,CaseT3_ConfinementOnly_Legacy,confinement_only_legacy
2,0.000603255,50.0,407.0,407.0,-7.72404e-09,-6.4497e-09,2.48995e-08,1.11397,1.92646,3.14215e-08,2.41083e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.49457,1.9072,0.93185,1.79272,CaseT3_ConfinementOnly_Legacy,confinement_only_legacy
3,0.000703798,50.0,407.0,407.0,1.51698e-08,9.12812e-09,9.82479e-09,1.11397,1.92646,2.36899e-08,1.81762e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.49457,1.9072,0.931849,1.79272,CaseT3_ConfinementOnly_Legacy,confinement_only_legacy
4,0.00080434,50.0,407.0,407.0,1.16433e-08,1.24349e-08,1.82759e-08,1.11397,1.92647,2.92313e-08,2.24279e-08,0.407174,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.49457,1.9072,0.931849,1.79273,CaseT3_ConfinementOnly_Legacy,confinement_only_legacy
1,0.000502713,50.0,112.0,407.0,-8.18777e-09,-1.11121e-08,2.00715e-09,0.442619,1.92646,5.93029e-08,3.15125e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT3_ConfinementOnly_Selected,confinement_only_selected
2,0.000603255,50.0,112.0,407.0,-1.91268e-08,-2.37873e-08,5.65534e-09,0.442619,1.92646,1.31984e-07,7.01341e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT3_ConfinementOnly_Selected,confinement_only_selected
3,0.000703798,50.0,112.0,407.0,3.53809e-09,5.17025e-09,-3.40906e-09,0.442619,1.92646,3.03249e-08,1.61141e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT3_ConfinementOnly_Selected,confinement_only_selected
4,0.00080434,50.0,112.0,407.0,-7.19996e-09,-9.36176e-09,-5.87377e-09,0.442618,1.92647,5.60811e-08,2.98006e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT3_ConfinementOnly_Selected,confinement_only_selected
1,0.000502713,50.0,112.0,407.0,-9.66858e-09,-1.00509e-08,1.36376e-09,0.442619,1.92646,5.95789e-08,3.16591e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT3_AxialConfinement_Selected,axial_confinement_selected
2,0.000603255,50.0,112.0,407.0,-1.71036e-08,-2.29361e-08,5.473e-09,0.442619,1.92646,1.23852e-07,6.58125e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT3_AxialConfinement_Selected,axial_confinement_selected
3,0.000703798,50.0,112.0,407.0,4.57255e-09,7.99675e-09,6.71735e-09,0.442619,1.92646,4.84729e-08,2.57577e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT3_AxialConfinement_Selected,axial_confinement_selected
4,0.00080434,50.0,112.0,407.0,-3.80253e-09,-3.84073e-09,9.37535e-09,0.442618,1.92647,4.60103e-08,2.44491e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT3_AxialConfinement_Selected,axial_confinement_selected
