case,label,part,time,porepress_mean_all,excess_mean_all,porepress_mean_center,excess_mean_center,porepress_mean_lateral,porepress_mean_cap_edge,top_z_mean,top_vz_mean
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09500000199999999,0.0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,1,0.000503,0.0,0.0,0.0,0.0,0.0,0.0,0.09500000199999999,0.0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,2,0.000804,1142.9746190903168,1142.9746190903168,1417.6471613494073,1417.6471613494073,1278.680675347874,873.3673267555303,0.0949999889189189,0.00013789751483783783
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,3,0.001005,-3711.521313289615,-3711.521313289615,-517.8199477887154,-517.8199477887154,-2941.6580591547345,-5685.266308934096,0.09000015165765768,0.0018340674080180178
CaseT3_ConfinementOnly_Selected,confinement_only_selected,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09500000199999999,0.0
CaseT3_ConfinementOnly_Selected,confinement_only_selected,1,0.000503,0.0,0.0,0.0,0.0,0.0,0.0,0.09500000199999999,0.0
CaseT3_ConfinementOnly_Selected,confinement_only_selected,2,0.000804,1456.6252072313027,1456.6252072313027,2033.3991123126293,2033.3991123126293,2217.1594759477503,280.93815386523784,0.09000007066666667,0.00100641389009009
CaseT3_ConfinementOnly_Selected,confinement_only_selected,3,0.001005,5769.589605637329,5769.589605637329,8608.666307265925,8608.666307265925,12298.090151847953,-3650.2152926708523,0.09000065781981982,0.005407074482792793
CaseT3_AxialConfinement_Selected,axial_confinement_selected,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09500000199999999,0.0
CaseT3_AxialConfinement_Selected,axial_confinement_selected,1,0.000503,0.0,0.0,0.0,0.0,0.0,0.0,0.09500000199999999,0.0
CaseT3_AxialConfinement_Selected,axial_confinement_selected,2,0.000804,1461.4633703917386,1461.4633703917386,2053.0486781995187,2053.0486781995187,2234.577523534842,266.4170937031466,0.09000006482882882,0.0009856156109009008
CaseT3_AxialConfinement_Selected,axial_confinement_selected,3,0.001005,5626.68066618941,5626.68066618941,8636.904988250333,8636.904988250333,12175.059477584336,-3841.2018451258655,0.09000066429729729,0.0055927514782882866
