case,part,time,region,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,porepress_mean,porepress_std,excess_mean,porepressrate_mean,divvel_mean
CaseT4_StressPath_SelectedConfinement,0,0.0,center_core_small,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,0,0.0,center_core_medium,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,0,0.0,center_core_large,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,0,0.0,full_excluding_caps_edges,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,0,0.0,zhao_measurement_cylinder,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,center_core_small,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,center_core_medium,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,center_core_large,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,full_excluding_caps_edges,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,zhao_measurement_cylinder,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,2,0.000704,center_core_small,0.0499999563963964,-6.039170899474477e-08,1.3432429005000003e-06,923.0544104242999,35.99565745000001,923.0544104242999,8911861.0,-0.013365601000000001
CaseT4_StressPath_SelectedConfinement,2,0.000704,center_core_medium,0.0499999563963964,-6.039170899474477e-08,1.3337260798e-06,985.4563050172399,55.52781885475987,985.4563050172399,8847993.566666666,-0.013270906266666667
CaseT4_StressPath_SelectedConfinement,2,0.000704,center_core_large,0.0499999563963964,-6.039170899474477e-08,1.2269485259666666e-06,940.5295886612754,93.73295150175689,940.5295886612754,8139384.922222222,-0.012208443044444444
CaseT4_StressPath_SelectedConfinement,2,0.000704,full_excluding_caps_edges,0.0499999563963964,-6.039170899474477e-08,1.1351305709884172e-06,968.1425904469966,220.14696347605866,968.1425904469966,7529724.032818533,-0.011294831552123553
