case,part,time,region,particle_count,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,p_eff_proxy,q_proxy,axial_stress_proxy,radial_stress_proxy,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_xy_mean,sigma_xz_mean,sigma_yz_mean,mean_pore_pressure_for_total_proxy
CaseT4_StressPath_SelectedConfinement,0,0.0,center_core_small,2,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,0,0.0,center_core_medium,15,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,0,0.0,center_core_large,54,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,0,0.0,full_excluding_caps_edges,259,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,0,0.0,zhao_measurement_cylinder,45,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,center_core_small,2,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,center_core_medium,15,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,center_core_large,54,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,full_excluding_caps_edges,259,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,1,0.000503,zhao_measurement_cylinder,45,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4_StressPath_SelectedConfinement,2,0.000704,center_core_small,2,0.0499999563963964,-6.039170899474477e-08,1.3432429005000003e-06,2.30726975,1.493425200000006,1.31165295,2.80507815,-2.80507815,-2.80507815,-1.31165295,-1.6230564999999997e-09,5.30090925e-08,5.6243101000000005e-08,923.0544104242999
CaseT4_StressPath_SelectedConfinement,2,0.000704,center_core_medium,15,0.0499999563963964,-6.039170899474477e-08,1.3337260798e-06,2.4634592,1.653243980000011,1.3612965466666667,3.0145405266666665,-3.01454062,-3.014540433333333,-1.3612965466666667,-1.2204324863333337e-08,3.3426067326146876e-08,4.870558779993909e-08,985.4563050172399
CaseT4_StressPath_SelectedConfinement,2,0.000704,center_core_large,45,0.0499999563963964,-6.039170899474477e-08,1.2269485259666666e-06,2.3512179157777777,1.7345497760000077,1.1948513984444444,2.929401174444444,-2.9294012577777777,-2.92940109111111,-1.1948513984444444,-1.5199748407443735e-08,3.092572671651676e-08,3.442089593846336e-08,940.5295886612754
