case,label,time,part,particle_count,p0,p0_eff_expected,feedback,ramp_end,damping_xi,velocity_max,porepress_mean,porepress_std,porepress_min,porepress_max,excess_mean,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.0,0,407,50.0,0.0,1,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.000503,1,407,50.0,25.15,1,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.000704,2,407,50.0,35.199999999999996,1,0.001,0.05,0.0003652695398979868,344.2713466604,230.9816186807683,-80.10933374428,737.9269938667,344.2713466604,2733914.3244963144,5890176.5,-0.004100871681744472,0.0088361939,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.000804,3,407,50.0,40.2,1,0.001,0.05,0.0013246969076224017,812.2326969033118,684.3254443197942,-820.9581567774,2622.08380095,812.2326969033118,4654371.297297297,18739936.0,-0.006981557350614251,0.028114934,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.000905,4,407,50.0,45.24999999999999,1,0.001,0.05,0.0048495826766531015,1423.7863845845056,2521.2394265985786,-5042.41640294,9393.142713062,1423.7863845845056,6082615.586289926,67346088.0,-0.009123923995085995,0.10104215,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.001005,5,407,50.0,50.0,1,0.001,0.05,0.01952973608328782,3368.9612620846747,10719.10454620679,-25196.096279,37284.06219044,3368.9612620846747,19348078.785847668,277422720.0,-0.029022120166584765,0.41623577,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.001206,6,407,50.0,50.0,1,0.001,0.05,0.33767561961572606,19631.62488576278,214287.61110782513,-537907.167736,662263.2198887,19631.62488576278,109659628.88525799,5045583900.0,-0.16448950364840298,7.5702858,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.001306,7,407,50.0,50.0,1,0.001,0.05,1.4453002448137633,43070.61409029881,967423.3977196747,-2444599.8844,2846336.759798,43070.61409029881,234745301.7027027,21873854000.0,-0.35211927563144974,32.819191,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.001404,8,407,50.0,50.0,1,0.001,0.05,6.0699321012177085,-1781.972889115567,362613.8952359851,-808845.8896208,625988.1430649,-1781.972889115567,-231604405.42997542,92803047000.0,0.34737976943488896,139.24176,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.001535,9,407,50.0,50.0,1,0.001,0.05,19.278478009317176,-1748684.8266349856,10266387.88265962,-28824564.2611,23265334.3317,-1748684.8266349856,-23815273525.061424,313739480000.0,35.72207897248157,470.73535,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.001628,10,407,50.0,50.0,1,0.001,0.05,108.74542958272153,-18483002.139838785,19473896.88815414,-72395148.01979,5878211.565417,-18483002.139838785,-420155271485.99506,2405674300000.0,630.2234217420147,3608.8079,0.0
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0.001754,11,407,50.0,50.0,1,0.001,0.05,215.04752770555092,-119019018.29041608,38238792.198128186,-202775675.3563,-55345839.27395,-119019018.29041608,-1065552704054.0541,3120871500000.0,1598.2897426781326,4682.0146,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.0,0,407,50.0,0.0,0,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.000503,1,407,50.0,25.15,0,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.000704,2,407,50.0,35.199999999999996,0,0.001,0.05,0.00019091489742060355,278.90120014167843,216.99113637220668,1.261229609342,607.8168034127,278.90120014167843,2083740.1882113023,4512581.0,-0.003125610423076167,0.0067693978,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.000804,3,407,50.0,40.2,0,0.001,0.05,0.00029358904185751086,637.4760084523438,486.77005784953855,3.855482517023,1371.597981279,637.4760084523438,3566399.967764128,7596599.5,-0.0053496002764201476,0.011396894,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.000905,4,407,50.0,45.24999999999999,0,0.001,0.05,0.00039728916587191565,1148.7204340842297,864.3779396994289,6.586666401108,2446.180830493,1148.7204340842297,5084859.411687961,10687848.0,-0.0076272895852162155,0.016036155,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.001005,5,407,50.0,50.0,0,0.001,0.05,0.0004994836360911228,1811.1116563683365,1346.6643092856336,-2.696872165249,3823.52878181,1811.1116563683365,6588174.011412776,13699167.0,-0.009882261635945947,0.020556396,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.001207,6,407,50.0,50.0,0,0.001,0.05,0.0006704379078159957,3543.2494270226616,2588.235233598862,-59.14141845127,7380.226233473,3543.2494270226616,9206254.652702702,18837292.0,-0.013809382899901721,0.028272539,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.001307,7,407,50.0,50.0,0,0.001,0.05,0.000720725804075976,4548.660902450636,3300.9079195533736,-114.0280808852,9424.731000056,4548.660902450636,9999883.313562654,20334768.0,-0.014999825914668308,0.03052422,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.001408,8,407,50.0,50.0,0,0.001,0.05,0.0007490217822754007,5545.497418585292,2867.6218741779603,1086.344391712,9459.471205164,5545.497418585292,10404463.376125308,21076962.0,-0.015606696114963141,0.031643365,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.001508,9,407,50.0,50.0,0,0.001,0.05,0.0007569578627476182,6594.438004721356,3561.5346969298676,1127.418827244,11377.46379997,6594.438004721356,10432841.484692873,21142338.0,-0.015649263356584765,0.03172113,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.001709,10,407,50.0,50.0,0,0.001,0.05,0.0007199322654805074,8561.969610297336,4913.252574282438,1233.360765325,15276.40911257,8561.969610297336,9461357.059533168,19725530.0,-0.014192036626044228,0.02962357,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0.00181,11,407,50.0,50.0,0,0.001,0.05,0.0006807382601048764,9419.875766981275,5527.878050890192,1297.142081855,17077.58838133,9419.875766981275,8532819.88918919,18490440.0,-0.012799230737837836,0.027784197,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.0,0,407,12.5,0.0,1,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.000503,1,407,12.5,6.2875,1,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.000704,2,407,12.5,8.799999999999999,1,0.001,0.05,9.131741852412186e-05,86.06784343106958,57.74539730598652,-20.02730268929,184.4817885434,86.06784343106958,683478.6371007371,1472544.5,-0.0010252180083636362,0.002209049,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.000804,3,407,12.5,10.05,1,0.001,0.05,0.0003311750737737989,203.05850229756922,171.08149743681838,-205.2393531532,655.5225818864,203.05850229756922,1163594.3843488945,4684993.0,-0.0017453916706142505,0.0070287473,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.000905,4,407,12.5,11.312499999999998,1,0.001,0.05,0.0012124127717430078,355.9515274058338,630.317594402433,-1260.614025625,2348.326885776,355.9515274058338,1520685.087076167,16836754.0,-0.0022810277913022114,0.025260884,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.001005,5,407,12.5,12.5,1,0.001,0.05,0.004882798561787261,842.3459073109859,2679.9765495505303,-6299.367700694,9321.934864785,842.3459073109859,4837778.874742014,69360944.0,-0.007256668906879607,0.10406685,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.001206,6,407,12.5,12.5,1,0.001,0.05,0.08456885836385704,4936.933092088386,53670.62754976995,-134665.4332648,165959.7423239,4936.933092088386,27655843.206830468,1263695400.0,-0.0414837684203194,1.8960205,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.001307,7,407,12.5,12.5,1,0.001,0.05,0.36431810948352233,11305.23771246018,243922.14430906432,-615161.3720807,719520.0968716,11305.23771246018,63449602.169041775,5515311600.0,-0.09517449932309578,8.2750711,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.001407,8,407,12.5,12.5,1,0.001,0.05,1.5753385287520076,7839.824068347047,93887.11129702798,-201204.4472287,179626.4979644,7839.824068347047,30751600.324324325,24123238000.0,-0.04612911579606874,36.194176,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.001504,9,407,12.5,12.5,1,0.001,0.05,1.7213832450599382,-126993.2806441161,1457643.8837640197,-3903401.753401,3717677.862932,-126993.2806441161,-1389414497.0687962,39162077000.0,2.0841202046363643,58.744621,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.00166,10,407,12.5,12.5,1,0.001,0.05,26.892730149383265,-1950974.0491208301,15480428.562271781,-41856815.28805,35531934.66359,-1950974.0491208301,-21261196927.223587,427018880000.0,31.890875298280093,640.68207,0.0
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,0.00175,11,407,12.5,12.5,1,0.001,0.05,131.14008976082522,-24705907.17564096,31226146.624315806,-111432652.1766,18992009.83138,-24705907.17564096,-558778984619.1647,2663324300000.0,838.1496319385749,3995.4106,0.0
CaseT4d_ConfOnly_Raw_LongRampDamped_FeedbackOn,long ramp + damping,0.0,0,407,50.0,0.0,1,0.0018,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4d_ConfOnly_Raw_LongRampDamped_FeedbackOn,long ramp + damping,0.000503,1,407,50.0,13.972222222222221,1,0.0018,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4d_ConfOnly_Raw_LongRampDamped_FeedbackOn,long ramp + damping,0.000704,2,407,50.0,19.555555555555557,1,0.0018,0.2,0.00019912010662982593,189.37387598112036,126.94853177303858,-44.54234225428,406.0744797361,189.37387598112036,1500063.3095331695,3233680.3,-0.0022500950904176904,0.0048510367,0.0
CaseT4d_ConfOnly_Raw_LongRampDamped_FeedbackOn,long ramp + damping,0.000804,3,407,50.0,22.333333333333336,1,0.0018,0.2,0.0007155172666198335,440.57541756765283,373.5952790065592,-451.3761063386,1433.12623503,440.57541756765283,2498463.323095823,10215109.0,-0.003747695226289926,0.015325434,0.0
