step,time,p0_eff,targets,legacy_targets,net_fx,net_fy,net_fz,total_abs_force,max_accel,com_accel,symmetry_residual,fi_min,fi_max,fi_mean,fi_threshold,fi_selected,class_interior,class_lateral,class_top,class_bottom,class_edge,class_outside,lateral_fi_selected,cap_fi_selected,lat_accel_mean,lat_accel_max,cap_axial_mean,cap_axial_max,case,label,feedback,p0,ramp_end,damping_xi
1.0,0.000502713,25.1356,112.0,407.0,-9.19728e-09,-1.09376e-08,-1.17033e-09,0.22251,0.968458,6.09628e-08,6.44395e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,0.941199,0.958774,0.0,0.0,CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,1,50.0,0.001,0.05
2.0,0.000603255,30.1628,112.0,407.0,-1.15229e-08,-7.24605e-09,-1.72122e-09,0.267012,1.16215,5.83345e-08,5.13844e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.12944,1.15053,0.0,0.0,CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,1,50.0,0.001,0.05
3.0,0.000703798,35.1899,112.0,407.0,8.53911e-09,7.35129e-09,-1.97548e-09,0.311514,1.35584,4.8637e-08,3.6722e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.31768,1.34228,0.0,0.0,CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,1,50.0,0.001,0.05
4.0,0.00080434,40.217,112.0,407.0,-6.71962e-10,-2.12165e-09,-7.0711e-09,0.356016,1.54953,3.15181e-08,2.08223e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.50592,1.53404,0.0,0.0,CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,1,50.0,0.001,0.05
1.0,0.000502713,25.1356,112.0,407.0,-9.19728e-09,-1.09376e-08,-1.17033e-09,0.22251,0.968458,6.09628e-08,6.44395e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,0.941199,0.958774,0.0,0.0,CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0,50.0,0.001,0.05
2.0,0.000603255,30.1628,112.0,407.0,-1.15229e-08,-7.24605e-09,-1.72122e-09,0.267012,1.16215,5.83345e-08,5.13844e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.12944,1.15053,0.0,0.0,CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0,50.0,0.001,0.05
3.0,0.000703798,35.1899,112.0,407.0,3.26525e-09,7.54556e-09,-1.5818e-09,0.311514,1.35584,3.55976e-08,2.68769e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.31768,1.34228,0.0,0.0,CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0,50.0,0.001,0.05
4.0,0.00080434,40.217,112.0,407.0,-5.14852e-09,-1.27148e-08,-1.53767e-09,0.356016,1.54953,5.86884e-08,3.87722e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.50592,1.53404,0.0,0.0,CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0,50.0,0.001,0.05
1.0,0.000502713,6.28391,112.0,407.0,-2.29932e-09,-2.7344e-09,-2.92582e-10,0.0556276,0.242115,1.52407e-08,6.44395e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,0.2353,0.239693,0.0,0.0,CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,1,12.5,0.001,0.05
2.0,0.000603255,7.54069,112.0,407.0,-7.43283e-10,2.48789e-11,-2.04417e-10,0.0667531,0.290537,3.27926e-09,1.15542e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,0.28236,0.287632,0.0,0.0,CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,1,12.5,0.001,0.05
