time,nstep,warning,case,label
0.00381913,38.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.0038449,43.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.00407112,88.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.00381913,38.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.0038449,43.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.00407112,88.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.0042521,123.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.00450345,173.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.00475481,223.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.0042521,123.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.00450345,173.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.00475481,223.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedAbrupt,abrupt full feedback
0.00403639,42.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.0040617,47.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00428792,92.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00403639,42.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.0040617,47.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00428792,92.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00450409,134.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00475042,183.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00500177,233.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00450409,134.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00475042,183.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00500177,233.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedShortRamp,short full ramp
0.00435663,48.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
0.00437693,52.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
0.00460315,97.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
0.00435663,48.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
0.00437693,52.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
0.00460315,97.0,DtMin,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
0.00475397,126.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
0.0050003,175.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
0.00475397,126.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
0.0050003,175.0,excluded,CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp
