case,label,kind,scale,relax,limiter,time,nstep,warning
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.00435663,48.0,DtMin
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.00437693,52.0,DtMin
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.00460315,97.0,DtMin
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.00435663,48.0,DtMin
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.00437693,52.0,DtMin
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.00460315,97.0,DtMin
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.00475397,126.0,excluded
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.0050003,175.0,excluded
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.00475397,126.0,excluded
CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0,0.0050003,175.0,excluded
CaseT4f_ConfOnly_RelaxA02,relax 0.2,relaxation,1.0,0.2,0,0.00475219,49.0,DtMin
CaseT4f_ConfOnly_RelaxA02,relax 0.2,relaxation,1.0,0.2,0,0.00477778,54.0,DtMin
CaseT4f_ConfOnly_RelaxA02,relax 0.2,relaxation,1.0,0.2,0,0.00475219,49.0,DtMin
CaseT4f_ConfOnly_RelaxA02,relax 0.2,relaxation,1.0,0.2,0,0.00477778,54.0,DtMin
