case,label,kind,scale,relax,limiter,time,part,region,count,porepress_mean,porepress_min,porepress_max,excess_mean,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max,kplastic_max
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.0,0,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.0,0,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.0,0,specimen_no_caps_edge,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.000503,1,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.000503,1,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.000503,1,specimen_no_caps_edge,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.000804,2,all,407,637.4760084523438,3.855482517023,1371.597981279,637.4760084523438,3566399.967764128,7596599.5,-0.0053496002764201476,0.011396894,0.00029358904185751086,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.000804,2,center_core,45,631.8933804573225,244.8569528041,780.1536594136,631.8933804573225,3671953.8400000003,4478321.0,-0.0055068945711111116,0.0067170323,2.1299806338622385e-05,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.000804,2,specimen_no_caps_edge,147,704.1262591528584,187.2534205696,1012.890461851,704.1262591528584,3997454.5414965986,5691934.5,-0.005995631024489795,0.0085385451,3.102278100000052e-05,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.001005,3,all,407,1811.1116563683365,-2.696872165249,3823.52878181,1811.1116563683365,6588174.011412776,13699167.0,-0.009882261635945947,0.020556396,0.0004994836360911228,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.001005,3,center_core,45,1931.3974074957,916.4368802749,2329.468776586,1931.3974074957,7422255.651111111,8802852.0,-0.011130102455555556,0.013203179,5.6148294085622775e-05,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.001005,3,specimen_no_caps_edge,105,2236.165846229348,916.4368802749,2898.682706137,2236.165846229348,8302959.712380952,10601311.0,-0.012452222928571427,0.015904689,7.727531200000025e-05,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.001307,4,all,407,4548.660902450636,-114.0280808852,9424.731000056,4548.660902450636,9999883.313562654,20334768.0,-0.014999825914668308,0.03052422,0.000720725804075976,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.001307,4,center_core,45,5225.256350774689,2933.03219466,6162.338315777,5225.256350774689,12363383.177777778,14279077.0,-0.01853819171111111,0.021417728,0.00012619978066769159,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.001307,4,specimen_no_caps_edge,105,5757.263834285838,2933.03219466,7319.490732385,5757.263834285838,12959885.542857142,16163870.0,-0.019434106780952382,0.024254236,0.00016053579805993967,0.0
CaseT4f_ConfOnly_FeedbackOffRef,feedback off,reference,0.0,0.0,0,0.001508,5,all,407,6594.438004721356,1127.418827244,11377.46379997,6594.438004721356,10432841.484692873,21142338.0,-0.015649263356584765,0.03172113,0.0007569578627476182,0.0
