case,label,operator,mode,class_filter,time,part,region,count,porepress_mean,porepress_min,porepress_max,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.0,0,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.0,0,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.0,0,interior_class,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.0,0,lateral_class,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.0,0,cap_edge_class,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000503,1,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000503,1,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000503,1,interior_class,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000503,1,lateral_class,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000503,1,cap_edge_class,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000804,2,all,407,637.4760084523438,3.855482517023,1371.597981279,3566399.967764128,7596599.5,-0.0053496002764201476,0.011396894,0.00029358904185751086
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000804,2,center_core,45,631.8933804573225,244.8569528041,780.1536594136,3671953.8400000003,4478321.0,-0.0055068945711111116,0.0067170323,2.1299806338622385e-05
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000804,2,interior_class,63,580.5154899188033,187.2534205696,780.1536594136,3371910.417460318,4478321.0,-0.005056955515873016,0.0067170323,2.1299806338622385e-05
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000804,2,lateral_class,196,1068.0100650337022,580.2660531741,1371.597981279,5926935.636734693,7596599.5,-0.008891347995408163,0.011396894,0.00029358904185751086
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.000804,2,cap_edge_class,148,91.55599208522786,3.855482517023,300.6712677966,523074.6336486487,1686685.3,-0.0007837493777229729,0.0025297406,1.3623834446484261e-05
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001005,3,all,407,1811.1116563683365,-2.696872165249,3823.52878181,6588174.011412776,13699167.0,-0.009882261635945947,0.020556396,0.0004994836360911228
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001005,3,center_core,45,1931.3974074957,916.4368802749,2329.468776586,7422255.651111111,8802852.0,-0.011130102455555556,0.013203179,5.6148294085622775e-05
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001005,3,interior_class,63,1773.1281344517622,702.9756799814,2329.468776586,6810936.073015873,8802852.0,-0.010213545877777777,0.013203179,5.6148294085622775e-05
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001005,3,lateral_class,196,2986.4717538514997,1648.16579046,3823.52878181,10724717.823979592,13699167.0,-0.01609066666173469,0.020556396,0.0004994836360911228
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001005,3,cap_edge_class,148,270.72235078755375,-2.696872165249,856.6838373019,1015224.0307094593,3120933.8,-0.001519300201554054,0.0046801032,4.0865605007826155e-05
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001307,4,all,407,4548.660902450636,-114.0280808852,9424.731000056,9999883.313562654,20334768.0,-0.014999825914668308,0.03052422,0.000720725804075976
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001307,4,center_core,45,5225.256350774689,2933.03219466,6162.338315777,12363383.177777778,14279077.0,-0.01853819171111111,0.021417728,0.00012619978066769159
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001307,4,interior_class,63,4794.800064812015,2268.311658939,6162.338315777,11340868.92063492,14279077.0,-0.0170054166015873,0.021417728,0.00012619978066769159
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001307,4,lateral_class,196,7372.138687516396,4106.07466346,9424.731000056,15911846.0,20334768.0,-0.023877883484693878,0.03052422,0.000720725804075976
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001307,4,cap_edge_class,148,704.6851382502546,-114.0280808852,2143.688597602,1599702.3690540541,4674838.0,-0.002388667151148649,0.0070077367,0.00011196265446017691
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001508,5,all,407,6594.438004721356,1127.418827244,11377.46379997,10432841.484692873,21142338.0,-0.015649263356584765,0.03172113,0.0007569578627476182
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001508,5,center_core,45,8258.6497231506,6721.951599,9178.942921248,13519415.688888889,15428639.0,-0.020274499822222222,0.023138698,0.00017346126657278915
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001508,5,interior_class,63,7547.6914077699685,5089.97847146,9178.942921248,12403213.968253968,15428639.0,-0.01860035925396825,0.023138698,0.00018538109681403398
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001508,5,lateral_class,196,9540.167378962675,6612.383218586,11377.46379997,16428715.668367347,21142338.0,-0.024651920316326535,0.03172113,0.0007569578627476182
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.001508,5,cap_edge_class,148,2287.560155104054,1127.418827244,3459.402971034,1653619.8193918918,5029164.0,-0.0024706160211486485,0.0075330907,0.0001753109147853424
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.00181,6,all,407,9419.875766981275,1297.142081855,17077.58838133,8532819.88918919,18490440.0,-0.012799230737837836,0.027784197,0.0006807382601048764
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.00181,6,center_core,45,12013.539012458177,9551.740867612,13439.07252505,11417946.533333333,12938705.0,-0.0171228744,0.019408397,0.00023211643289002635
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.00181,6,interior_class,63,10994.642032472255,7370.518365329,13439.07252505,10486973.777777778,12938705.0,-0.01572687465079365,0.019408397,0.00028455662550255794
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.00181,6,lateral_class,196,13984.876612544811,8908.212607608,17077.58838133,13464445.788265307,18490440.0,-0.020212474896938778,0.027784197,0.0006807382601048764
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.00181,6,cap_edge_class,148,2703.994412546243,1297.142081855,4731.237211744,1169911.9756756758,4962040.5,-0.001735464375,0.0074271937,0.0002824155255430245
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002011,7,all,407,10765.41685838191,1440.270785995,20078.02502015,6015233.347297297,15081348.0,-0.009022850915061425,0.022695931,0.0005936652307387171
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002011,7,center_core,45,13785.912857328001,11013.48493311,15458.46654535,7826522.233333333,8952215.0,-0.011737022004444445,0.013432138,0.0002668833662636308
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002011,7,interior_class,63,12624.724417347159,8600.81081671,15458.46654535,7203073.357142857,8952215.0,-0.010802430552380953,0.013432138,0.00035021143820745915
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002011,7,lateral_class,196,16149.756376943822,9813.367679392,20078.02502015,9786215.920918368,15081348.0,-0.014698778016836736,0.022695931,0.0005936652307387171
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002011,7,cap_edge_class,148,2843.3430620782233,1440.270785995,5483.746444933,515594.79966216214,4205835.0,-0.000748558826554054,0.0062941625,0.00035407746367421475
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002312,8,all,407,11653.402319051138,1401.872255579,22813.40217839,1350094.342855037,8761979.0,-0.0020251421296879606,0.013250421,0.00046790334427891466
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002312,8,center_core,45,14715.164735937557,11956.01968257,16594.31384628,556886.3302222223,2807754.0,-0.0008339294959111112,0.0041947109,0.00031933978847720635
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002312,8,interior_class,63,13486.31636275695,9519.658033454,16594.31384628,542340.9912698412,2807754.0,-0.0008129148142222222,0.0041947109,0.0004409293448668625
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002312,8,lateral_class,196,17788.555637411577,9909.262971672,22813.40217839,3198258.0900510205,8761979.0,-0.004820549510091836,0.013250421,0.0004330336676817641
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002312,8,cap_edge_class,148,2748.2426220774055,1401.872255579,6317.525648147,-753632.9091756757,3292219.3,0.0011608681789932432,0.0050057773,0.00046790334427891466
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002514,9,all,407,11304.42143042797,3049.781786205,19425.54890317,-1763886.8124621622,7705735.0,0.0026458301964304666,0.011549418,0.000529223065725015
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002514,9,center_core,45,14112.949276902886,12415.21980163,15551.60444508,-4496909.933333334,4945252.0,0.0067493946244444455,0.0074175596,0.0003455356509249432
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002514,9,interior_class,63,12897.463535288176,9570.228067408,15551.60444508,-4093507.293650795,4945252.0,0.006144868442857143,0.0074175596,0.0004905431246231368
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002514,9,lateral_class,196,15745.236602841533,10889.13800231,19425.54890317,-1107475.1510204081,7705735.0,0.0016457903535714285,0.011549418,0.0004753824384335978
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002514,9,cap_edge_class,148,4745.222603406007,3049.781786205,6489.810420656,-1641525.970081757,3681241.5,0.0024807518158594596,0.0055353944,0.000529223065725015
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002815,10,all,407,9964.942483515055,2365.707940243,18949.11050347,-5636227.733144963,13823949.0,0.008454341865675676,0.020752061,0.0005813691235724046
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002815,10,center_core,45,11470.651998307556,10065.23390103,13239.25322846,-10600933.2,11411202.0,0.01590832075555556,0.017125057,0.00036677948714718605
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002815,10,interior_class,63,10482.530976221826,7833.513676239,13239.25322846,-9699355.706349207,11411202.0,0.01455601135714286,0.017125057,0.000531174557585004
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002815,10,lateral_class,196,14285.830953101811,8614.193216545,18949.11050347,-6525443.228622448,13823949.0,0.009772138740204083,0.020752061,0.0005196416464261583
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.002815,10,cap_edge_class,148,4022.359949193899,2365.707940243,5784.914149261,-2729043.277567568,5156916.0,0.00411181912668919,0.0077605513,0.0005813691235724046
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003016,11,all,407,8563.734569982182,1700.926868002,17909.29392835,-7343596.441818181,16432113.0,0.011015394941130222,0.024681026,0.0005925967700000001
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003016,11,center_core,45,8972.395953260044,7612.202128975,11459.58786113,-12891845.466666667,14102190.0,0.019347430111111112,0.021163542,0.0003631790735448102
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003016,11,interior_class,63,8192.307823737254,6029.218499643,11459.58786113,-11826440.555555556,14102190.0,0.017749019406349202,0.021163542,0.0005343093420329877
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003016,11,lateral_class,196,12580.103501070002,6516.214319914,17909.29392835,-9049758.9627551,16432113.0,0.013559150427040817,0.024681026,0.0005278430019633202
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003016,11,cap_edge_class,148,3402.8668302539254,1700.926868002,5324.088357516,-3175846.217027027,6058545.5,0.004780297532027027,0.0091157295,0.0005925967700000001
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003318,12,all,407,6130.677076437897,631.7466483324,15678.13205385,-8184071.91012285,17360398.0,0.01227610828869779,0.026097918,0.0005645211200000002
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003318,12,center_core,45,4970.246277897045,3758.579662211,8647.369979329,-13001991.666666666,14839258.0,0.019515859555555553,0.022275973,0.00032463324345586886
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003318,12,interior_class,63,4505.5609359225555,3095.115906874,8647.369979329,-12009352.507936507,14839258.0,0.01802632956825397,0.022275973,0.0004937851766494691
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003318,12,lateral_class,196,9465.688012207514,3079.397824641,15678.13205385,-10648582.852040816,17360398.0,0.01595958379489796,0.026097918,0.0005008104796906973
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003318,12,cap_edge_class,148,2405.813383475876,631.7466483324,4917.643645431,-3291931.219054054,6299343.0,0.004950262749324324,0.0094669536,0.0005645211200000002
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003519,13,all,407,4207.233227836224,569.2543009536,9136.963489108,-7524330.590663389,15778475.0,0.011286496517665848,0.023667589,0.0005110704800000003
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003519,13,center_core,45,3206.101841579311,2639.664095727,3774.654133034,-10896431.166666666,13004888.0,0.01636152647333333,0.019523535,0.00028858555432215486
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003519,13,interior_class,63,2889.7480533780313,1979.132419499,3774.654133034,-10149786.333333334,13004888.0,0.015241003433333334,0.019523535,0.0004377769460129401
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003519,13,lateral_class,196,6068.130220928624,3279.264973995,9136.963489108,-10113217.56377551,15778475.0,0.015160060077551019,0.023667589,0.00045749268517903795
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003519,13,cap_edge_class,148,2303.6234666521427,569.2543009536,4242.725362817,-2978211.952027027,5795280.0,0.004473304670202702,0.00870708,0.0005110704800000003
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003821,14,all,407,2413.719264354239,-1020.280348326,6975.488033499,-4981475.48002457,10387656.0,0.007472213550859951,0.015601416,0.00038798897974697184
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003821,14,center_core,45,994.9107720364979,519.5353449932,2636.101637527,-5294410.147111111,7456198.0,0.007955243955555556,0.011205292,0.00022894134694795477
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003821,14,interior_class,63,794.8113906188031,191.7921029167,2636.101637527,-5107596.506666667,7456198.0,0.007675339346031746,0.011205292,0.00032212254433459274
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003821,14,lateral_class,196,3560.6444706381317,976.9610291422,6975.488033499,-7159325.12244898,10387656.0,0.010733401947959183,0.015601416,0.0003632709435603154
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.003821,14,cap_edge_class,148,1583.9480185007894,-1020.280348326,4414.148617442,-2043609.570608108,5149799.5,0.0030668767202702706,0.0077386498,0.00038798897974697184
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.004022,15,all,407,1764.2200364037685,-1954.292482886,6069.666120822,-2619682.518427518,6212704.5,0.003929523804398034,0.0093144951,0.0003738290338241812
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.004022,15,center_core,45,611.8548975374881,-28.05042821647,2960.909884266,-760976.3782222223,2733455.3,0.0011503933664444444,0.0041382439,0.000189657824327164
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.004022,15,interior_class,63,386.6358398257915,-367.4498587367,2960.909884266,-988170.8857142855,2733455.3,0.0014924470204761902,0.0041382439,0.0002351931803093005
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.004022,15,lateral_class,196,2564.5227178500777,-44.85893394493,6069.666120822,-4173206.396938775,6212704.5,0.0062571303367346945,0.0093144951,0.00028806512979819894
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.004022,15,cap_edge_class,148,1290.7638122209034,-1954.292482886,4698.283683998,-1256807.874324324,4435882.0,0.0018844221628378382,0.006672997,0.0003738290338241812
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.004323,16,all,407,1711.4029899317923,-2917.709154156,5870.150768417,996119.4852457002,7137555.0,-0.0014941794973366094,0.010767113,0.0003468096622393009
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.004323,16,center_core,45,1641.241006298071,669.6863022982,4714.830413868,5293675.055555556,7137555.0,-0.007941227744444444,0.010767113,0.0001435980854682488
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,-1,off,off,0.004323,16,interior_class,63,1252.003982488552,-63.81047243652,4714.830413868,4630369.77936508,7137555.0,-0.006943324111111111,0.010767113,0.0001435980854682488
