case,label,operator,mode,class_filter,stabilized,time,part,region,count,porepress_mean,porepress_min,porepress_max,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.0,0,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.0,0,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.0,0,interior_class,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.0,0,lateral_class,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.0,0,cap_edge_class,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000503,1,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000503,1,center_core,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000503,1,interior_class,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000503,1,lateral_class,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000503,1,cap_edge_class,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000804,2,all,407,632.9717974725647,3.825858904116,1362.021307252,3532970.3441867325,7526067.0,-0.0052994558119828,0.011291088,0.00029019344208488525
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000804,2,center_core,45,627.2367034510555,242.8336856286,774.4803221052,3636444.9511111123,4435425.5,-0.005453635519999999,0.0066526914,2.100043359092403e-05
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000804,2,interior_class,63,576.2400969587934,185.7127008813,774.4803221052,3339319.4984126994,4435425.5,-0.005008072876190477,0.0066526914,2.100043359092403e-05
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000804,2,lateral_class,196,1060.5303288607954,576.1471658939,1362.021307252,5871754.001530612,7526067.0,-0.008808571625,0.011291088,0.00029019344208488525
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.000804,2,cap_edge_class,148,90.89493923117547,3.825858904116,298.5380668001,518094.7120540541,1670818.6,-0.0007762830120067567,0.0025059418,1.3437660030115932e-05
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001005,3,all,407,1789.5462488918743,-2.380450610536,3779.237035022,6483568.543402948,13487974.0,-0.009725353472923833,0.020239539,0.000490818005229075
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001005,3,center_core,45,1906.3274844674866,902.3206966517,2299.99376773,7294107.5,8654424.0,-0.010937904517777777,0.012980542,5.483188753322316e-05
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001005,3,interior_class,63,1750.1379691645918,692.1908334394,2299.99376773,6693473.023809524,8654424.0,-0.010037372201587298,0.012980542,5.483188753322316e-05
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001005,3,lateral_class,196,2951.6265522999947,1628.381715392,3779.237035022,10557968.604591837,13487974.0,-0.01584051060714286,0.020239539,0.000490818005229075
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001005,3,cap_edge_class,148,267.3501823704356,-2.380450610536,846.4106465401,998390.2038175677,3071002.3,-0.001494083349864865,0.0046052188,3.993118148854476e-05
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001307,4,all,407,4467.690963739806,-109.7960576837,9264.389737151,9756472.763243245,19864534.0,-0.014634710097764127,0.029818565,0.0007024560749745492
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001307,4,center_core,45,5119.7477137912,2861.406804407,6042.100098469,12022588.277777778,13897607.0,-0.018027036888888893,0.020845482,0.0001217900928951566
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001307,4,interior_class,63,4698.136318343572,2213.145117032,6042.100098469,11028816.468253968,13897607.0,-0.01653736662539683,0.020845482,0.0001217900928951566
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001307,4,lateral_class,196,7245.1281078696675,4032.26102511,9264.389737151,15537739.239795918,19864534.0,-0.023316583857142855,0.029818565,0.0007024560749745492
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001307,4,cap_edge_class,148,691.368412459465,-109.7960576837,2105.325578214,1558595.1766216215,4560496.5,-0.002327178894527027,0.006836304,0.00010810055815381967
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001508,5,all,407,6454.138810756443,1105.240599935,11145.75907516,10122651.574520884,20553828.0,-0.01518397842031941,0.030838251,0.0007338431615578916
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001508,5,center_core,45,8066.048345764578,6556.349166077,8968.521279701,13054138.266666668,14915118.0,-0.019576575955555557,0.022368418,0.0001662238156021183
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001508,5,interior_class,63,7371.7949956515085,4964.076015219,8968.521279701,11977405.76984127,14915118.0,-0.01796164673015873,0.022368418,0.0001776626311338038
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001508,5,lateral_class,196,9341.343240331107,6473.217644152,11145.75907516,15960282.724489795,20553828.0,-0.02394912649489796,0.030838251,0.0007338431615578916
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001508,5,cap_edge_class,148,2239.919838830608,1105.240599935,3385.687796416,1602210.9008783782,4860915.0,-0.0023936937842567573,0.007280902,0.00016798496903409682
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,all,407,9184.520075011964,1267.864049292,16662.34450285,8232501.041081082,17878728.0,-0.01234875251007371,0.026865335,0.000655086324980849
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,center_core,45,11669.687527757646,9253.759694171,13063.25475069,10926148.533333333,12402734.0,-0.01638495131111111,0.018604135,0.00022027294615433552
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,interior_class,63,10680.420680840856,7139.48127415,13063.25475069,10037356.26984127,12402734.0,-0.015052239555555555,0.018604135,0.0002698182567019708
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,lateral_class,196,13643.630619655634,8689.871135994,16662.34450285,13014631.288265307,17878728.0,-0.019537443980612246,0.026865335,0.000655086324980849
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,cap_edge_class,148,2642.443014759399,1267.864049292,4601.137330263,1131126.6636486484,4723092.0,-0.0016777848608108107,0.0070689172,0.00026765528440636537
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002011,7,all,407,10483.32480068723,1404.162897408,19567.70169066,5811423.925798526,14575697.0,-0.008717136715552826,0.021935329,0.0005693880593839538
