step,time,p0_eff,targets,legacy_targets,net_fx,net_fy,net_fz,total_abs_force,conf_max_accel,com_accel,symmetry_residual,fi_min,fi_max,fi_mean,fi_threshold,fi_selected,class_interior,class_lateral,class_top,class_bottom,class_edge,class_outside,lateral_fi_selected,cap_fi_selected,lat_accel_mean,lat_accel_max,cap_axial_mean,cap_axial_max,case,label,operator,mode,class_filter,stabilized
1.0,0.000502713,25.1356,112.0,407.0,-9.19728e-09,-1.09376e-08,-1.17033e-09,0.22251,0.968458,6.09628e-08,6.44395e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,0.941199,0.958774,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
2.0,0.000603255,30.1628,112.0,407.0,-1.15229e-08,-7.24605e-09,-1.72122e-09,0.267012,1.16215,5.83345e-08,5.13844e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.12944,1.15053,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
3.0,0.000703798,35.1899,112.0,407.0,4.40062e-09,8.20763e-09,-6.28347e-10,0.311514,1.35584,3.96858e-08,2.99636e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.31768,1.34228,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
4.0,0.00080434,40.217,112.0,407.0,-6.41102e-09,-1.28424e-08,-6.70266e-10,0.356016,1.54953,6.1094e-08,4.03614e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.50592,1.53404,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
1.0,0.000502713,25.1356,112.0,407.0,-9.19728e-09,-1.09376e-08,-1.17033e-09,0.22251,0.968458,6.09628e-08,6.44395e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,0.941199,0.958774,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
2.0,0.000603255,30.1628,112.0,407.0,-1.15229e-08,-7.24605e-09,-1.72122e-09,0.267012,1.16215,5.83345e-08,5.13844e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.12944,1.15053,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
3.0,0.000703798,35.1899,112.0,407.0,4.40062e-09,8.20763e-09,-6.28347e-10,0.311514,1.35584,3.96858e-08,2.99636e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.31768,1.34228,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
4.0,0.00080434,40.217,112.0,407.0,-6.41102e-09,-1.28424e-08,-6.70266e-10,0.356016,1.54953,6.1094e-08,4.03614e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.50592,1.53404,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
1.0,0.000502713,25.1356,112.0,407.0,-9.19728e-09,-1.09376e-08,-1.17033e-09,0.22251,0.968458,6.09628e-08,6.44395e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,0.941199,0.958774,0.0,0.0,CaseT4j_ConfOnly_Op3Interior,op3 interior,3,excess,interior,off
2.0,0.000603255,30.1628,112.0,407.0,-1.15229e-08,-7.24605e-09,-1.72122e-09,0.267012,1.16215,5.83345e-08,5.13844e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.12944,1.15053,0.0,0.0,CaseT4j_ConfOnly_Op3Interior,op3 interior,3,excess,interior,off
3.0,0.000703798,35.1899,112.0,407.0,4.40062e-09,8.20763e-09,-6.28347e-10,0.311514,1.35584,3.96858e-08,2.99636e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.31768,1.34228,0.0,0.0,CaseT4j_ConfOnly_Op3Interior,op3 interior,3,excess,interior,off
4.0,0.00080434,40.217,112.0,407.0,-6.41102e-09,-1.28424e-08,-6.70266e-10,0.356016,1.54953,6.1094e-08,4.03614e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.50592,1.53404,0.0,0.0,CaseT4j_ConfOnly_Op3Interior,op3 interior,3,excess,interior,off
