step,time,factor,applied,class_skipped,raw_max,raw_mean,used_max,used_mean,pre_accel_max,ratio_max,confining_ref,limited,relaxed,cap_min,lateral_used_max,cap_edge_used_max,interior_used_max,case,label,operator,mode,class_filter,stabilized
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
1.0,0.000502713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
2.0,0.000603255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
3.0,0.000703798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
4.0,0.00080434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
5.0,0.000904883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
6.0,0.00100543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
7.0,0.00110597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
8.0,0.00120651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
9.0,0.00130705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
10.0,0.00140759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
11.0,0.00150814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
12.0,0.00160868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
13.0,0.00170922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
14.0,0.00180976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
15.0,0.0019103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
16.0,0.00201085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
17.0,0.00211139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
18.0,0.00221193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
19.0,0.00231247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
20.0,0.00241301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
21.0,0.00251355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
22.0,0.0026141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
23.0,0.00271464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
24.0,0.00281518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
25.0,0.00291572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
26.0,0.00301626,0.01084,63.0,344.0,1.2523,0.895822,1.2523,0.895822,0.126934,0.650052,1.92645,0.0,0.0,0.0,0.0,0.0,1.2523,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
27.0,0.0031168,0.0778673,63.0,344.0,7.99807,5.87958,7.99807,5.87958,0.206836,4.15171,1.92646,0.0,0.0,0.0,0.0,0.0,7.99807,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
28.0,0.00321734,0.144894,63.0,344.0,11.6375,8.49493,11.6375,8.49493,1.04955,6.04088,1.92645,0.0,0.0,0.0,0.0,0.0,11.6375,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
29.0,0.00331788,0.211921,63.0,344.0,9.02146,5.32569,9.02146,5.32569,2.26709,3.99416,1.92645,0.0,0.0,0.0,0.0,0.0,9.02146,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
30.0,0.00341842,0.278946,63.0,344.0,6.85734,5.0617,6.85734,5.0617,3.07792,3.55957,1.92645,0.0,0.0,0.0,0.0,0.0,6.85734,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
31.0,0.00351895,0.345969,63.0,344.0,17.1086,12.7072,17.1086,12.7072,3.47353,8.64107,1.92645,0.0,0.0,0.0,0.0,0.0,17.1086,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
32.0,0.00361949,0.412991,63.0,344.0,28.7994,23.1472,28.7994,23.1472,2.42395,14.9495,1.92645,0.0,0.0,0.0,0.0,0.0,28.7994,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
33.0,0.00372002,0.480014,63.0,344.0,29.2943,16.9226,29.2943,16.9226,2.41931,15.2064,1.92645,0.0,0.0,0.0,0.0,0.0,29.2943,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
34.0,0.00382055,0.547036,63.0,344.0,57.3635,48.1697,57.3635,48.1697,4.70878,29.7767,1.92646,0.0,0.0,0.0,0.0,0.0,57.3635,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
35.0,0.00392108,0.614054,63.0,344.0,80.9388,48.0809,80.9388,48.0809,7.77363,20.5265,1.92646,0.0,0.0,0.0,0.0,0.0,80.9388,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
36.0,0.0040216,0.681068,63.0,344.0,167.345,124.103,167.345,124.103,10.2594,63.3814,1.92645,0.0,0.0,0.0,0.0,0.0,167.345,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
37.0,0.00412212,0.748078,63.0,344.0,109.476,68.9214,109.476,68.9214,21.5503,11.6019,1.92645,0.0,0.0,0.0,0.0,0.0,109.476,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
38.0,0.0042226,0.815068,63.0,344.0,553.188,402.423,553.188,402.423,14.9416,75.5184,1.92649,0.0,0.0,0.0,0.0,0.0,553.188,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
39.0,0.00432306,0.882038,63.0,344.0,259.87,155.245,259.87,155.245,58.0027,8.58848,1.92645,0.0,0.0,0.0,0.0,0.0,259.87,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
40.0,0.0044235,0.949,63.0,344.0,722.272,524.992,722.272,524.992,49.1864,61.4141,1.92641,0.0,0.0,0.0,0.0,0.0,722.272,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
41.0,0.00452382,1.0,63.0,344.0,1465.09,756.913,1465.09,756.913,46.7502,120.712,1.92644,0.0,0.0,0.0,0.0,0.0,1465.09,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
42.0,0.00462423,1.0,63.0,344.0,1814.45,1395.9,1814.45,1395.9,154.089,34.819,1.92648,0.0,0.0,0.0,0.0,0.0,1814.45,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
43.0,0.00472445,1.0,63.0,344.0,5677.54,3275.97,5677.54,3275.97,263.012,220.324,1.92635,0.0,0.0,0.0,0.0,0.0,5677.54,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
44.0,0.00482438,1.0,63.0,344.0,6743.84,3426.63,6743.84,3426.63,433.209,19.0323,1.92635,0.0,0.0,0.0,0.0,0.0,6743.84,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
45.0,0.00492366,1.0,63.0,344.0,17210.1,11169.7,17210.1,11169.7,266.993,414.147,1.92686,0.0,0.0,0.0,0.0,0.0,17210.1,CaseT4j_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
1.0,0.000502713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
2.0,0.000603255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
3.0,0.000703798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
4.0,0.00080434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
5.0,0.000904883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
6.0,0.00100543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
7.0,0.00110597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
8.0,0.00120651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
9.0,0.00130705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
10.0,0.00140759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
11.0,0.00150814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
12.0,0.00160868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
13.0,0.00170922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
14.0,0.00180976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
15.0,0.0019103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
16.0,0.00201085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
17.0,0.00211139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
18.0,0.00221193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
19.0,0.00231247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
20.0,0.00241301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
21.0,0.00251355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
22.0,0.0026141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
23.0,0.00271464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
24.0,0.00281518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
25.0,0.00291572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
26.0,0.00301626,0.01084,407.0,0.0,6.13977,2.44424,6.13977,2.44424,0.408828,3.18708,1.92645,0.0,0.0,0.0,6.13977,2.39732,1.19858,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
27.0,0.0031168,0.0778673,407.0,0.0,43.961,17.0865,43.961,17.0865,0.747895,22.8197,1.92645,0.0,0.0,0.0,43.961,17.1551,8.18238,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
28.0,0.00321734,0.144895,407.0,0.0,119.635,47.706,119.635,47.706,5.72034,24.5373,1.92645,0.0,0.0,0.0,119.635,47.2699,23.7071,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
29.0,0.00331788,0.211922,407.0,0.0,405.347,171.665,405.347,171.665,19.6951,48.5205,1.92643,0.0,0.0,0.0,405.347,162.139,91.8969,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
30.0,0.00341842,0.278949,407.0,0.0,1518.47,698.837,1518.47,698.837,65.6442,128.715,1.92637,0.0,0.0,0.0,1518.47,682.421,361.947,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
31.0,0.00351895,0.34597,407.0,0.0,6641.22,3204.62,6641.22,3204.62,227.466,97.7415,1.92614,0.0,0.0,0.0,6641.22,2982.36,1795.4,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
